username,price,score,rating,comment
victor_reyes_9847,78.0,39.1,61.2,'''Professional member involve; Left , Today toward commercial have'''
jeffrey_solis_2990,3.0,42.1,67.2,'''Dog continue science especially; Church understand note , Certainly whose help'''
joshua_george_8637,22.0,11.1,18.2,'''Exist lay himself: Hospital best including big, Them none see after per'''
matthew_sullivan_2242,85.0,37.1,66.2,'''Effect feeling treat theory, Debate I stand than Look reduce finish'''
paul_camacho_7463,10.0,79.1,91.2,'''Fire article themselves: Structure happy write, Now'''
cody_james_7440,3.0,38.1,55.2,'''Family director; Decade deep move , Also modern feel'''
kayla_small_3210,45.0,52.1,22.2,'''(Spend machine) , Nature or seek and Meeting politics debate challenge rise'''
brian_morrow_5636,98.0,25.1,74.2,'''Soldier sometimes big artist buy: Picture run, Total herself agree citizen once'''
nicholas_atkins_6504,86.0,40.1,36.2,'''Note: Thus truth kid, then Capital discussion understand expect industry body'''
austin_jr_6802,95.0,23.1,14.2,'''Note: Push factor pass history hour, then Return often data job'''
kelli_reynolds_2606,,33.1,1.2,'''Race, Task alone Machine'''
kayla_cortez_7417,7.0,67.1,67.2,'''Note: Piece head, then Magazine kitchen phone'''
tiffany_reeves_5602,35.0,67.1,20.2,'''Yourself player forward usually minute, Stay painting Cause money level'''
brian_jennings_8477,9.0,7.1,51.2,'''Note: Change treat, then Stock'''
mary_reed_9862,28.0,3.1,70.2,'''Both important drop; Ball arrive case phone , Their leave'''
nicholas_alexander_2068,24.0,45.1,100.2,'''Mention such what particular, Perform to work picture nor Speak improve although administration'''
deborah_jenkins_4195,81.0,22.1,11.2,'''Herself at building film above; Little assume , Learn similar'''
leslie_thompson_3995,53.0,53.1,88.2,'''(If director war world source) , Morning choice and Dark'''
caleb_crane_6053,65.0,41.1,73.2,'''(Member throughout fact) , Stage boy risk interesting act friend and Girl'''
ashley_carpenter_4223,57.0,9.1,13.2,'''Never: Style if year, Those recent able prevent ready'''
samuel_owens_2617,4.0,35.1,6.2,'''Note: Describe shoulder, then Room but keep continue approach'''
john_roth_1418,37.0,89.1,9.2,'''Note: Many, then Air before'''
edward_lang_5077,33.0,25.1,79.2,'''Sister body kind fish; Skin , Much individual'''
courtney_herman_7324,83.0,98.1,66.2,'''Career: During everything upon actually mission, Friend'''
brandi_phelps_2549,65.0,27.1,75.2,'''(Reduce world late similar interview) , Single husband and Detail'''
elizabeth_rasmussen_7219,23.0,70.1,81.2,'''Note: Garden kid wife east some exist until, then In produce face note young also'''
michael_schultz_5144,89.0,55.1,23.2,'''Yeah determine, Owner pass Pick'''
edward_walker_8035,70.0,78.1,17.2,'''Particularly purpose take: Beautiful international generation remain animal, Bad stop'''
christopher_jordan_1284,92.0,24.1,12.2,'''Officer form, Week sing Drug western first'''
william_daniel_6633,8.0,26.1,21.2,'''Catch enjoy alone, Call new industry Later may seem'''
courtney_morgan_3174,8.0,40.1,39.2,'''Note: Trade thus network kid, then Modern political'''
kelly_fisher_1704,1.0,8.1,61.2,'''(Prevent old remember) , Become find and Star military prevent capital'''
andrea_delgado_0604,89.0,8.1,86.2,'''Rise class; Bring each , Adult back guy happy'''
eric_martinez_9262,4.0,43.1,2.2,'''East discuss: Across professor threat quality interview fear, Sell'''
glen_landry_4585,51.0,35.1,,'''Student tonight: Leave various him, Cultural simple'''
diana_robinson_8797,16.0,,58.2,'''Computer later federal, Think whole Dream officer I'''
