username;rating;price;comment
derek_sheppard_6989;80.0;96.1;"""Illo pariatur reprehenderit tempore: Delectus reprehenderit; Porro officia reprehenderit dolorum"""
clifford_talbot_1834;99.0;30.1;"""(Accusamus impedit) ; Soluta doloremque and Ab"""
jordan_randall_0957;14.0;38.1;"""Velit animi est nobis nobis; Perferendis eligendi modi esse ; Sunt eligendi officiis culpa"""
miss_anderson_1136;37.0;10.1;"""Molestias dignissimos nam labore; Quisquam Mollitia ex voluptate"""
brett_taylor_2373;52.0;28.1;"""Note: Nostrum quo; then Incidunt itaque"""
lee_griffiths_1013;27.0;62.1;"""(Nam ullam laudantium) ; Nam officiis dignissimos alias iusto and Magnam molestias corrupti deserunt qui"""
jenna_adams_5425;29.0;56.1;"""Note: Explicabo; then Rerum"""
carolyn_walters_4433;91.0;61.1;"""Quia ipsam repellat; Porro Consequatur"""
edward_khan_8192;33.0;7.1;"""Similique eligendi consequatur; Nostrum ; Ex omnis culpa eligendi"""
mr_burrows_7813;58.0;46.1;"""Blanditiis quo est voluptatem incidunt: Eius eum; Fugit"""
shannon_patel_5102;;21.1;"""Note: Quaerat repellendus aliquid iste; then Praesentium explicabo cumque maxime"""
jacqueline_hall_4275;22.0;2.1;"""Note: Alias; then Repellendus neque quia quasi quasi"""
shane_thompson_0265;55.0;78.1;"""Note: Aliquid esse explicabo voluptatibus animi accusantium; then Cumque"""
arthur_brady_1880;60.0;32.1;"""Perspiciatis assumenda totam incidunt: Amet sint culpa enim labore hic; Saepe voluptatum excepturi id"""
dr_fry_0279;78.0;60.1;"""Veniam mollitia maiores; Itaque ad esse ; Quae facilis illo dolorum"""
mark_evans_3110;15.0;30.1;"""(Reiciendis nam minima error) ; Vero and Dolorum dolores cumque enim"""
mr_morris_7228;81.0;25.1;"""Provident iure labore: Modi esse; Explicabo ea earum"""
geoffrey_fisher_2177;3.0;42.1;"""Iusto repellat; Dolore sed cupiditate quaerat ; Sapiente"""
christopher_woodward_0508;7.0;43.1;"""Note: Dolorum amet; then Ab quaerat quae reprehenderit"""
sam_davey_9905;65.0;21.1;"""Note: Amet aliquid ducimus sint occaecati; then Perspiciatis odio natus"""
lucy_oliver_6032;8.0;15.1;"""Eligendi exercitationem distinctio: Nam cumque doloremque; At eum consectetur autem"""
norman_williams_4386;38.0;12.1;"""Note: Asperiores quidem; then Facilis suscipit ad repudiandae nobis"""
louise_edwards_1373;88.0;51.1;"""Sed excepturi natus quibusdam magnam error: Deleniti ipsam tenetur labore; Suscipit nemo"""
ms_oliver_2638;55.0;47.1;"""(Quisquam) ; Officia and Provident tenetur"""
nathan_taylor_0657;52.0;39.1;"""Sint sint dolor; Officiis accusamus nostrum vel Cupiditate excepturi"""
thomas_pratt_9224;34.0;64.1;"""(Quisquam quaerat similique odit) ; Cupiditate and Nemo rem illum"""
dr_jones_2204;55.0;27.1;"""(Tenetur non explicabo tempora) ; Expedita neque qui and Repudiandae modi"""
jane_thompson_5377;51.0;10.1;"""Omnis necessitatibus deserunt: Dolorum nam rem; Aspernatur voluptatum"""
suzanne_ford_3528;17.0;3.1;"""Vel voluptatem occaecati fugit: Iusto; Quidem saepe hic"""
sarah_harrison_3505;48.0;2.1;"""Veritatis commodi architecto: Delectus perspiciatis ullam; Laboriosam ducimus ullam"""
paul_willis_1711;70.0;1.1;"""Inventore reprehenderit quasi id; Modi ; Dolores"""
brenda_morris_0565;13.0;18.1;"""Fuga praesentium quaerat: Repellendus ex; Excepturi cum"""
martyn_hussain_2677;73.0;51.1;"""(Occaecati ipsam commodi) ; Velit quaerat and Debitis"""
mr_rowley_2808;79.0;12.1;"""Officiis enim ab quo; Blanditiis vitae quidem assumenda ; Eaque optio"""
sean_brien_2189;52.0;82.1;"""Note: Vel exercitationem; then Nemo ducimus et doloremque"""
natalie_kent_2874;26.0;10.1;"""Note: Vitae maiores; then Nulla reiciendis"""
mrs_williams_3922;21.0;54.1;"""(Ipsam quasi) ; Explicabo adipisci tempora and Amet ratione eum"""
grace_king_6117;38.0;40.1;"""Deserunt minima tempore incidunt voluptatum: Suscipit quaerat quis; Dolorum hic debitis"""
deborah_carroll_1978;73.0;95.1;"""Note: Dolores fugit fugiat aut; then Id cumque voluptatum eum"""
jayne_baker_3449;24.0;11.1;"""Consectetur: Magni ea laboriosam illo sint voluptatum; Ratione doloremque"""
bruce_watson_0156;37.0;11.1;"""Occaecati enim sint porro earum; Earum architecto fuga ; Nihil impedit repellat"""
sarah_patel_8748;35.0;;"""Et necessitatibus: Accusantium est; Quam quaerat"""
terence_collins_9852;16.0;28.1;"""Reiciendis sapiente deserunt modi maxime blanditiis; Excepturi autem ; Accusamus velit soluta alias natus"""
