username,rating,score,price,message
miss_howard_3439,91.0,50.1,27.2,'''Quam saepe: Animi consequuntur, Aliquam voluptatibus'''
ms_murphy_6218,35.0,29.1,56.2,'''Quae corrupti error quas fugiat earum; Id quis inventore natus , Perferendis repellendus'''
harriet_cooper_5542,24.0,17.1,7.2,'''Aspernatur, Beatae fugiat commodi numquam Praesentium animi architecto est'''
sean_barlow_4492,30.0,90.1,68.2,'''(Sit) , Distinctio velit tempora and Incidunt expedita saepe'''
jack_burton_9106,91.0,8.1,40.2,'''(Sint nostrum necessitatibus odit maxime quo) , Eum voluptate and Illo rem doloremque vel repellendus'''
dr_coleman_8539,5.0,74.1,71.2,'''Note: Eaque nulla, then Nihil fuga'''
mohammad_jones_3674,63.0,89.1,50.2,'''(Doloribus inventore) , Ut excepturi officiis and Optio esse'''
gary_burgess_6911,67.0,12.1,87.2,'''Aliquid praesentium beatae quis aliquid; Deleniti vero , Tempore pariatur impedit necessitatibus adipisci'''
mr_donnelly_7067,77.0,,92.2,'''Aperiam illo, Deleniti animi labore dolorem Ipsam nobis laboriosam'''
tony_wright_3371,66.0,88.1,,'''(Explicabo) , Fuga numquam dolorem dolores and Voluptatum laudantium id dolorum mollitia'''
julia_simpson_7842,80.0,54.1,97.2,'''Officiis amet; Neque recusandae , Tenetur ex'''
dr_morgan_0365,85.0,6.1,99.2,'''Nostrum praesentium: Expedita iure, Ipsum vero quidem totam'''
rhys_payne_2047,10.0,98.1,94.2,'''Aperiam natus, Occaecati Voluptates deleniti nostrum quis possimus perspiciatis'''
roger_patel_3261,27.0,47.1,27.2,'''Note: Fugit vero adipisci quibusdam totam, then Deserunt'''
terry_kirby_2717,94.0,65.1,1.2,'''Sint mollitia, Aperiam ipsum eveniet doloremque ab dolorum Nam temporibus'''
dr_walker_0739,28.0,68.1,95.2,'''Velit; Repellendus voluptatibus nemo cum , Consequuntur quod numquam'''
malcolm_barnes_7434,77.0,73.1,28.2,'''Debitis, Voluptates sint Dolorem nulla'''
oliver_white_5666,66.0,21.1,49.2,'''Debitis sed aliquam; Eveniet , Sequi iusto quisquam'''
norman_matthews_8564,15.0,73.1,49.2,'''Quibusdam quis veniam rem quis, Ipsum hic architecto repellendus Fuga ducimus'''
maurice_james_9829,49.0,44.1,40.2,'''Note: Nihil provident nisi expedita, then Dignissimos possimus'''
george_murphy_9926,9.0,85.1,52.2,'''Note: Hic sapiente minima, then Iste amet'''
liam_collins_2673,,16.1,30.2,'''Fuga magni ipsa odit, Inventore incidunt quam vel Possimus magnam incidunt'''
mr_duffy_9822,36.0,78.1,20.2,'''(Dolorum ipsam nobis) , Fugiat nam animi iure saepe and Labore tenetur'''
barry_brown_7883,11.0,61.1,20.2,'''(Rem labore) , Nostrum odit and Est porro saepe officiis'''
miss_howell_6084,68.0,58.1,21.2,'''Quaerat fugit illum, Distinctio dolorem atque Dignissimos nostrum nesciunt'''
marc_baldwin_5573,23.0,6.1,97.2,'''Note: Itaque, then Temporibus voluptates veniam'''
miss_kennedy_0936,4.0,55.1,77.2,'''Nihil architecto animi illo, Id dolor ratione qui Soluta quos'''
mr_brown_6463,26.0,72.1,34.2,'''Odit: Facilis ut, Id'''
dr_giles_3932,21.0,59.1,30.2,'''(Ea dolores excepturi dicta ratione) , Aut repellat and Quasi neque'''
emily_mitchell_8928,69.0,80.1,44.2,'''Note: Eos illum iste cumque, then Natus nemo debitis'''
dylan_henderson_3754,9.0,75.1,55.2,'''Debitis, Eveniet Saepe ducimus'''
katy_burns_2964,38.0,40.1,24.2,'''Voluptatem, Adipisci quibusdam repellendus nihil Aperiam nobis hic'''
dr_hill_2618,19.0,51.1,29.2,'''Deleniti iusto quis: Nesciunt dolorum, Ipsum possimus'''
dr_hunt_6733,19.0,54.1,88.2,'''Incidunt eum architecto; Debitis laudantium optio esse saepe ipsa , Perspiciatis quidem dolorem'''
teresa_doherty_4493,16.0,84.1,1.2,'''(Recusandae quas hic quidem) , Nobis repudiandae id and Aliquam'''
dr_wilson_9658,63.0,36.1,47.2,'''Odio fugit cum pariatur ex doloribus itaque: Quo nulla ipsum totam libero eaque, Totam asperiores amet nesciunt'''
neil_stone_7056,47.0,62.1,10.2,'''Enim culpa repudiandae vel: Doloremque quo, Reprehenderit maiores natus'''
