username;rating;price;total_count;message
james_jones_3494;49.0;78.1;62.2;'''Note: Thousand sort cup; then Debate blue decide deal'''
brandon_dyer_1081;12.0;1.1;20.2;'''(Catch buy call over short) ; Hour middle and Open second purpose any nearly'''
calvin_hicks_2878;8.0;14.1;64.2;'''Quickly her key course model; Available product others financial ; Mention great sort'''
jasmine_lee_9245;60.0;80.1;19.2;'''Note: Already; then Across page happen fill'''
ronald_garcia_8381;79.0;23.1;58.2;'''Risk PM bar require; Job manager ; Experience early include maintain run himself'''
heidi_parks_7815;80.0;18.1;7.2;'''Walk; Since area term ; Least call discussion'''
stephen_neal_7310;20.0;84.1;36.2;'''Body according party; Business clearly cultural ; Artist style investment buy instead'''
tammy_graham_3446;40.0;15.1;6.2;'''Poor poor water statement certain: Morning do think four full; Item partner'''
rebecca_johnson_5167;24.0;87.1;12.2;'''Air tax this way company end: Continue suffer direction; Physical hundred film talk anything meeting'''
gary_brown_1100;89.0;51.1;86.2;'''Note: Actually threat; then Become door nation out expect soldier'''
erika_love_1900;17.0;93.1;39.2;'''Note: Behind final; then Approach range need present above'''
darin_mcdonald_0695;95.0;66.1;39.2;'''Century table knowledge agency: Table money not mention property; Camera popular'''
bryan_jordan_7313;36.0;22.1;16.2;'''Perform name represent; Health Bring citizen population create month'''
jennifer_smith_1646;68.0;36.1;7.2;'''(Ok brother anyone condition last) ; Table account cold and Floor skin best'''
wanda_young_1338;21.0;35.1;85.2;'''Step agency care investment; Present compare point production soldier ; Apply you'''
kayla_williamson_3849;97.0;65.1;85.2;'''Note: Such nor reduce put; then Total brother minute'''
brenda_lopez_1999;9.0;61.1;64.2;'''Note: Simple accept bad; then Ahead administration air another friend'''
john_james_6049;71.0;1.1;97.2;'''Note: Word; then Then she'''
nicholas_stark_1501;18.0;87.1;90.2;'''Whom under check health pretty: Project story; Necessary former'''
adrienne_day_3007;57.0;19.1;39.2;'''Note: Table; then Office bank level'''
debra_quinn_3997;37.0;64.1;52.2;'''(Though since) ; Particular and Put parent no simply large'''
david_olson_3669;58.0;20.1;55.2;'''(System tough) ; Hospital break and Onto'''
kristi_valencia_0119;;37.1;21.2;'''(Do political on including) ; Put little two on treatment and Report'''
alexander_simpson_8870;63.0;77.1;3.2;'''Note: Say reality; then Only produce understand red street capital'''
keith_watkins_5554;30.0;31.1;62.2;'''Control up discussion: Big push order; Bring leader eight'''
christopher_mcguire_3265;15.0;21.1;93.2;'''Note: Its kind meeting TV; then Own'''
joe_smith_0921;66.0;;45.2;'''Per feeling forget theory really; Know use Girl forget'''
cynthia_torres_3099;22.0;80.1;23.2;'''Note: Keep finally shoulder sit election hard; then Opportunity total'''
maria_wilson_4711;67.0;64.1;;'''Party really go: Interview popular right; Knowledge do leave'''
karen_oliver_3926;47.0;14.1;26.2;'''State later north: Organization much health; Unit they trial'''
julia_jackson_4297;99.0;93.1;55.2;'''(Must write baby) ; Then future right race indeed building relate and Computer big strong'''
billy_johnson_3958;35.0;45.1;46.2;'''Note: Sign bar; then Fast'''
tiffany_carpenter_8834;83.0;95.1;44.2;'''(Billion reach) ; Wonder and Moment'''
kelsey_martin_4701;2.0;92.1;96.2;'''Writer course mention: Able free represent ask; Support book on speak red'''
mark_anderson_3983;72.0;95.1;95.2;'''Together want: Including huge mind so maintain; Ago music dark campaign'''
brian_mccullough_2723;5.0;73.1;44.2;'''(Per common store) ; Try and Lay baby'''
karen_townsend_3142;54.0;69.1;39.2;'''Note: Easy smile long sense; then Impact'''
tara_weber_6343;6.0;20.1;38.2;'''Magazine many should: Floor lose; Student worry'''
elizabeth_beck_4410;98.0;83.1;48.2;'''Note: Surface some will; then Billion bank successful card'''
charles_cain_9922;14.0;77.1;34.2;'''(Question) ; Sing agreement kid president produce and Wish or while'''
james_guzman_8596;33.0;57.1;55.2;'''They example financial; Give smile unit Must agency machine everybody information'''
lisa_huff_4348;66.0;7.1;68.2;'''(Source south clear control) ; Of show and Role short'''
erin_phillips_1576;11.0;24.1;45.2;'''Note: Cost what job; then Your of throughout paper'''
heidi_williams_8305;71.0;85.1;36.2;'''Serious him; Help personal sometimes among food Quite pay where spend material'''
deborah_holmes_1620;41.0;59.1;53.2;'''Tree after dream performance create; Loss budget answer along guess anything Sure education risk most'''
karen_murray_7198;43.0;15.1;88.2;'''Marriage small common: School buy doctor be; Available blood sure catch main find'''
amy_porter_1081;3.0;40.1;33.2;'''Learn seat yet writer can: Exist foreign throughout; Product official data whether'''
mr_kim_0596;47.0;92.1;23.2;'''Note: Fall; then Keep card where Republican prove'''
cindy_castillo_7313;59.0;42.1;19.2;'''(Energy positive identify fall) ; Evidence difficult view man none involve and Pretty turn'''
carmen_liu_7493;100.0;4.1;70.2;'''Stage growth four summer: Since change treatment already; Moment true'''
