username,score,price,description
samantha_gibson_1689,97.0,72.1,"""(Yet section) , Resource because and Source"""
patrick_paul_0644,78.0,33.1,"""Cup just common; Beat star , Time eat recently able"""
alexandra_butler_6512,68.0,89.1,"""Note: Name what hotel, then Land rich conference tell second"""
amber_wright_8685,,45.1,"""Sense card piece sound, Better ago program human them Set as table information"""
john_patterson_0042,80.0,9.1,"""Think whom, Republican Little foot behind"""
james_carlson_0622,29.0,49.1,"""Note: Program, then Easy threat become like around"""
david_palmer_3077,20.0,87.1,"""Across difficult model without leader: Husband father, Writer indeed president else"""
diane_lopez_3741,11.0,79.1,"""Continue whose include: Energy maintain west senior meeting, Respond spend benefit"""
julie_johnson_3046,73.0,92.1,"""(Pass product share he player) , According debate and Ever she agency"""
jeanette_patton_8140,19.0,83.1,"""Rise marriage finally, Likely name significant Computer order"""
joann_rodgers_1961,95.0,74.1,"""Note: Employee southern mouth, then Bring send stay"""
ana_lane_8441,37.0,39.1,"""(Stand) , Sign college and Understand strong try result research stock"""
christopher_hernandez_6601,32.0,7.1,"""(Evidence) , Good activity whether and Single talk spring discussion he meeting"""
amanda_davis_9319,17.0,76.1,"""Collection look serious: Authority water, Participant family"""
natasha_davis_8905,3.0,5.1,"""Mind before so: Respond treat professional total personal, Almost its"""
justin_jr_5916,54.0,10.1,"""(What indeed away Mrs) , Word time with and Guess"""
brandon_williams_7578,100.0,5.1,"""(Hospital value concern hope five clearly) , Him discuss and Out"""
kevin_burton_6622,19.0,18.1,"""Air way people special, Heart reduce hot Choose position program"""
anthony_harrington_0462,29.0,22.1,"""(Cut truth think base) , Much fund audience key and Party as control size others"""
sabrina_parker_9983,49.0,15.1,"""Practice despite here body investment, Population region business Energy give arm more budget"""
teresa_dean_5702,21.0,22.1,"""(Heart ball) , Poor agreement and Common"""
daniel_barrera_4495,3.0,98.1,"""Note: Either mother admit sound, then Then"""
austin_skinner_6388,89.0,57.1,"""Note: Cultural after week, then Concern"""
joseph_dunn_8127,69.0,82.1,"""Law lead throughout, Player City eat report again"""
matthew_park_3903,13.0,84.1,"""(Issue) , I and Arm under I"""
lindsey_parks_3497,26.0,85.1,"""Goal its fear, Represent thousand large anything billion Maintain occur"""
timothy_smith_3331,74.0,,"""Student far relationship community seek; Entire sit close , Year off whole"""
jane_perkins_6910,16.0,71.1,"""(Ok too interesting increase full note) , Matter democratic and Star professional"""
ryan_burton_3344,12.0,33.1,"""East that hand floor week name, Price tough general Season painting dog western"""
nicholas_le_3544,48.0,100.1,"""(Tend article) , Leader woman and Series rate"""
rebecca_brown_3063,35.0,88.1,"""Note: Each, then Others get"""
jonathan_hughes_1311,7.0,6.1,"""Participant anyone blue; Through talk , Decade another far"""
gary_dominguez_5093,77.0,66.1,"""Note: Three single course, then Almost own yard against meeting sister"""
nathan_young_0928,10.0,81.1,"""Return it, Summer population Describe threat"""
katie_colon_8064,25.0,53.1,"""(Tree) , Campaign and Spring international if focus charge"""
meredith_giles_5533,22.0,97.1,"""Note: Development economic PM, then Relationship political remember"""
anthony_stephens_5235,35.0,23.1,"""Physical between teacher these: Kitchen, Network stuff"""
brittney_brown_9750,37.0,3.1,"""Shake region shoulder, Certain popular Cultural down window"""
donna_foster_0332,52.0,16.1,"""Meet perform; Receive song situation , Stage"""
kathy_taylor_7729,15.0,13.1,"""Note: Interesting attorney, then Standard brother"""
kenneth_williams_8130,72.0,38.1,"""Probably until, Factor skin treatment area significant Million form"""
caleb_hale_4185,79.0,42.1,"""Market rock; Debate pretty all drive organization , Usually million PM live"""
matthew_evans_4953,42.0,95.1,"""(Town adult money) , Woman well yes vote house interview and Some one"""
chelsea_sutton_5799,85.0,20.1,"""Mean share still: Position professional generation well tree deal, System explain"""
joseph_allen_5470,61.0,11.1,"""Task security letter; Somebody name public president type , Ability head record"""
diane_williams_1442,95.0,57.1,"""Note: Control, then Onto eat"""
