username,score,comment,note
ashleigh_flynn_9250,5.0,"""Minus, Placeat ipsam error quae ducimus Aspernatur atque""","""Note: Perferendis similique eligendi non, then Reiciendis"""
dr_stephenson_5369,84.0,"""Dolor rerum, At dolores soluta Fuga""","""(Neque cupiditate quae neque) , Autem tempora doloremque and Dolores"""
alexander_watkins_8907,,"""Note: Maxime, then Laboriosam dolorum eaque blanditiis""","""Quibusdam quo, Eaque delectus nemo Modi"""
jane_nash_6600,44.0,"""Ipsa reprehenderit nesciunt, Tempora similique commodi nisi Assumenda nobis praesentium""","""Sed nobis; Facere est labore , Esse enim magni"""
dr_howell_5173,58.0,"""Quibusdam fugit repellendus: Ut minus itaque nobis, Nam""","""(Vel necessitatibus quaerat) , Quos sit modi suscipit and Maxime illo"""
miss_giles_5231,100.0,"""Est nobis nulla, Odio sequi Inventore explicabo velit""","""Corrupti: Voluptatem temporibus, Repellat nemo animi"""
damien_turner_0241,95.0,"""Note: Ratione maiores eos nisi facere, then Labore nostrum pariatur""","""(Dicta unde molestiae tenetur) , Nobis eum and Corporis"""
dr_dobson_3884,87.0,"""Iste; Impedit adipisci , Debitis aliquid rerum""","""(Reiciendis rerum) , Veritatis distinctio nihil eius and Doloremque illum magnam culpa deserunt"""
mr_nicholson_0822,17.0,"""(Quod commodi consequuntur) , Inventore quod velit rerum beatae and Alias""","""Consequuntur accusantium veniam facere nesciunt, Odit natus quod Quos asperiores"""
billy_robinson_0549,79.0,"""Debitis voluptas fuga eligendi, Possimus ab veritatis repellat Unde voluptates occaecati""","""Cumque alias officiis nam eius; Quisquam cumque repellat , Ut perspiciatis"""
miss_carey_3567,73.0,"""Harum: Minima ratione illo laudantium saepe, Expedita officiis numquam ab facilis""","""Asperiores quos incidunt mollitia: Temporibus, Alias quam"""
stephanie_perry_4408,80.0,"""Note: Iure tempore, then Iure voluptatum nemo at""","""Illo quidem beatae; Aperiam cumque maxime , Quod"""
geoffrey_griffiths_8509,75.0,"""Nesciunt; Veniam corporis veritatis , Eos doloribus""","""Sint quaerat quas inventore, Quae sit hic hic At"""
miss_scott_8347,14.0,"""Doloremque fugit unde necessitatibus: Ad laborum esse praesentium, Aliquid aliquam explicabo incidunt""","""(Veniam rem at vitae animi iusto) , Quia recusandae sequi dolorem expedita and Minima voluptatem in minus at"""
dr_scott_1670,91.0,"""(Autem incidunt architecto) , Ipsum eligendi and Sit perferendis fuga beatae assumenda""","""Iusto facere; Facere delectus , Natus repellendus"""
ryan_hayes_2874,8.0,"""Inventore; Praesentium inventore aliquid quam reiciendis , Optio placeat voluptates molestiae provident""","""Ab fugiat neque; Eos dolorem ipsa voluptatum , Aut adipisci mollitia"""
carl_murphy_1025,41.0,"""Note: Corrupti, then Molestiae dignissimos laudantium""","""Quasi ab nostrum; Eius eum omnis , Numquam cum animi"""
kyle_moore_5841,90.0,"""Voluptatibus sunt; Earum esse deleniti , Iure odio dolorem ad ea sit""","""(Repellat at libero) , Commodi libero and Blanditiis ab voluptatum"""
hayley_young_5416,93.0,"""Note: A, then Animi at error repellat""","""Ad; Cumque amet , Vero iure"""
mrs_hobbs_6105,87.0,"""(Modi) , Eos at and Culpa corporis""","""Velit rem; Distinctio facere minus voluptatibus voluptatem , Non voluptatibus"""
mr_bibi_3257,44.0,"""(Dolorum quibusdam exercitationem consequuntur optio) , Nulla quod aliquam quaerat tempore and Iste quas doloribus""","""Unde saepe; Magnam asperiores esse iusto , Nulla magni laboriosam"""
kirsty_hodgson_9966,46.0,"""Tenetur culpa laudantium amet distinctio; Quod quae cupiditate , Nemo harum ducimus soluta quo""","""Note: Consequatur quod, then Tempora nam natus voluptatum"""
albert_joyce_3400,35.0,"""Note: Perspiciatis maiores harum illum, then Laudantium dicta officiis veritatis""","""Exercitationem dolore numquam; Quia iusto , Quo delectus maxime"""
kelly_stevens_5707,3.0,"""Quisquam non porro, Repellat assumenda Temporibus nulla inventore""","""Note: Sunt neque nam perspiciatis, then Temporibus dolores"""
dr_kelly_5580,97.0,"""Nobis qui enim unde; Repellendus magnam unde sequi , Accusantium ipsum iure aliquam corrupti adipisci""","""Iure quod et perferendis, Provident ex perferendis ullam Totam asperiores sequi nesciunt"""
