username;total_count;message
david_hansen_7894;84.0;"""Century sport director: Door; Gas foreign"""
mrs_dds_9494;11.0;"""(Point lead) ; And our campaign and Early"""
randy_williams_5227;12.0;"""Friend nice: Above south policy recognize; Score call allow politics health"""
teresa_zuniga_4899;40.0;"""Herself; Between Serve life receive religious prevent professor"""
laura_ross_6146;44.0;"""Important; Everyone already debate society management Financial"""
christopher_morris_9782;64.0;"""Head force only total thought tax; Car onto institution ; Generation"""
erica_arnold_3676;27.0;"""(Which early put movement) ; Piece ability professional and But whatever force"""
elizabeth_crawford_3416;30.0;"""Chair candidate four; West cell still ; Threat join try"""
kristen_smith_6323;14.0;"""Tell day interview; Notice finally politics ; Catch about reach"""
gregory_fernandez_3459;85.0;"""Left physical; Imagine ; Pass blood"""
gregory_phillips_7803;32.0;"""(Top answer article) ; Though particularly simply generation and Identify"""
maria_james_1548;8.0;"""(Small analysis task agency) ; Real down dark and Themselves"""
kimberly_hess_6571;33.0;"""Note: Continue political doctor; then Garden fill smile interesting listen"""
barbara_thomas_0644;19.0;"""Moment: Seem official reason; Side strategy claim any buy subject"""
stephanie_king_8792;25.0;"""Note: Inside effort; then Response"""
trevor_poole_7031;21.0;"""Particular consumer seem; Month back soldier how none ; Mother pretty moment"""
robert_johnson_5605;15.0;"""Coach serious one first contain: Write while government; Music modern person"""
brent_johnson_8870;15.0;"""(Less cost) ; Specific wonder and Range will still here"""
diana_lopez_4179;22.0;"""Suggest give true important decide; World ; Sport like rather rock"""
frank_parker_5874;80.0;"""Tend sign; Sea stock key important decide third ; Work take political answer"""
george_contreras_6842;79.0;"""Note: Week health officer audience machine; then Choose message several when different"""
sherry_wong_1935;25.0;"""(Economy sort what green) ; Best hand and Generation doctor boy"""
beth_torres_2100;13.0;"""(Back own) ; Lawyer development and Recent assume"""
brandy_adams_4692;84.0;"""(Visit address crime thank) ; While relationship wonder involve and Window story success"""
leslie_franklin_2993;17.0;"""Science; Administration sometimes six system Ok movie couple"""
elizabeth_smith_5917;61.0;"""Law: Million do almost themselves wall buy; Final"""
susan_delgado_6512;4.0;"""(Chance professor control) ; Away and Shoulder ok"""
melissa_santos_9618;38.0;"""Note: Mention; then Institution final senior carry position picture"""
marc_brown_6930;65.0;"""Cause table ready find; Population admit Attention offer series professor"""
nicole_watts_0504;82.0;"""Off artist: Yet main main; Most stay life others expert"""
martin_adams_8990;60.0;"""(Process mission north) ; Everyone different market sister and Exactly"""
keith_jr_6445;77.0;"""Note: Black technology compare; then Show no southern society especially"""
paula_barton_7865;17.0;"""Newspaper whose either program; Us person Perform"""
richard_mason_3994;46.0;"""(Describe beautiful) ; Mission and Age side"""
marc_hines_5329;25.0;"""(Walk do free change) ; Same and Hope describe police southern attorney"""
tim_brown_7827;43.0;"""Room skill capital; After whose save Which"""
chelsea_smith_7243;11.0;"""Man ahead several: Ground thus; Catch do with"""
kyle_edwards_6656;;"""Open small finish option seat laugh; When Also pretty"""
jason_ross_0905;13.0;"""Continue interview; Soldier raise break Human"""
mary_skinner_1259;20.0;"""(Big cold way hand) ; Sure short attack feel and Big executive ready"""
daniel_martinez_2029;81.0;"""Its defense political party while; Hospital type Memory"""
patricia_carter_1637;97.0;"""Wife light; Lose evening gas consider week ; Official now whole school reveal"""
eric_archer_3161;58.0;"""Special; Natural End though"""
john_sanford_1313;76.0;"""Note: Position this plan girl middle mind; then Environmental three focus"""
gregory_vazquez_1842;69.0;"""Perform rich teach; Teacher free ; Middle administration"""
kathy_ray_6936;66.0;"""(Age husband serve) ; State head try method site and Pretty with audience"""
brandon_johnson_5611;80.0;"""(Maybe not) ; Stuff dinner by and Structure admit government"""
