username	price	score	rating	note
dr_coleman_8717	82.0	19.1	95.2	'''Eaque sapiente dolores adipisci quibusdam nulla: Earum sint sit at	 Nihil odio'''
russell_bowen_2916	91.0	28.1	11.2	'''(Eos) 	 Dolores officia possimus ullam and Quas labore possimus quisquam'''
dr_phillips_5615	53.0	91.1	33.2	'''Tenetur debitis	 Accusantium ut Ad'''
tina_curtis_5707	18.0	1.1	97.2	'''Aliquid voluptate est doloremque rem sit; Consectetur velit ad sunt 	 Ex suscipit expedita'''
danny_phillips_8267	18.0	15.1	40.2	'''Labore fugiat: Veniam sapiente maxime	 Saepe'''
kim_chambers_0773		48.1	82.2	'''Qui animi rem	 Sit architecto a non aperiam Fugiat placeat quod voluptate laborum'''
keith_king_1368	98.0	19.1	26.2	'''Officia; Culpa sit rem a a 	 Est debitis commodi error perferendis'''
alexander_davies_6885	93.0	83.1	78.2	'''Sequi eos perferendis; Facere dolores facere 	 Nam ducimus'''
lesley_sinclair_4679	28.0	82.1	76.2	'''Necessitatibus	 Ullam Voluptatum rem id'''
joseph_walker_2844	73.0	50.1	52.2	'''Exercitationem rerum tempora magnam; Optio voluptatem reiciendis optio 	 Exercitationem dolor'''
glenn_green_2323	14.0	3.1	47.2	'''Soluta mollitia iste odio quos: Nihil sapiente porro	 Quos'''
luke_parkes_1971	58.0	83.1	33.2	'''Assumenda	 Perspiciatis fuga officiis beatae Perspiciatis doloremque suscipit'''
dr_ross_6909	76.0	70.1	26.2	'''(Beatae error possimus natus consectetur) 	 Numquam maiores and Nemo'''
graeme_sheppard_7567	52.0	36.1	73.2	'''Vero culpa eveniet veniam accusantium quisquam	 Consectetur temporibus Voluptatibus'''
lesley_mcdonald_1582	51.0	67.1	93.2	'''Rerum; Itaque 	 Explicabo tenetur'''
dr_douglas_9350	56.0	57.1	1.2	'''Quasi occaecati vitae quod veniam	 Facere incidunt necessitatibus id Nostrum dolorum perferendis amet necessitatibus'''
nigel_griffin_5537	53.0	42.1	41.2	'''Iure quibusdam; Quisquam laborum 	 Quas'''
tony_powell_7059	46.0	21.1	56.2	'''Culpa nobis: Dolorum ut voluptatibus	 A recusandae'''
dr_begum_2422	28.0	6.1	30.2	'''Dignissimos facilis neque; Dolores architecto eligendi voluptas earum 	 Quidem distinctio'''
wayne_jackson_6986	34.0	89.1	62.2	'''Consequatur veniam aspernatur voluptate	 Non incidunt Saepe corporis quasi'''
mr_wilkinson_8843	16.0	51.1	66.2	'''Excepturi fuga facere: Dolorum	 Quia hic'''
oliver_smith_0667	68.0	89.1	30.2	'''Expedita alias voluptate	 Doloribus facilis Dolor provident'''
sharon_hart_0675	27.0	3.1	96.2	'''(Quas illo eaque) 	 Qui optio et and Nam facilis sequi tempore'''
terry_duncan_1224	96.0	32.1	85.2	'''Expedita repellendus; Dolor suscipit 	 Necessitatibus molestiae dolorem ipsa adipisci ipsam'''
holly_hart_5181	41.0	68.1	65.2	'''Note: Eaque magni	 then Nihil laudantium fugit'''
abbie_hall_2838	80.0	32.1	98.2	'''Note: Inventore veritatis quos eveniet repellat deserunt	 then Iusto sunt'''
teresa_hill_4643	34.0	78.1	11.2	'''Doloribus nulla recusandae sint	 Recusandae Tenetur temporibus'''
justin_evans_8325	45.0	92.1	82.2	'''Note: Optio rem maiores	 then Qui cum ab illum'''
judith_allen_5248	55.0	52.1	51.2	'''Aliquam culpa: Quam blanditiis	 Iure quod ipsa ratione'''
sheila_thompson_4890	99.0	40.1	11.2	'''(Animi) 	 Harum quae aliquam earum and Est autem voluptates'''
mandy_ball_1260	75.0	31.1	14.2	'''Porro dolore quia: Laborum eum	 Distinctio pariatur aspernatur optio consequatur'''
clare_barlow_2297	26.0	46.1		'''Note: Modi consectetur rerum facilis	 then Earum quibusdam illo laborum'''
sharon_hamilton_8840	38.0	34.1	83.2	'''Note: Autem suscipit voluptate	 then Magni corrupti'''
philip_smith_7264	96.0		41.2	'''Quae numquam: Occaecati impedit	 Vel commodi'''
james_sheppard_4004	55.0	4.1	83.2	'''Note: Iste fugit esse ipsam quaerat doloribus	 then Eos sequi'''
sara_harper_3502	78.0	68.1	7.2	'''Quo blanditiis	 Numquam ipsum vitae ducimus Veritatis libero error'''
gregory_harris_1722	2.0	23.1	64.2	'''Vel sint nisi numquam a illum; Illum 	 Consectetur occaecati'''
benjamin_parkin_2508	15.0	23.1	99.2	'''Inventore odio	 Rem quisquam adipisci aspernatur voluptates Eos'''
marian_patel_1838	71.0	81.1	39.2	'''Note: Nulla impedit voluptatum cupiditate illo	 then Delectus magnam unde consequuntur magni'''
nigel_holden_8750	98.0	19.1	21.2	'''Note: Rem inventore nam numquam	 then Repudiandae totam'''
gerard_steele_3425	14.0	45.1	55.2	'''(Molestiae ipsam) 	 Libero molestiae and Quam commodi dicta harum reiciendis architecto'''
mr_allen_8025	21.0	15.1	41.2	'''Est; Odit ullam consequatur 	 Ea culpa aperiam laudantium'''
debra_pearson_8955	60.0	99.1	23.2	'''(Unde hic temporibus reprehenderit fugit in) 	 Neque quasi ab and Numquam'''
miss_robinson_2434	36.0	69.1	7.2	'''Accusamus aliquid	 Accusamus Aliquid quo'''
shaun_richardson_2239	33.0	70.1	50.2	'''Eligendi odit repellat; Vero 	 Vel earum nemo deserunt'''
ronald_stevens_1012	41.0	42.1	6.2	'''(Dolorum impedit assumenda) 	 Quisquam vitae occaecati deleniti and Cum rem at beatae'''
james_ryan_6470	19.0	21.1	54.2	'''Perspiciatis et provident	 Asperiores quidem eaque Recusandae atque'''
louise_rowley_2326	81.0	35.1	47.2	'''Eius similique id	 Neque voluptatibus Quam nam velit molestias'''
