username,rating,salary,total_count,remark
timothy_parker_9865,62.0,4.1,4.2,'''Note: Around civil lawyer, then Also'''
erin_hayden_5635,33.0,100.1,16.2,'''(Already national western man toward they) , Key there economy and Away call institution yeah people'''
nicholas_king_7291,14.0,98.1,87.2,'''Friend top; Most sort reach nor these , Stuff different first trip'''
david_roberts_4339,51.0,14.1,36.2,'''Blood later bill he experience best, Red Real'''
jonathan_johnson_7723,72.0,23.1,70.2,'''Prove involve win, Rather Report common'''
denise_pena_0961,44.0,48.1,2.2,'''Case interesting any above, Its spend Avoid lot time'''
shelly_ellis_9830,57.0,60.1,27.2,'''Quality woman good; Campaign , Deep section'''
franklin_johnson_6981,67.0,53.1,81.2,'''Goal; Work both car , Upon main house'''
kristina_robinson_0567,22.0,81.1,47.2,'''Establish, Should nothing Skin'''
david_gilmore_7543,29.0,69.1,10.2,'''(Yourself nor from up) , Movement red and Site'''
anne_newton_0784,61.0,91.1,39.2,'''Their lay time minute well, Or suddenly Traditional health sing'''
zachary_mercer_8144,,48.1,70.2,'''Unit president break, Hard Class which'''
carolyn_olson_9335,29.0,79.1,68.2,'''(On wife) , Far side and Tax forward international'''
mary_willis_5119,93.0,77.1,18.2,'''Heart outside spring, Should performance Recognize choose first coach'''
angela_jimenez_0424,32.0,98.1,17.2,'''Call; Specific step early wear , Meet process'''
kevin_duke_8390,90.0,66.1,95.2,'''Already claim current; Movement , Effect see environmental'''
alexis_cooper_8426,37.0,95.1,55.2,'''Note: Parent less see design real, then Maintain'''
sheila_roberson_4602,13.0,94.1,39.2,'''Today near hope term; Lot man when think then , Next real western natural'''
anthony_whitney_0529,44.0,69.1,51.2,'''(Shake) , Yard clear stop picture and Message other'''
bill_reed_5386,98.0,98.1,53.2,'''Force management fine country: Six three, Arrive site above'''
paula_morris_9471,57.0,30.1,17.2,'''Executive by open, Idea Program'''
anthony_cunningham_5112,43.0,76.1,82.2,'''Relationship believe, Ago morning Probably true program'''
thomas_johnson_6185,84.0,48.1,27.2,'''Gun simple pressure manager; Onto organization next suddenly action , Serve health point'''
jerry_dunlap_6506,6.0,11.1,30.2,'''(Audience Mr remember might) , Event set and Cover and check about present'''
brian_smith_9850,80.0,45.1,1.2,'''(Conference kid never before ball) , Pick and Kitchen'''
cindy_williams_3428,43.0,56.1,60.2,'''Hospital, Unit care huge Must able our within ask product'''
spencer_lowery_7593,39.0,38.1,65.2,'''Note: Describe mention method, then Lay itself'''
stephanie_white_2573,63.0,97.1,80.2,'''(Foot though) , Idea and Project conference technology myself'''
julie_thompson_6688,90.0,2.1,58.2,'''Note: Stock begin energy, then Tax arrive song across product'''
richard_larson_8426,40.0,67.1,4.2,'''Miss present professional because; Culture common claim , Soon entire son dream'''
justin_garcia_8437,99.0,35.1,40.2,'''Huge near pull your, Seven total three thousand need political Such million'''
melanie_wilson_8912,65.0,3.1,43.2,'''(Anyone) , Affect model happy and List white wrong'''
veronica_garcia_2351,67.0,,49.2,'''Increase range, News Stock when'''
kathleen_good_4946,53.0,93.1,42.2,'''Meet happen president finish agree investment, Answer participant clearly magazine Somebody church different majority alone'''
logan_thompson_8143,35.0,77.1,52.2,'''Note: Seem nothing say, then Establish speech several participant'''
nicole_saunders_8759,16.0,58.1,44.2,'''(Article relationship rather team) , Pretty cut run much and House member study sell'''
isabella_bryant_7636,75.0,90.1,,'''Note: Part feel, then Own north national similar'''
matthew_luna_8921,87.0,28.1,27.2,'''Trouble final others almost hour place, Until difference money though Red air direction main'''
isabella_morgan_6654,36.0,8.1,6.2,'''(Society positive oil) , Require baby role and Take attention'''
david_dennis_6721,63.0,53.1,29.2,'''(Ability available note personal) , Teacher often and Significant'''
amanda_atkinson_7569,77.0,6.1,90.2,'''Hundred end one, Paper voice Wear list'''
melinda_ewing_9090,49.0,12.1,97.2,'''(Without yard save run) , Carry east and Put benefit'''
deborah_harvey_2178,52.0,73.1,16.2,'''Service field ball: Still but avoid, First air'''
anthony_williams_9278,56.0,17.1,43.2,'''(Family interview serious) , Law note PM watch agent huge and Try least'''
drew_cox_7684,98.0,65.1,18.2,'''Evidence PM; Toward ball something court , Dream able remember it break'''
daniel_richardson_8491,10.0,39.1,54.2,'''Note: Explain indicate real, then Cover campaign weight mouth good'''
adrian_caldwell_0580,43.0,60.1,26.2,'''(Plant case personal something member alone) , True question leave and Anyone'''
sandra_mitchell_3493,96.0,76.1,97.2,'''Trip and, Body fire maintain fact everything race Event leader nothing behavior sure'''
amy_brown_8083,62.0,90.1,45.2,'''Result eye reason notice; This however , Daughter member assume'''
