username,price,age,summary
mr_benson_7112,5.0,81.1,"""Itaque officia, Sint quod Provident magnam"""
cheryl_allen_0243,78.0,100.1,"""Ex accusantium, Libero vel blanditiis quas Error"""
donna_benson_8668,22.0,34.1,"""Fuga, Natus natus esse Sed dicta quidem officiis"""
mrs_bennett_7290,82.0,83.1,"""Expedita occaecati rem omnis praesentium, Eligendi nobis accusantium Earum est"""
edward_jones_9900,6.0,33.1,"""Note: Earum, then Voluptatum maiores"""
danielle_carroll_7384,40.0,50.1,"""Officiis: Consequatur in, Illum expedita voluptatum reiciendis"""
joan_turner_0710,98.0,38.1,"""Note: Sapiente est possimus voluptas exercitationem, then Accusamus"""
dr_mitchell_8892,70.0,97.1,"""Vel natus deserunt veniam; Molestias magnam , Reprehenderit earum"""
marion_ahmed_7269,24.0,60.1,"""Consequuntur: Eius sint, Neque voluptas non eveniet fugiat ipsam"""
mr_clarke_5094,86.0,60.1,"""Minus quis, Quae nihil porro Incidunt"""
ann_green_1502,27.0,4.1,"""(Pariatur nihil) , Fuga and Culpa provident ullam"""
georgina_hughes_5159,28.0,17.1,"""Architecto voluptas eligendi distinctio adipisci, Dignissimos ullam Nam"""
darren_fisher_0545,22.0,,"""Note: Expedita libero, then Aspernatur"""
leslie_taylor_3693,97.0,57.1,"""Note: Distinctio cum cum, then Vitae culpa doloribus quidem nulla"""
clare_kelly_7049,43.0,45.1,"""Eius natus: Impedit velit expedita, Magni facilis laboriosam"""
mary_coleman_6984,68.0,28.1,"""Note: Veniam quae eos aperiam, then Voluptatum cupiditate tempora aliquid facilis"""
dr_mcdonald_9339,32.0,23.1,"""Natus veniam repellendus, Totam recusandae Provident vel"""
mr_sykes_5162,48.0,60.1,"""Note: Dolores esse sapiente, then Repellat corrupti nostrum magni incidunt"""
dr_griffiths_8281,40.0,13.1,"""Consequuntur: Quo, Temporibus dolorum"""
mitchell_hunt_2619,27.0,7.1,"""(Nostrum cum laboriosam ex totam adipisci) , Eveniet aliquid and Ullam nam nihil deserunt pariatur"""
mr_cooke_6552,,4.1,"""Note: Harum autem blanditiis, then Reiciendis tempore pariatur"""
mr_chapman_7103,41.0,99.1,"""Aliquid explicabo; Incidunt , Enim animi pariatur quibusdam"""
alexandra_evans_3522,49.0,46.1,"""(Officia dolorum adipisci) , Facere voluptates corrupti amet and Necessitatibus non"""
marie_ford_8319,89.0,64.1,"""In repudiandae necessitatibus; Necessitatibus aspernatur , Id veritatis fuga"""
mr_scott_8149,52.0,36.1,"""Tenetur aperiam nihil, Blanditiis molestias praesentium dicta et iure Consequuntur"""
andrea_wheeler_5513,95.0,94.1,"""Impedit labore nobis dolorum; Dolore ipsam reiciendis sunt cupiditate , Voluptatum beatae quibusdam"""
