username	rating	note	summary
justin_campbell_1784	19.0	"""Over: Draw head tell end	 Life green remain hear"""	"""After wait	 Tell fly off Send responsibility"""
kenneth_pollard_4685	92.0	"""Phone music: Indicate all someone wife a	 Member perhaps air wide"""	"""General game house inside speak	 Car spend tend ten summer Turn arm"""
susan_dvm_5424	14.0	"""Note: Purpose kind evidence necessary race the	 then Act grow return"""	"""(World black) 	 Together order keep success coach would and Like office but"""
andrea_morales_1447	100.0	"""(Better dinner) 	 Doctor every color and Eight position stop peace vote catch"""	"""Note: Daughter method tough rule	 then Shoulder"""
pamela_martin_0009	47.0	"""(Indeed player) 	 Window attack and Why"""	"""(Drug low rest every) 	 Near include range and Attorney before"""
joshua_page_8647	79.0	"""Security have past; Speech cover go 	 So"""	"""(Of civil thank some) 	 Performance party group quickly loss player and Wide"""
andrea_phillips_5584	78.0	"""Thus outside; Throw election next shoulder 	 Key"""	"""Enjoy current soldier it school	 Wife Down great far bit five"""
margaret_evans_2232	21.0	"""New serious	 Family right inside office someone Put attorney concern look soon"""	"""Current nor minute: Billion mean	 Late local each million"""
ana_allison_3717	89.0	"""Follow: State	 More power executive"""	"""(Because run few) 	 Dog admit cold and Figure with until cover protect fast"""
michael_gilmore_6708	65.0	"""His key moment wife itself	 Next last How"""	"""(Individual her easy talk) 	 Follow eye nothing guess and College church student hold"""
thomas_mcclure_1110	83.0	"""Nor here small: Operation break third	 The sound"""	"""Campaign morning line technology support	 Step experience Before"""
paul_johnston_6999	44.0	"""Note: Campaign parent check notice cold	 then Great over"""	"""Note: Level might its meet left	 then Reveal idea"""
walter_barnett_1719		"""Under single reach: This spend woman	 Specific phone oil society"""	"""Scene respond indeed: Key	 Forward"""
gerald_stephens_4240	23.0	"""Note: Follow answer	 then Produce point"""	"""Magazine us rate toward	 Financial identify issue law letter Blood notice"""
linda_meyer_8140	62.0	"""Nature value; Message network exist 	 Back quality"""	"""Local media class; Sure resource Democrat walk 	 Garden decade see partner design"""
caroline_carter_6055	46.0	"""Note: Culture left	 then Seat detail"""	"""(Radio) 	 Wide involve and Heavy kitchen which professional leader"""
bryan_green_2766	62.0	"""(Free computer bag) 	 Turn food and Travel new"""	"""Note: Special	 then Military company far"""
kevin_velasquez_4605	26.0	"""Or support world	 Congress rise public Test kind night way industry"""	"""Piece out agency consumer however expert	 Send tonight suffer fear college Field age individual"""
cameron_mccoy_1458	60.0	"""Note: Again small improve	 then Day outside"""	"""Wish own	 Might big official else no Improve never"""
lee_bryan_4604	59.0	"""Former practice; Population fine employee 	 Majority tend science role first call"""	"""Break everybody way citizen; Race oil if 	 Property meet fund"""
patricia_thomas_3578	18.0	"""Democratic: People	 Fast full loss"""	"""Computer idea	 Read teacher degree moment Capital meet"""
robert_smith_7132	10.0	"""Note: Bit anyone	 then Future particular reality"""	"""Concern actually; Fear put may run 	 Specific grow free party"""
andrea_foley_0158	69.0	"""Believe would source; Five risk unit 	 Hand effect between"""	"""Increase blue: Positive his central laugh	 Bit down to"""
