username,score,age,total_count,comment
dr_finch_4022,29.0,2.1,8.2,"""Perferendis corrupti, Reiciendis Ut incidunt"""
mrs_conway_4742,74.0,21.1,94.2,"""(Blanditiis voluptate eius) , Accusamus necessitatibus ut cupiditate optio and Accusantium quo"""
mr_booth_9424,51.0,55.1,98.2,"""Quisquam corrupti praesentium: Fugit voluptatibus animi iste, Quibusdam dolore"""
mr_knight_4558,83.0,8.1,1.2,"""(Natus rem fugiat possimus) , Harum and Doloremque quos fugit quisquam"""
molly_kelly_7137,30.0,38.1,98.2,"""Quidem, Asperiores eius Commodi culpa nam"""
gerard_baldwin_6182,53.0,4.1,38.2,"""Facere sunt saepe doloremque neque; Animi quia , Expedita porro"""
leonard_hill_9442,11.0,32.1,86.2,"""(At dolorem quam) , Eveniet voluptas and Blanditiis fugiat"""
dr_price_1345,9.0,99.1,46.2,"""Note: Architecto, then Odio"""
mr_waters_2052,71.0,42.1,22.2,"""Quod velit iste: Rem ipsum atque, Recusandae"""
dr_wright_8585,61.0,18.1,30.2,"""Error doloremque excepturi quae: Saepe possimus sit, Repudiandae quas molestiae"""
rita_skinner_0864,50.0,9.1,100.2,"""Excepturi reprehenderit ducimus: Facere consectetur vel placeat, Veniam fugit"""
christian_booth_3709,63.0,57.1,12.2,"""Note: Nesciunt nihil blanditiis eius, then Incidunt assumenda vel maxime"""
dr_lynch_7843,50.0,92.1,51.2,"""Alias nemo reiciendis; Similique soluta atque voluptas , Odit eaque aut fugiat"""
marc_davies_2906,8.0,59.1,28.2,"""(Inventore harum tempora quasi voluptates) , Corporis id esse and Quae exercitationem"""
mrs_patel_9377,3.0,91.1,31.2,"""(Repellat porro quisquam incidunt) , Corrupti deserunt a and Magnam ad et natus sint commodi"""
janice_patterson_1278,26.0,99.1,16.2,"""Note: Hic, then Vitae aliquam inventore"""
geraldine_jennings_8426,32.0,90.1,68.2,"""Eius; Numquam , Aliquam nulla"""
callum_read_1395,,10.1,75.2,"""(Ipsum) , Excepturi similique and Atque omnis nesciunt nam quod sint"""
dr_harrison_0461,32.0,93.1,74.2,"""Doloribus: Tenetur, Aliquam at"""
zoe_clarke_6733,78.0,77.1,93.2,"""(Voluptates) , Eaque facilis quasi and Corrupti quis incidunt consectetur"""
mrs_andrews_4141,1.0,35.1,83.2,"""Debitis quod tempora: Nobis eum, Commodi magnam minima odio porro minus"""
mrs_taylor_5668,77.0,66.1,80.2,"""Hic pariatur impedit nemo iure libero: Eos, Ab sit"""
irene_brown_5444,51.0,,18.2,"""Voluptatem ullam: Cupiditate quis pariatur nihil, Repellat corporis iusto recusandae nesciunt repudiandae"""
julie_campbell_8151,94.0,2.1,60.2,"""Quisquam iusto tempora reprehenderit cum laborum; Aliquam , Facilis voluptates veniam ab sequi recusandae"""
eileen_kelly_5608,54.0,17.1,66.2,"""(Illo amet) , Molestias ipsum voluptate vel ipsam laudantium and Ullam ducimus velit amet itaque non"""
ross_stewart_6891,12.0,95.1,15.2,"""Ab deleniti sint adipisci, Ex voluptatum quae neque Et quibusdam"""
mr_taylor_7867,25.0,12.1,14.2,"""Ad ullam ducimus: Culpa, Iste error"""
mr_cox_1408,89.0,71.1,42.2,"""Note: Consectetur placeat, then Voluptatum iusto delectus"""
gillian_reed_0080,59.0,85.1,97.2,"""Note: Fuga amet illum nihil, then Fugiat esse"""
bruce_long_4780,7.0,23.1,,"""Nemo nisi: Vitae quidem, Nemo aliquid expedita"""
beth_shah_3224,79.0,5.1,85.2,"""Distinctio: Molestiae perspiciatis nemo labore consectetur, Fugiat"""
richard_harrison_9117,67.0,26.1,98.2,"""Note: Nam cupiditate, then A magni"""
leah_green_2018,97.0,21.1,2.2,"""Autem consequuntur: Odit, Nulla officiis"""
mrs_heath_1719,51.0,14.1,45.2,"""(Et eaque minus) , Iure dolorum eos a and Ipsam omnis ea natus"""
dr_clarke_9185,47.0,68.1,32.2,"""(Corrupti aliquid amet nesciunt nulla vitae) , Sequi corrupti quae ullam and Deleniti fugit nam dolores ullam"""
