username	rating	description
miss_barrett_0676	15.0	"""Note: Necessitatibus sit dignissimos iste	 then Officia illum suscipit"""
wendy_freeman_2473	82.0	"""Note: Tempora ipsa	 then Placeat"""
robin_burton_9921	26.0	"""Note: Tempora maxime	 then Voluptate numquam"""
jacob_robinson_2624	29.0	"""Ea facilis corrupti; Explicabo 	 Eligendi temporibus"""
kimberley_wood_9276	53.0	"""(Eaque fugit ducimus) 	 Sint veritatis porro natus temporibus and Architecto omnis dignissimos in inventore"""
dr_pugh_5063	16.0	"""(Quis eum) 	 Alias quibusdam and Quas architecto"""
jacob_hussain_1592	66.0	"""Laborum laborum velit	 Porro odit quis aperiam Dolorum ducimus"""
miss_jackson_4963	68.0	"""Accusantium eaque delectus possimus nemo pariatur: Doloribus magnam voluptatum	 Omnis sequi earum illo"""
aaron_turner_6076	46.0	"""Illo repudiandae nisi quas sint: Autem mollitia voluptatum	 Voluptatibus facere"""
alison_stephens_3912	31.0	"""Quam culpa quae voluptatibus iste	 Quo libero excepturi Molestiae nisi"""
irene_butler_4254	50.0	"""Atque iure ea consectetur: Consequatur rerum	 Iure in at"""
tracey_gallagher_0352	62.0	"""Note: Eius molestias excepturi	 then Omnis impedit veritatis"""
miss_edwards_5732	4.0	"""Sed aut provident; Vel 	 Corporis dolore explicabo quibusdam"""
dr_wood_8489	80.0	"""Optio quidem	 Iure Eligendi"""
vincent_hicks_8794		"""Note: Sequi necessitatibus neque	 then Repellat necessitatibus"""
mitchell_willis_4762	29.0	"""Accusamus sunt rem; Ex eveniet dolores 	 Unde quasi"""
edward_jones_4063	32.0	"""(Perferendis porro) 	 Soluta aliquam culpa and Sunt accusamus"""
reece_coles_3259	86.0	"""Voluptatibus praesentium nulla laudantium: Quo voluptatibus fuga	 Ea"""
harry_rowley_2942	99.0	"""Soluta dolor iure	 Ut magnam in Ea inventore nemo hic"""
liam_elliott_9577	65.0	"""Dignissimos facilis quidem	 Voluptatem et dicta asperiores Doloribus a a iure"""
rita_green_6279	64.0	"""Enim consectetur porro; Nemo beatae nam 	 Atque distinctio"""
clive_holden_2051	69.0	"""(Quas eligendi repellendus) 	 Corrupti enim and Explicabo voluptas aperiam voluptatum"""
mrs_gregory_9276	16.0	"""Note: Eum incidunt repudiandae voluptate	 then Repellat et atque"""
louis_humphreys_3907	98.0	"""Consectetur sapiente quaerat facilis; Vitae tempore aperiam 	 Esse quasi eligendi officia"""
ms_parsons_1530	4.0	"""Assumenda doloremque incidunt	 Ipsam ad perspiciatis perspiciatis Dignissimos impedit consequatur"""
josephine_smith_5733	46.0	"""Note: Amet et	 then Debitis quidem nisi quae"""
aimee_begum_1425	10.0	"""Note: Modi laboriosam	 then Officiis totam nesciunt"""
mr_brown_0265	71.0	"""Eum iste quibusdam eaque: Eius ea	 Culpa officia magnam occaecati"""
june_stewart_1143	58.0	"""Omnis vel occaecati eveniet est	 Ipsum nostrum doloremque Qui et repellat architecto"""
david_khan_1672	60.0	"""Assumenda deserunt vero ab recusandae; Hic blanditiis quo ipsam aperiam 	 Maxime consequatur aliquam nihil voluptates"""
kenneth_cooper_7155	9.0	"""Provident	 Quaerat magni excepturi impedit Cum qui"""
dr_mason_5885	100.0	"""Note: Earum porro	 then Autem laborum beatae"""
diana_johnson_6235	51.0	"""Mollitia earum amet facere corporis ex; A aut omnis nam cupiditate reiciendis 	 Sapiente mollitia natus recusandae maiores odit"""
dr_matthews_5889	54.0	"""(Minus placeat) 	 Libero dolores pariatur laborum and Blanditiis explicabo autem dolorem"""
dr_carter_5101	88.0	"""Sequi maiores ullam quam voluptas	 Rem a facilis exercitationem Ipsum"""
anne_white_7190	52.0	"""Voluptatibus reprehenderit nihil; Libero modi 	 Qui"""
mary_clayton_3721	50.0	"""Note: Perferendis velit	 then Alias excepturi"""
dr_cole_2544	67.0	"""Quis; Cum ex facere 	 Iure"""
ryan_harding_2039	10.0	"""Aspernatur doloremque impedit sed error; Ipsum ad 	 Quam nesciunt eius"""
amelia_rice_5325	61.0	"""Note: Quod	 then Cumque occaecati quas incidunt"""
