username;rating;total_count;salary;summary
brenda_martinez_7174;56.0;37.1;81.2;'''Performance example: Operation lead employee; Contain whose left team'''
brenda_bell_3887;40.0;51.1;38.2;'''(Section short data over) ; Season poor and Opportunity'''
alicia_stone_5581;92.0;29.1;10.2;'''Receive pressure; Test hotel alone north Feel board throw place'''
alyssa_shaw_9243;40.0;2.1;30.2;'''(Computer dark life happen media) ; Read wall letter and Nothing'''
wesley_wolf_4259;79.0;70.1;57.2;'''Civil now owner; Tell ; Two material figure'''
nathaniel_weaver_5665;90.0;92.1;98.2;'''Report dream myself no; Long concern write recently Money painting available down work maybe'''
bryan_herrera_1599;22.0;;48.2;'''Operation like number explain military land: Since individual budget mean ahead; Everybody'''
james_delgado_0332;13.0;39.1;82.2;'''Expect season; Become local Less investment'''
walter_smith_4669;30.0;44.1;27.2;'''Kid these strong; Alone read stage probably animal establish ; Teacher'''
emily_sanders_5989;79.0;81.1;66.2;'''(Produce design require trade teacher) ; Language yeah enough one and Way answer'''
selena_roman_1346;92.0;91.1;100.2;'''Education and military: Live stage want group; Most arrive exist'''
jessica_watson_6530;79.0;26.1;28.2;'''(Chair) ; Wall brother son forward individual and Full unit difficult matter traditional nothing'''
vanessa_francis_1329;55.0;37.1;43.2;'''Once movie; Medical natural others themselves soon take ; Believe suddenly brother director him'''
jeremy_parrish_7148;41.0;14.1;57.2;'''Rest increase day kitchen; Official north go agent few ; Think down oil who may appear'''
heather_martin_5334;87.0;10.1;22.2;'''Note: No least seem; then Out policy think'''
samuel_woods_5110;15.0;4.1;6.2;'''Few include own certainly strategy; Population threat ; Price report'''
francisco_green_9599;97.0;72.1;84.2;'''Sound bit subject operation three: Create without order; Report site lot'''
ryan_chan_3215;6.0;26.1;23.2;'''Note: Church situation; then North expect type nor can'''
brenda_anderson_6315;56.0;95.1;9.2;'''(Evening including pressure involve) ; His little population hour able watch and Campaign purpose best wrong drug'''
peggy_johnson_0087;76.0;61.1;25.2;'''(Approach write gas) ; Treatment into three and Argue'''
andrew_thompson_7488;1.0;35.1;41.2;'''Note: Sure statement economic; then Action sport'''
richard_meza_7151;74.0;60.1;;'''Want section size; Contain identify fight ; Town heavy'''
marcus_davis_7799;44.0;35.1;22.2;'''(Street TV) ; Occur and Big agent though'''
lisa_willis_3476;2.0;15.1;39.2;'''Eye word; Apply ahead use ; Speak'''
david_dds_3004;25.0;73.1;20.2;'''(Back letter soldier recently wife send) ; Imagine capital that section and Wide will ready'''
seth_esparza_5486;;53.1;91.2;'''(Operation such glass) ; Do authority run ago nation and Hope serve charge'''
brandon_wheeler_6687;19.0;41.1;64.2;'''Success suggest four; Age break ; Name blue'''
henry_crane_8548;86.0;88.1;90.2;'''Here executive lot; Situation admit soon ; Know'''
norman_horn_9076;54.0;49.1;29.2;'''Note: Trip; then Nice pressure see interesting agreement grow'''
ms_dvm_9494;4.0;17.1;8.2;'''Ready call: Power; Father member'''
karl_martin_2570;40.0;51.1;66.2;'''Note: Talk anyone part; Involve let'''
shannon_walker_9013;5.0;48.1;75.2;'''(Address) ; Big and Matter Mr energy source'''
ms_dds_8510;51.0;65.1;77.2;'''Point reduce career skin figure: World carry culture message; Discover pull'''
john_silva_6235;96.0;28.1;9.2;'''Candidate culture else put television; Democratic your increase organization Bag different century'''
dawn_morris_1672;65.0;21.1;16.2;'''(Enjoy fish open) ; Born international maybe and Not operation without'''
gregory_gonzalez_2983;73.0;41.1;50.2;'''(Better increase) ; Activity pattern and Whose risk camera whole admit'''
alexander_horne_7916;39.0;63.1;33.2;'''(Often out) ; Season address couple and Produce hospital'''
mr_anderson_5439;61.0;81.1;52.2;'''Off art safe; Space out news Suddenly once save part office rise'''
rebecca_martinez_7554;81.0;43.1;59.2;'''Note: Particular program; then Audience score per'''
chad_bradley_9981;35.0;63.1;4.2;'''Successful compare board: Claim college him; Month near'''
anna_kelly_2523;34.0;85.1;66.2;'''(Where require whole authority job) ; Suggest cell low interest and Think hundred chair happen director candidate'''
megan_delgado_1189;78.0;22.1;4.2;'''(Each international too talk do) ; Make hair and Size really'''
