username;score;total_count;note
janet_clark_8373;35.0;82.1;"""(Et repellendus aperiam facilis) ; Officiis voluptatum hic quod and Tempore atque"""
tracy_matthews_5522;30.0;39.1;"""Note: Cupiditate; then Maxime iusto rem maxime"""
dr_waters_2972;66.0;20.1;"""(Ex ducimus) ; Sapiente quas ut and Nemo rem sapiente rerum perferendis"""
neil_cole_4207;18.0;71.1;"""(Assumenda quam deserunt ipsam) ; Explicabo commodi and Rerum recusandae totam"""
william_parsons_6879;34.0;3.1;"""Note: Cum officiis; then A pariatur autem ut"""
nicholas_rose_6118;85.0;37.1;"""(Nam alias ratione nam) ; Animi repellat and Facilis doloribus doloremque explicabo fugit ratione"""
nicola_ryan_1050;84.0;80.1;"""Provident enim; Dicta ut ; Nesciunt illo"""
paul_bradshaw_6261;74.0;55.1;"""Dolor maiores illo dolor; Perspiciatis eos laborum sit Ullam recusandae architecto"""
vanessa_lees_3390;72.0;72.1;"""Quasi velit esse perferendis at; Accusamus accusamus Incidunt minima"""
gareth_smith_1133;55.0;98.1;"""Hic nam est: In ducimus; Recusandae suscipit"""
frederick_morgan_5250;9.0;97.1;"""Quae assumenda esse reiciendis: Dolorem exercitationem; Soluta in iste molestias magni voluptas"""
vanessa_singh_4073;;4.1;"""Note: Odit quis; then Rerum sit tempore"""
jacob_turner_6485;31.0;47.1;"""Note: Quidem assumenda; then Porro qui"""
joan_hamilton_4741;76.0;92.1;"""Note: Iste eligendi commodi deleniti; then Sequi esse"""
barbara_parkinson_0092;68.0;;"""Dignissimos enim occaecati; Quidem sit illo Occaecati neque quo"""
dr_brown_6532;100.0;77.1;"""Omnis cumque ipsum ipsa; Sunt illo id Consequuntur ducimus ex"""
kerry_lee_8885;94.0;61.1;"""Asperiores quos voluptatibus neque; Magnam architecto laborum Libero in earum"""
mr_goddard_9164;5.0;87.1;"""Vel et repellendus odit: Earum dolores eius culpa; Debitis accusantium mollitia eos"""
roger_thompson_4764;22.0;73.1;"""Esse perferendis occaecati; Quaerat inventore vero cupiditate Odit cupiditate"""
zoe_james_3764;86.0;86.1;"""(Itaque eos) ; Aperiam and Totam officia"""
ms_boyle_1403;69.0;69.1;"""Note: Fugit laboriosam; then Reiciendis"""
karen_mclean_7460;43.0;73.1;"""Eligendi: Tempore labore; Quisquam consectetur fuga"""
max_ford_4833;82.0;51.1;"""(Sequi magnam) ; Laudantium quam sapiente ad and Iste sed exercitationem ab"""
francis_marsh_6946;71.0;84.1;"""Note: Eveniet omnis; then Laboriosam vero blanditiis"""
amy_thompson_8260;74.0;1.1;"""Occaecati architecto cumque voluptatum harum; Eos Animi quidem"""
