username,rating,age,salary,remark
seth_dds_9844,32.0,92.1,41.2,'''Note: Attention, then Participant test structure structure'''
miguel_torres_8137,19.0,78.1,52.2,'''Oil what: Positive per conference development voice, Recognize spend card inside station'''
paul_oconnell_7475,93.0,31.1,20.2,'''(Choice night every six) , Include oil behavior and Citizen citizen forward'''
carrie_robinson_5369,76.0,98.1,15.2,'''Feeling part trial, Contain reach Town nearly prevent'''
megan_pruitt_8477,56.0,67.1,57.2,'''Sometimes where read rest safe, Cell better Particularly still'''
adrienne_thompson_9264,72.0,71.1,32.2,'''Up middle apply nation ability drop, Something something Drop movie'''
danielle_werner_2040,61.0,,92.2,'''Why toward west social crime: Treat religious, Recognize agent poor first'''
erika_navarro_6389,35.0,47.1,67.2,'''She; Describe feel activity improve your , Pull popular argue suggest thus'''
william_gibson_4310,44.0,95.1,25.2,'''Note: Individual financial try know value chair, then Including'''
christopher_coleman_3961,100.0,63.1,25.2,'''Land trouble social; Each media southern , Same process follow admit keep'''
luke_arnold_3965,77.0,81.1,2.2,'''Site network: Fine pick while provide property, Method surface'''
sandy_schmidt_7270,10.0,46.1,66.2,'''Buy season, No car who top each Third maybe somebody'''
jessica_howard_6863,57.0,92.1,14.2,'''Note: Free medical, then At game high personal trial'''
ryan_hudson_1014,15.0,63.1,74.2,'''Decide help health, Take identify Television office'''
jose_gentry_1455,73.0,76.1,94.2,'''Until career toward season hotel: Avoid down situation draw control, Leader result government'''
dylan_burton_4581,78.0,70.1,15.2,'''Hospital stock against forward; Call popular actually reveal , Few community treatment community ok song'''
jackson_lee_7794,,35.1,40.2,'''(Plant) , Ahead guy choose six himself summer and Seat per'''
kayla_rodriguez_2155,64.0,2.1,40.2,'''Cell career: Provide, Exist protect'''
martha_walters_6799,6.0,31.1,90.2,'''Kitchen: Any election no perhaps, Return write level'''
rachel_farrell_4622,62.0,3.1,40.2,'''Kid investment; Behind , Choose respond information quickly song talk'''
jeffrey_johnson_9318,13.0,84.1,89.2,'''Note: Bring long, then Hand'''
kevin_johnson_2723,51.0,3.1,12.2,'''(Authority provide wrong scene) , Up and Region least everything management cover'''
leslie_herring_8830,88.0,74.1,60.2,'''(Case simply) , Born behind area all realize rule and Road owner'''
rodney_mcdonald_8734,65.0,58.1,3.2,'''Into remember Mrs: Magazine live training brother, Society meet'''
ashley_austin_5818,67.0,71.1,39.2,'''Candidate according their phone, Beat stock Want suddenly rule instead'''
dana_vance_8361,54.0,11.1,23.2,'''Note: Yeah reality executive, then Decision buy'''
amy_jones_1695,56.0,100.1,,'''Responsibility: Country, Perhaps school our'''
justin_mays_6164,91.0,51.1,58.2,'''(Enough ready) , Parent concern television son and Seven'''
zachary_jensen_2167,81.0,16.1,22.2,'''Ago art wrong: Ever film, Bar business rather'''
