username,total_count,rating,description
jennifer_welch_3490,79.0,37.1,"""Tv rock; Money different military , Claim floor international"""
john_gonzalez_5359,9.0,86.1,"""Remain new meet: Stuff ahead poor, Dinner"""
daniel_blanchard_3520,65.0,20.1,"""Picture while decide eight wind: Window great begin involve, Offer arrive team adult maybe production"""
christopher_smith_0157,25.0,99.1,"""Food discussion four; Themselves suggest employee significant , Discover meeting house contain"""
kelly_buchanan_5935,34.0,39.1,"""Note: Play little, then Within at popular"""
cindy_martinez_4695,51.0,50.1,"""Win maybe note; Community remain weight person give speech , Also top tough"""
jacqueline_parks_4106,48.0,64.1,"""Note: Finally shake weight your, then Above relationship"""
douglas_zamora_6840,85.0,31.1,"""(Near management spend themselves car also) , Shoulder and Matter"""
logan_strickland_5121,22.0,5.1,"""Some: Attorney lot, Weight boy"""
ms_harrison_2762,88.0,26.1,"""(Central nearly) , Sing home left early and Traditional throughout move"""
andre_phd_1681,50.0,94.1,"""Charge painting western establish: Woman must, Eat"""
cynthia_bell_1322,60.0,42.1,"""(Person social continue free finally) , South while and Bar rock"""
sandra_diaz_7635,64.0,2.1,"""Far third reflect project guy believe; Thousand operation front one animal , Beat my"""
ashley_wagner_6447,44.0,76.1,"""Blue along war: Country, Support"""
daniel_wiley_8057,66.0,55.1,"""Note: Wife great society, then Contain"""
michelle_williamson_2794,97.0,29.1,"""Treat order democratic, Too affect Hold increase though"""
kathleen_ali_9558,57.0,4.1,"""Note: Size provide happy, then Mission tax everybody them prevent"""
morgan_hoover_6615,1.0,47.1,"""Structure that: Military although own recently, Raise smile"""
sheri_clark_7669,49.0,11.1,"""Work, Old identify others Kind word born politics matter near"""
ashley_montes_7999,24.0,42.1,"""Apply: Administration society, South friend book"""
charles_brooks_4652,83.0,4.1,"""Note: Inside fight, then Be"""
david_garza_7180,62.0,52.1,"""Note: When offer discuss stock shoulder, then Teacher hear media skill surface"""
dawn_davis_0637,100.0,23.1,"""For population write; Individual real throw compare , American"""
chelsea_moore_9234,97.0,9.1,"""Note: Yeah story race red, then Soldier investment whose"""
megan_sanchez_4527,21.0,14.1,"""Wait stage, Give the Himself organization poor bring lead"""
susan_stevenson_0167,98.0,40.1,"""Central including treatment, Various American home quite Structure"""
thomas_davis_8453,19.0,45.1,"""(Determine) , Building to rest and Action"""
kenneth_martin_3731,51.0,97.1,"""Note: Operation staff, then Friend send"""
william_owen_3378,72.0,34.1,"""Finish bring human name certain TV; There , Human hour story"""
lisa_hoffman_4498,70.0,65.1,"""Different start, Describe of road Our their"""
sarah_cohen_2611,48.0,50.1,"""Drop; Clear institution age kitchen visit , Will heart"""
michael_hill_4172,76.0,86.1,"""Always fire subject short mean expect, Capital Challenge surface item charge impact open"""
megan_craig_3934,43.0,50.1,"""(Administration building their follow affect) , Fish radio and Political kitchen would guess"""
desiree_morris_9911,22.0,49.1,"""Note: Step any, then Candidate"""
kenneth_reese_3599,25.0,77.1,"""Beautiful ready commercial game, Past everything Evidence strategy federal talk"""
ebony_torres_3892,22.0,85.1,"""Sea direction tonight; Medical opportunity continue , Republican fine western"""
marcia_holmes_8967,,50.1,"""Note: Change wonder majority, then Pretty fund south"""
brian_miller_9389,55.0,11.1,"""Front offer; Must while realize , Point describe camera"""
daniel_johnson_2765,13.0,61.1,"""Note: Operation, then Whole from"""
julia_bailey_5974,89.0,57.1,"""(Writer series later case her) , Really recently down and Fire organization"""
joseph_cherry_1088,32.0,33.1,"""Note: Live her, then End American management"""
james_obrien_5046,55.0,,"""Add story large, Much Plant cold drop type through"""
alexandra_allen_0920,78.0,88.1,"""Note: High letter action hear, then Receive adult"""
lisa_velasquez_0477,100.0,58.1,"""If safe; Cover scientist bring , Much during"""
jennifer_smith_9517,28.0,88.1,"""Police about way: Action half, Available know under base city"""
gregory_perez_2747,14.0,46.1,"""(Scene gas general) , Past above should thousand keep and Enough black"""
