name	username	score	summary
Stephen Mendoza	stephen_mendoza_9433	52.0	'''(Product important chair travel put old) 	 Hold both letter and Ready indicate after record measure'''
Joseph Vasquez	joseph_vasquez_9800	6.0	'''Growth: Animal accept speak lay	 Share'''
Allison Esparza	allison_esparza_1930	57.0	'''Day example financial dream team store: Discover interesting hot particularly	 Scientist fact'''
Nicholas Hendricks	nicholas_hendricks_0916	71.0	'''(Serve old able) 	 Ok rest baby your and Always effort play while middle third'''
Stephanie Butler	stephanie_butler_9342	89.0	'''(Serious same total off) 	 Civil above affect enough visit and Beyond'''
Joshua Cox	joshua_cox_3494	71.0	'''Let war skin: Two least her	 So phone hit learn'''
William Wright	william_wright_0854	53.0	'''(Person protect enough) 	 Significant guess security born turn and Win offer'''
Tiffany Marshall	tiffany_marshall_6908	48.0	'''Couple piece whether	 Hair Camera between'''
Mary Cruz	mary_cruz_8377	34.0	'''Economic everyone action including: Soon maintain least foreign second	 Best something water upon stay'''
Jessica Mathews	jessica_mathews_1599	95.0	'''Note: Similar husband	 then Performance'''
Eric Thomas	eric_thomas_2866	91.0	'''(With quite recognize try) 	 Population left could and Animal law her design second'''
Karen Hunt	karen_hunt_6797	16.0	'''Mission history; Subject field 	 Reason major'''
Peter Horn	peter_horn_8924	5.0	'''Choose: Fall toward protect plan skin	 Today'''
Janice Berry	janice_berry_0884	86.0	'''(Social) 	 Single avoid and Less admit small door whether'''
Kristopher Harrison	kristopher_harrison_5803	23.0	'''(Hair up page least) 	 Name condition off and Theory top research'''
Jonathan Osborne	jonathan_osborne_3220	13.0	'''Degree thought: To under road	 Send nothing safe'''
Sandra Evans DVM	sandra_dvm_4365	67.0	'''(Four will wind) 	 Animal natural room statement and Move option message policy'''
David Austin	david_austin_2590		'''Note: Issue country off during	 then Work process small positive'''
Gregory Thomas	gregory_thomas_5205	50.0	'''Maintain officer mind itself foot; Anything center effort expect might piece 	 Activity stay'''
Marilyn Armstrong	marilyn_armstrong_6171	98.0	'''(Shoulder size lead) 	 Thing bill and Check feel view today difference'''
Richard Brewer	richard_brewer_4493	85.0	'''(High base) 	 Star and Cultural per experience step'''
e	william_allen_8163	41.0	'''Center role: Hospital edge difference	 Whether class way military'''
Kimberly Lewis	kimberly_lewis_8541	87.0	'''Situation certainly sit make; Actually away red 	 Turn'''
Emily Sutton	emily_sutton_9431	75.0	'''Note: Keep figure house	 then Too'''
Andrew Gonzalez	andrew_gonzalez_6532	35.0	'''Indeed performance clearly often	 Method might ten tough nor Science rich challenge throughout'''
Debra Fletcher	debra_fletcher_3328	75.0	'''Just site ahead everyone	 Call fund at decision support Including natural least group situation course'''
Dr. Christina Hill	dr_hill_3386	98.0	'''Heart back series; Reach more doctor 	 End imagine morning billion'''
Mary Johnson	mary_johnson_8538	1.0	'''Various: Industry worker reach itself people watch	 Even teacher'''
Bonnie Wood	bonnie_wood_5817	5.0	'''Significant close; System position side 	 Imagine whatever by movement door'''
Benjamin Smith	benjamin_smith_5804	17.0	'''(Many several build) 	 Always door car anyone and Onto technology necessary into'''
Ricky Ramos	ricky_ramos_6580	35.0	'''Customer until; Tough serious 	 Worry anyone'''
Matthew Smith	matthew_smith_1162	41.0	'''Great traditional guy	 Case Authority floor alone'''
Jessica Murphy	jessica_murphy_2410	69.0	'''Note: Perhaps culture difficult lose forget	 then According southern develop yeah think service'''
Abigail Jackson	abigail_jackson_1933	100.0	'''Number few them hit certainly: Tend sense	 Six herself'''
Matthew Brown	matthew_brown_5383	30.0	'''Maybe how	 Sure reason key food third Know eat represent'''
Jonathan Trevino	jonathan_trevino_6171	54.0	'''Note: Reflect want	 then Boy'''
Matthew Williams	matthew_williams_2934	5.0	'''Human early foot; Than point 	 Green skill letter'''
Mary Francis	mary_francis_1595	28.0	'''Fund top; Begin culture Mrs manage result treat 	 Past'''
Stephanie Hernandez	stephanie_hernandez_8138	92.0	'''Note: Think never he take	 then Into have measure green'''
Gregory Rogers	gregory_rogers_3026	90.0	'''Whose available role	 Give education but difficult teacher action Offer star try'''
Annette Robinson	annette_robinson_4341	66.0	'''Really want full; Pattern another call 	 Hour ok'''
Michael Black	michael_black_6407	81.0	'''Upon point: Less	 Sister anything include evening modern'''
Angie Nguyen	angie_nguyen_8993	15.0	'''Month science reality others; Stuff end over 	 Interesting put'''
Joseph Johnson	joseph_johnson_1846	5.0	'''For example arrive necessary always provide	 Great name could Open weight detail trade along close'''
Taylor Terry	taylor_terry_5476	54.0	'''Method travel good or past; Son system wait 	 Party imagine'''
Peter Parsons	peter_parsons_8905	99.0	'''Nation red	 Effect though type human surface According practice way'''
Kristin Conner	kristin_conner_3340	33.0	'''Shoulder mention after; It always movement view 	 State but'''
