username,score,salary,remark,note
ms_rose_7601,100.0,48.1,"""Atque nesciunt praesentium magni, Consequatur sint Fugit delectus ipsum excepturi""","""Tempora deleniti maiores et tenetur: Fugit, Sapiente quibusdam"""
mr_king_0457,53.0,100.1,"""Quaerat, Repudiandae libero voluptatem culpa Numquam reiciendis vel earum""","""Note: Odit commodi eum, then Ut inventore quo natus"""
chloe_oliver_4934,74.0,1.1,"""(Totam beatae) , Ab quas and Veniam modi""","""Note: Repellendus beatae culpa molestias, then Ratione"""
clive_harris_7214,76.0,46.1,"""Note: Animi iste libero, then Saepe vero laboriosam quo""","""(Consequuntur deleniti est) , Eligendi corrupti and Ullam mollitia quidem enim iusto"""
elliot_marshall_4885,73.0,4.1,"""(Facilis sint cum maxime) , Expedita sunt numquam and Amet""","""Minima soluta quo optio, Architecto dolorum Dolore"""
dominic_johnson_2069,97.0,,"""Neque: Maiores incidunt eligendi iusto maxime, Voluptatibus aut id sunt""","""Atque cum, Optio Perspiciatis"""
declan_pearson_3620,,100.1,"""In impedit quas vero enim: Ad, Dolor saepe""","""Necessitatibus quibusdam enim; Veritatis nulla ut , Beatae error"""
mr_ellis_7008,11.0,39.1,"""Modi laudantium; Sunt odit et harum , Asperiores ad provident aspernatur distinctio""","""Nemo eum; Possimus laboriosam vitae , Nostrum"""
jade_wood_4646,30.0,49.1,"""Voluptatibus consectetur; Deserunt debitis , Eum expedita""","""Note: Non iure debitis quisquam aperiam cumque unde, then Maxime voluptatem"""
mr_john_0715,46.0,49.1,"""(Ex) , Eveniet vero and Molestias quod""","""Note: Consequuntur quas sequi, then Incidunt incidunt"""
marian_perry_9294,96.0,28.1,"""Eos inventore dignissimos: Possimus occaecati, Odio dolor""","""Note: Nemo, then Quam enim"""
carolyn_wood_1178,8.0,83.1,"""Quaerat vel sapiente nulla: Aut sint molestiae dicta odit, Occaecati deserunt atque expedita""","""Blanditiis nisi: Odio voluptatem fuga, Asperiores cumque expedita"""
frederick_brown_6096,41.0,66.1,"""Illo; Similique , Voluptatem cumque ex odio""","""Note: Consequatur, then Officia earum dignissimos"""
ms_edwards_1210,72.0,20.1,"""Note: Adipisci quasi expedita veritatis nostrum, then Nam perspiciatis illum""","""Note: Error hic nostrum sit eligendi, then Voluptatem quam"""
dr_matthews_2301,26.0,76.1,"""(Numquam rem quas mollitia a voluptatum) , Placeat enim and Excepturi doloribus""","""Rerum ullam, Fugiat corrupti exercitationem Excepturi nobis doloremque velit pariatur"""
wayne_lewis_5528,81.0,26.1,"""Mollitia minus cumque maiores, Eos necessitatibus libero Non in placeat eos""","""Note: Alias, then Totam"""
mr_griffin_0381,54.0,93.1,"""Note: Laudantium modi itaque repellat, then Aperiam""","""Molestiae eum accusamus; Sit sit , Corrupti expedita sequi maiores atque"""
damian_king_6433,52.0,79.1,"""Accusantium saepe fugit, Minus exercitationem harum Asperiores""","""Note: Dignissimos nesciunt, then Expedita eum sunt placeat"""
eileen_richards_5764,23.0,1.1,"""(Cumque) , Perferendis iure sunt fugiat dolores maxime and Omnis fuga""","""Note: Fugiat architecto, then Ipsa repellat in"""
miss_hunt_0014,31.0,30.1,"""Delectus eos culpa; Voluptatibus , Suscipit qui dolor""","""(Nesciunt reprehenderit odio consequatur ad) , Corporis nesciunt animi and Soluta in libero impedit"""
mrs_dobson_0700,38.0,8.1,"""Note: Ipsum, then Dolore laboriosam laudantium aut""","""(Accusantium optio id excepturi reiciendis similique) , Quisquam cumque and Delectus quidem natus at"""
dr_humphreys_2431,17.0,42.1,"""Incidunt, Dolores tenetur officia voluptas Tenetur fuga repellendus iste voluptate""","""Repellendus incidunt: Recusandae minus assumenda ipsa mollitia officiis, Laboriosam"""
damien_oliver_8931,42.0,61.1,"""Maxime repudiandae; Ab fugiat ipsam rem , Iusto maiores asperiores molestias""","""(Tempora in laudantium atque dolores) , Rerum explicabo mollitia and Minima quis cum quae"""
