username	age	score	summary	review
dean_wilson_8279	55.0	3.1	"""Veritatis accusamus: Nemo	 Reiciendis a itaque accusantium"""	"""(Nostrum fugiat in) 	 Dolorum recusandae eaque dolorem laboriosam and Numquam harum"""
joanne_edwards_1567	59.0	34.1	"""Soluta fugit: Iure officia fugiat	 Rem placeat"""	"""Est sint praesentium cupiditate dolore	 Explicabo iure perspiciatis fugiat sed Non voluptates"""
richard_pugh_6972	71.0	7.1	"""Maiores	 Maxime non Similique deserunt"""	"""Distinctio sequi: Veritatis a	 Impedit vero deserunt aperiam"""
mandy_blake_1268	73.0	91.1	"""Esse autem atque blanditiis; Animi sed autem odit 	 Et voluptates iure"""	"""Et	 Recusandae similique Doloribus"""
joyce_george_6668	10.0	96.1	"""Fugiat molestiae dolor: Deserunt voluptatum	 Quo similique ipsum"""	"""(Delectus eaque ipsam aspernatur) 	 Eveniet veniam dolore and Aliquid commodi rerum"""
miss_begum_6976	66.0	70.1	"""Eveniet minus ex voluptates nihil	 Eius impedit inventore cumque Sint reiciendis quas accusantium"""	"""Neque alias eius est dolorum	 Alias beatae quod itaque amet Cum velit"""
ms_arnold_1085	30.0	94.1	"""Minus perferendis et	 Voluptatibus ad deleniti quasi Unde nesciunt nostrum ea"""	"""(Quaerat officiis quae) 	 Enim quam and At praesentium"""
nicole_jones_4305	88.0	34.1	"""Ut	 Impedit Tempore impedit soluta blanditiis illum"""	"""Note: Sapiente similique libero	 then Amet facilis"""
carolyn_farrell_2161	36.0	37.1	"""A quis; Dicta pariatur 	 Doloribus nesciunt"""	"""Nostrum impedit; Aspernatur repellendus dolorum ab facilis 	 Reiciendis aliquid aliquam"""
charlie_wood_3975	12.0		"""Voluptate corrupti animi hic rerum: Veniam quos	 Totam nemo at a magnam"""	"""Quidem ducimus: Saepe dolorem expedita itaque quis	 Quidem adipisci eveniet magnam"""
mr_gibbs_1828	25.0	65.1	"""Animi voluptatem	 Libero sint et Autem harum molestias unde distinctio"""	"""Accusamus	 Eum doloremque Nemo totam nostrum"""
dr_wall_6145	20.0	8.1	"""Iusto	 Ratione tempora Exercitationem quis voluptatibus"""	"""(Ipsam harum) 	 Praesentium and Rem aliquid"""
dr_howell_7862	27.0	12.1	"""(Nostrum laborum) 	 Accusantium quos iste and Laborum ullam"""	"""Asperiores eaque ut mollitia ipsam; Dolorum eveniet ab 	 Minus rem veritatis corrupti numquam"""
aimee_carter_4887	99.0	59.1	"""(Beatae) 	 Incidunt eligendi and Et"""	"""(Velit ad debitis quidem sequi) 	 Tempora illo unde and Saepe quia"""
mr_roberts_2555	68.0	43.1	"""Minima libero; Ea 	 Voluptates"""	"""(Quis quibusdam) 	 Eveniet temporibus id repudiandae and Dolorum voluptatum voluptas beatae mollitia"""
mr_smith_5387	38.0	2.1	"""Accusantium dolorum earum	 Eaque Totam consequatur exercitationem occaecati veritatis"""	"""Tempora nisi dolorem: Dicta	 Praesentium atque modi quia recusandae earum"""
bruce_law_8577	25.0	11.1	"""Vero	 Quia quas perspiciatis Hic architecto quidem ducimus"""	"""Note: Occaecati debitis vitae	 then Iste porro id"""
sean_anderson_8046		40.1	"""Vero esse atque: Sunt quaerat eos	 Consequuntur voluptatibus praesentium"""	"""Hic quas necessitatibus	 Numquam excepturi Odit excepturi"""
dr_brown_3350	82.0	71.1	"""Nostrum ullam	 Soluta laudantium minus nisi Ab quia minus"""	"""Note: Saepe	 then Molestias nam repudiandae"""
ronald_wilkins_3480	4.0	22.1	"""(Sit excepturi voluptatum) 	 Aut eligendi cum odio cumque and Cumque"""	"""Ullam odit	 Reprehenderit Ducimus fugit delectus"""
tracey_kent_6557	30.0	87.1	"""Placeat	 Placeat tempora molestias Consequuntur necessitatibus eveniet saepe mollitia voluptates"""	"""Sequi	 Omnis pariatur Praesentium veniam autem eaque ab iure"""
stephanie_smith_2679	25.0	60.1	"""Labore qui illo velit: Dicta voluptatibus consectetur	 Dolore dicta adipisci soluta"""	"""Nostrum ipsum; In voluptas 	 Magnam optio cupiditate"""
mr_walsh_5118	49.0	92.1	"""Voluptatibus fugit consequuntur; Aspernatur dignissimos consectetur est perspiciatis 	 Aut quaerat"""	"""(Illo enim error) 	 Numquam cum eveniet eaque quia and Id"""
paul_brennan_1334	52.0	80.1	"""Tempore iste quisquam veritatis repudiandae: Recusandae alias ipsam repudiandae officia	 Molestias ratione in odio corporis"""	"""(Praesentium impedit) 	 Laudantium and Doloremque nisi voluptatum"""
stuart_hobbs_0701	73.0	32.1	"""Doloremque sequi laudantium	 Nesciunt Rerum laudantium"""	"""Error aspernatur: Sequi alias non	 Explicabo itaque"""
dr_schofield_9659	52.0	42.1	"""(Voluptates vitae) 	 Magni reprehenderit and Saepe nam sapiente"""	"""Quia dignissimos placeat tempora	 Repudiandae aliquid illo magnam excepturi Doloremque facilis accusantium fugit alias"""
adam_lees_1089	65.0	6.1	"""Dolor quaerat temporibus totam sed necessitatibus; Sunt ipsa 	 Excepturi odio"""	"""(Repudiandae eveniet) 	 Nam nihil and Explicabo vel nulla sequi"""
naomi_tucker_5052	53.0	12.1	"""Note: Iste	 then Eum ad"""	"""Note: Ut maiores beatae	 then Voluptatum tenetur"""
hilary_davis_2519	52.0	87.1	"""Eos facilis voluptas nostrum	 Tempora Necessitatibus ad"""	"""(Eveniet voluptatem fuga facere) 	 Vero quasi delectus and Quibusdam numquam"""
dr_flynn_2678	94.0	64.1	"""Tenetur quod	 Maiores pariatur velit Ea enim autem recusandae"""	"""Neque harum illum expedita harum	 Libero consectetur quisquam corporis Vero quibusdam ad exercitationem reprehenderit"""
miss_nicholls_4466	17.0	66.1	"""Note: Magnam exercitationem mollitia	 then Expedita ab provident"""	"""(Accusamus earum sunt natus) 	 Unde officiis quis cumque aliquid maiores and Quidem unde dolores eos"""
dennis_khan_6416	2.0	77.1	"""(Odit consequuntur vero) 	 Dignissimos and Ex adipisci culpa laudantium"""	"""Ipsam doloribus eius similique; Ab voluptas 	 Repellendus"""
mr_foster_6479	82.0	24.1	"""(Vel quis) 	 Ut and Odio dolorem corporis"""	"""Note: Hic porro	 then Debitis"""
