# This is a comment line to skip
username	rating	price	remark
scott_pierce_2851	26.0	26.1	'''(Physical nation really ok blood) 	 Just yourself focus various and Pick time compare write'''
megan_berger_6253	59.0	75.1	'''Note: Agreement	 then Pattern not'''
tiffany_jones_9175	43.0	16.1	'''Opportunity	 Girl writer Skin executive meeting goal idea education'''
lynn_burgess_0963		34.1	'''Note: Political most people remember wear race	 then Control'''
jonathan_mcguire_5072	38.0	77.1	'''Local	 Whom Bit middle do'''
sean_nelson_4245	7.0	32.1	'''Ahead similar	 Example public Measure'''
michelle_md_8645	86.0	40.1	'''(Keep detail brother police executive top) 	 Smile and Analysis age buy'''
johnny_martinez_1044	15.0	45.1	'''(Truth response) 	 Heart point this threat and Evening white'''
jessica_dds_9964	26.0	6.1	'''Central institution participant; Above general 	 Day special serve'''
laurie_cox_5213	45.0	15.1	'''Center difference agree: Wind meeting himself	 Newspaper nation'''
barbara_martin_6987	99.0	66.1	'''Join agree their nation; Recent walk later claim chance whom 	 Each magazine per since again'''
julia_brown_2509	32.0	78.1	'''Note: Century goal likely be	 then Decision game'''
rachel_haney_3082	24.0		'''Identify with difficult: Mr movement same	 Grow thousand task high decision against'''
mary_jordan_4266	5.0	7.1	'''(Customer quite growth describe) 	 Someone back and This'''
adam_hall_2549	49.0	63.1	'''(Bring program) 	 Industry across somebody draw most and Project value meeting main occur herself'''
kathleen_morris_7374	90.0	96.1	'''Night; Team 	 Level third trial save'''
willie_powers_7394	95.0	77.1	'''Instead door level speak pay	 Wait once difference read Wrong'''
mrs_dvm_1960	10.0	55.1	'''Note: Country example	 then Career time detail'''
bruce_cortez_9806	35.0	46.1	'''(Season most court) 	 Plant fish example and Capital side force'''
kellie_james_3962	23.0	50.1	'''Note: Improve small we	 then Thus tree add laugh'''
john_thomas_7162	16.0	69.1	'''Collection politics: Edge lot social	 Movie ago'''
cassandra_harmon_1636	33.0	20.1	'''Note: Reason husband	 then Some'''
leslie_weber_7236	1.0	44.1	'''Remain herself; Development catch writer wife 	 Away decade'''
jill_brown_1507	92.0	53.1	'''Together player give especially; Upon service race want 	 Live box receive'''
pamela_shannon_7660	35.0	96.1	'''It	 Drug computer small major Place major wrong finish head'''
ashley_ritter_3823	13.0	76.1	'''Note: About order	 then Receive against us political media policy'''
tina_henderson_5520	69.0	67.1	'''Protect quality management; Practice mission 	 Exactly box peace'''
jason_baldwin_0341	29.0	62.1	'''Local card; Argue guy exist 	 Whether series media'''
brandi_harvey_6591	64.0	80.1	'''Response morning son third	 Describe discuss Actually page for'''
anna_brewer_0925	54.0	72.1	'''Note: White success	 then Nature table around'''
jeremy_cook_4037	33.0	21.1	'''(Near example Congress drop) 	 Perform appear and Professor'''
fred_smith_9358	83.0	66.1	'''Onto question: Strong recognize any	 Majority'''
elizabeth_black_4883	85.0	41.1	'''Push election: Also	 Natural hundred'''
ryan_goodman_6877	53.0	35.1	'''Property describe all call receive	 Exactly shake small surface Political candidate cause do pass'''
