username,total_count,rating,remark
hannah_green_4208,78.0,,'''Suggest suffer mind raise: Dream mother somebody, Arrive cell beautiful team'''
laura_hancock_9148,2.0,37.1,'''Country foreign, Ball plan product Long six ground month current'''
kelsey_moore_0946,18.0,31.1,'''Whether course: Serious do poor, Time guy'''
edward_scott_1455,39.0,17.1,'''Imagine simply: Our represent drive, Pay source minute'''
andrew_liu_8915,97.0,53.1,'''Expect rule method draw: Little factor, Hundred world'''
duane_thomas_2439,51.0,7.1,'''(Sea want everybody) , Although and Rock cause water'''
chelsea_whitney_3619,10.0,80.1,'''Yeah whole event; Machine perhaps , Rock little bad'''
mary_williams_9532,21.0,45.1,'''(Seek shake traditional) , Bill good senior and Away table'''
william_maldonado_1679,30.0,40.1,'''(Sell hard man long only at) , Raise single seven and Threat research official police'''
charles_larson_0088,64.0,38.1,'''American rich: Firm door picture her deep image, Education full put still step'''
luis_pearson_8266,62.0,63.1,'''Note: Reduce different technology adult professor hair, then Remember that stock plant court focus'''
deborah_coleman_2382,47.0,37.1,'''(Also away its) , Standard through huge and Agency participant'''
benjamin_cain_4430,89.0,91.1,'''West: Former moment, Plant today'''
daniel_kaufman_4307,84.0,25.1,'''(Others) , Find idea wish provide you certain and Various'''
timothy_weiss_4555,34.0,4.1,'''(Tv speech teach in upon) , Management party and Firm outside'''
mr_gutierrez_8495,,74.1,'''Note: Arrive to discuss some, then Evidence easy'''
kayla_friedman_2188,12.0,76.1,'''Note: Free break, then Either herself about final'''
allison_oconnor_2629,40.0,18.1,'''(Enough field policy different pressure) , Carry PM allow end and Listen term officer'''
hayley_duncan_3410,66.0,76.1,'''Note: Should view according, then History factor'''
linda_hopkins_6736,18.0,91.1,'''Mouth save: Task run, Should'''
brent_tate_1590,20.0,82.1,'''Contain free keep your, Camera free though as defense Environmental stop fish'''
