username;score;age;price;summary
christopher_allen_1475;30.0;52.1;85.2;"""Success perform; Pay community treat Drug"""
katherine_klein_4029;1.0;53.1;72.2;"""Stand list live official data: By cover mean fast pull; Middle perform specific"""
michelle_oneill_5131;9.0;68.1;42.2;"""(Economic computer) ; Color and Thought rise"""
theresa_rogers_3457;52.0;29.1;67.2;"""Expect product force kitchen: Industry; Star water"""
robin_aguilar_1707;73.0;83.1;32.2;"""(Air body public) ; Reflect consumer and Activity staff way cover"""
kenneth_mckay_6679;1.0;42.1;78.2;"""Mr challenge later understand decade; Man oil ; Memory necessary drug maybe enjoy tax"""
cynthia_roberson_9152;34.0;36.1;46.2;"""(Southern amount) ; Woman piece short and Send network"""
anthony_villegas_1850;45.0;43.1;99.2;"""Behavior against mind fish; Though might apply ; Appear season happen"""
allen_hammond_1276;78.0;29.1;84.2;"""Every necessary simple statement; Defense specific Establish case research down"""
howard_smith_8300;89.0;46.1;5.2;"""Note: Memory boy; then Prepare investment too"""
melissa_moreno_8872;39.0;80.1;78.2;"""Hour card rest whether; Would true soon Away kid above trip"""
sean_pennington_8269;47.0;23.1;33.2;"""Yourself use care: Town quickly; Whom site next simply"""
colton_johnson_2502;56.0;93.1;5.2;"""Base exist; Also Front network common"""
ashley_tate_9694;80.0;82.1;97.2;"""Sure sport hope ability; Window ahead story Institution room especially nature yourself"""
ronald_anderson_8890;32.0;;43.2;"""Note: Still chance help sound she; then Bag discover measure include"""
kathleen_delgado_2448;14.0;45.1;73.2;"""Note: Time; then Office teacher"""
christina_butler_0683;13.0;77.1;18.2;"""Simply: Plant case at series; Score challenge chance war"""
daniel_johnson_8866;88.0;9.1;45.2;"""(Important management treat) ; Size staff and Say bad option sing morning"""
jennifer_watson_3062;16.0;66.1;87.2;"""Check responsibility case; Collection focus possible Nearly"""
traci_hoover_0651;17.0;60.1;53.2;"""Reason join door: Debate her adult seem shake new; Trouble even skill operation"""
lindsey_hancock_9447;25.0;84.1;70.2;"""(Several father while sea professional) ; Boy evening and Space"""
laura_rodriguez_5613;91.0;17.1;71.2;"""Toward well speak town; After capital role among ; Like structure"""
loretta_myers_1903;72.0;44.1;45.2;"""Recent western become; Discover Role adult"""
anthony_douglas_6320;29.0;46.1;49.2;"""Magazine weight: By again; Fight ten your"""
brenda_white_2005;73.0;31.1;2.2;"""None sound kid: Process mean; Level detail"""
denise_davis_0731;52.0;100.1;37.2;"""(Threat bank) ; Doctor summer history and Whom stock believe dark"""
katherine_peters_8494;70.0;32.1;74.2;"""Head happy within realize: Long word now become; International throw fire state"""
joseph_johnson_6215;2.0;34.1;;"""His indicate agree; Yet market option role position different True add car"""
maureen_rodgers_9780;44.0;33.1;10.2;"""(Phone after particularly) ; Able meet and Board growth practice of of themselves"""
mark_day_3282;66.0;19.1;85.2;"""Note: Fact never make; then Artist knowledge together"""
stephanie_frank_4646;95.0;12.1;1.2;"""Suggest; Put must direction or Education make coach"""
nicholas_munoz_6974;63.0;4.1;46.2;"""Note: Present somebody mouth marriage; then Program"""
robert_cline_6739;;31.1;42.2;"""Note: Yourself production yes chair; then Practice race against"""
