username	total_count	description
tina_king_1097	60.0	"""Note: Effort tell south	 then Card some start general ten close"""
stephanie_fernandez_7867		"""Consumer enough floor	 Four couple simple since Few few rock"""
joseph_anderson_6272	94.0	"""Early where; Move especially 	 Nature billion"""
andrew_esparza_9005	52.0	"""Style see	 Box now Everyone feeling wide"""
mr_jones_4688	67.0	"""Note: Trial	 then Friend thank station"""
holly_kaiser_9809	4.0	"""Note: Forward natural record turn	 then Measure young"""
tammy_caldwell_4329	18.0	"""(Health hear book) 	 Husband yet main and Become with point around guy"""
jennifer_mcdonald_0512	37.0	"""(Specific operation record seven face) 	 Stand and Detail describe"""
timothy_delgado_3713	100.0	"""Note: A film hand	 then Loss sound story reason"""
scott_leblanc_6763	19.0	"""Table; Certainly sometimes prevent heart 	 Message wide"""
ann_howard_8739	68.0	"""(Push) 	 Hospital allow choose and School win bar"""
jordan_md_4250	75.0	"""Nothing military long line top bag: Hold	 Budget"""
timothy_wallace_9553	75.0	"""Through; Final hand 	 Teach"""
angela_austin_8326	54.0	"""(What answer store dog worker) 	 Reach personal and Unit here member"""
kimberly_mosley_4835	64.0	"""Make	 Leg out discover Plan"""
anne_coleman_9314	73.0	"""(Plant clear police indicate individual adult) 	 Down peace and Size skill hundred detail"""
jason_hamilton_6970	87.0	"""Practice remember affect	 At never media mean rest From black"""
amber_scott_0517	60.0	"""Note: Go about tax training	 then Manage again"""
david_medina_8189	24.0	"""(Leg question west best) 	 Eight serve spend news and Factor face war picture"""
brittany_garrett_7954	84.0	"""Note: Sit check too	 then Hundred rock bar tend security"""
richard_brown_6901	4.0	"""Four change: Population stage him	 Hundred value attention campaign action age"""
jorge_holmes_6334	10.0	"""I hard; Various let 	 Early everything probably large sign"""
shelly_jensen_6666	14.0	"""Television alone important tell	 Bill will minute always run Exactly"""
jennifer_burke_3892	33.0	"""Artist finally program let sound: Why	 Protect magazine bit pull smile"""
sara_krause_8913	38.0	"""Full chance	 Huge around test Western wind gas western"""
kevin_wilkerson_5127	22.0	"""(Throughout) 	 Staff fly light meet experience and Minute value dream owner"""
jill_hood_3853	23.0	"""Attorney human laugh once carry whole	 And Seven care back voice"""
brandon_thomas_5254	18.0	"""Note: Thank read	 then Traditional drug analysis"""
andrew_gordon_0402	87.0	"""Note: Pick morning too	 then Power provide"""
april_miranda_7165	82.0	"""Note: Management left mouth	 then Note message fund"""
brandy_ford_0651	7.0	"""Huge	 Capital compare throw purpose whether Popular along modern"""
kristen_meyer_1853	93.0	"""Sometimes best	 Act parent individual state New miss coach require"""
