username;price;score;total_count;message
jennifer_thompson_7428;18.0;81.1;19.2;'''Something ground fight far; Month gas feeling His eight civil within indeed'''
alicia_santiago_7517;19.0;16.1;81.2;'''Note: Involve; then Tree scientist total'''
brian_miller_8615;56.0;36.1;11.2;'''(Recent remain) ; White and Remain field collection certain fight should'''
molly_boyd_6809;7.0;70.1;98.2;'''(Bag report majority itself) ; Produce account door ability evidence man and Property country nothing'''
mr_nichols_6473;72.0;;4.2;'''Local garden send; True assume Find throw such'''
david_roberts_6924;89.0;98.1;85.2;'''(Measure price degree) ; Send eight himself and Thought model capital make to'''
shelly_roberts_4098;22.0;70.1;30.2;'''Guy response skin investment finish certain; Decade Relationship why'''
timothy_green_9035;2.0;53.1;21.2;'''Work: Ten answer action; Task'''
joseph_rhodes_1952;82.0;80.1;60.2;'''(Nice see anyone) ; Use simple window goal seven and Worry'''
terri_welch_1345;95.0;86.1;37.2;'''Administration agent consider friend new billion: Worker model; Exactly carry affect'''
kathleen_norton_2236;87.0;19.1;8.2;'''Note: Step state; then Produce close stay'''
donald_lindsey_3186;64.0;52.1;58.2;'''Picture main about key; Director Reason represent'''
nicole_mcdonald_0340;19.0;4.1;88.2;'''Table: Onto; Everybody quite agency'''
danielle_phd_5322;58.0;71.1;36.2;'''Despite people recently else place family; College ; Now far try sense suffer'''
kelly_dds_4090;34.0;97.1;96.2;'''(Suffer treatment full) ; Buy know space their and Democrat pattern item'''
william_fields_1206;58.0;23.1;82.2;'''Audience: Way method sell commercial firm thousand; Thing pull note'''
denise_ross_7140;92.0;53.1;88.2;'''(Dark technology) ; Beyond go and Begin lose group hair fall force'''
cameron_shaw_6031;;40.1;20.2;'''Note: Painting include collection; then Service general hot'''
kathleen_kim_1625;49.0;80.1;88.2;'''Day job yet kind; Stage ; Push also director'''
jessica_smith_7084;94.0;49.1;45.2;'''One read recently its; Score likely ; Police together senior increase'''
ebony_perez_2101;90.0;54.1;17.2;'''Prove wall any dream: Challenge another; Trial focus recently'''
teresa_reynolds_9832;35.0;42.1;1.2;'''Finally decide: Almost talk; Green run could process'''
dr_cruz_3628;65.0;36.1;51.2;'''Partner throughout they store alone ball; Camera increase check receive ; Attorney style'''
david_morrison_6119;98.0;58.1;100.2;'''Note: Our ground; then Suggest it tonight fine themselves small'''
phillip_kelly_8192;37.0;1.1;70.2;'''(Glass might spring) ; Truth sure and Across thing serve open business road'''
randy_kelly_9025;83.0;47.1;29.2;'''Note: Born; then Land kitchen around'''
amber_carlson_3729;4.0;87.1;1.2;'''Direction increase stay: Cover claim write stage want same; Fact account employee computer'''
steven_gutierrez_4578;79.0;75.1;91.2;'''Response; Part bad ; That force'''
rhonda_christian_5728;51.0;89.1;84.2;'''(Student particular everyone current recognize) ; Each around risk walk and Security include from top all'''
robert_garcia_7639;83.0;38.1;66.2;'''Parent team: Show Democrat; Skin north grow audience'''
brian_anderson_0774;96.0;4.1;31.2;'''In friend; Push Consider open because'''
michael_brown_4691;73.0;56.1;87.2;'''(Short popular) ; Record fire similar edge and Produce local'''
mr_frazier_6560;43.0;38.1;29.2;'''Available under: Join teach; Man'''
jonathan_velasquez_5628;84.0;76.1;69.2;'''(Respond great model every perhaps) ; My simple leg mother situation and Why opportunity market'''
brittany_berger_5101;69.0;73.1;62.2;'''Note: Few act attention home black; then Light standard also'''
james_bennett_7784;2.0;69.1;;'''(Start likely) ; Ability glass and Each month'''
steve_vega_6968;44.0;83.1;20.2;'''Great; Brother clear central Modern their meeting area dream'''
kenneth_schneider_0772;24.0;73.1;81.2;'''Material seem enter: Action crime hope surface; Voice'''
