name,price,rating,description
William Smith,78.0,62.1,'''Note: Voluptate, then Ex iure mollitia nulla deserunt tempora'''
Sylvia Wilkinson,11.0,91.1,'''(Cupiditate possimus) , Possimus porro itaque incidunt and Doloribus'''
Dr Owen Harris,32.0,26.1,'''(Impedit fuga) , Laborum officiis expedita and Quibusdam a sequi ab veniam'''
Gordon Rees,32.0,81.1,'''(Assumenda nam) , Incidunt delectus and Repellat ut'''
Dr Rachel Shah,30.0,2.1,'''Distinctio debitis: Quibusdam asperiores, Dolor'''
Malcolm Ward,26.0,89.1,'''(Libero odit consectetur fuga accusantium) , Ex sunt saepe and Beatae iusto architecto'''
Jake Moore,57.0,30.1,'''(Quo est est) , Magnam reprehenderit explicabo saepe and Pariatur'''
Miss Maureen Bull,50.0,24.1,'''Excepturi impedit: Ipsum ab, Possimus'''
Conor Nicholson,54.0,75.1,'''Quos eius nemo esse illum; Aliquid eligendi odit , Veritatis accusantium autem'''
Ruth Weston,70.0,46.1,'''(Ad) , Quo and Tempore'''
Gary Edwards-Byrne,30.0,58.1,'''Note: A voluptatum molestias adipisci, then Minima voluptatibus ducimus quisquam'''
'Ashleigh O''Connor-Ahmed',57.0,33.1,'''Nesciunt ratione: Ab ad dolor, Dolorem incidunt voluptatibus'''
Dr Leon Reynolds,47.0,56.1,'''Esse molestiae totam: Officiis, Ullam eius occaecati beatae'''
Mrs Barbara Nelson,95.0,37.1,'''Labore repellat, Qui Eos molestiae tempore'''
Harriet Collins,1.0,43.1,'''Consequatur at, Quis ipsam culpa ab et Odio'''
Glen Lamb,46.0,88.1,'''Atque nobis, Maiores et Quia quas'''
Maureen Parker,1.0,97.1,'''Commodi distinctio, Laboriosam nisi autem hic officiis optio Quas'''
Rhys Baker,4.0,79.1,'''Voluptatum omnis, Pariatur quibusdam error nisi Asperiores mollitia accusantium vero quaerat nesciunt'''
Iain Stone,,39.1,'''Qui illum quia amet dolore, Ullam animi ipsum consequuntur quasi expedita Unde dolorum ab'''
Tracy Morgan,6.0,59.1,'''Ipsa a laboriosam, Suscipit molestiae assumenda Debitis ex'''
Rachel Moore,22.0,51.1,'''Ut neque assumenda nemo ducimus: Inventore expedita, Est ab fuga'''
Miss Rebecca Allen,17.0,63.1,'''(Aliquam quia) , Commodi officia beatae labore consequuntur and Ullam laborum recusandae'''
Martin Lane,53.0,8.1,'''Excepturi consequuntur: Consequatur, Ratione dolor temporibus magni ipsa'''
Mr Dominic Stewart,40.0,74.1,'''Fuga tempora corporis, Sed Cum inventore et reiciendis ex'''
Jemma Young,37.0,26.1,'''Aperiam hic; Facilis libero , Nemo'''
Jenna Wade,73.0,97.1,'''Dolore natus non quasi; Totam neque doloribus assumenda nisi , Vel praesentium deleniti amet'''
Alan Fuller,40.0,6.1,'''Nulla possimus veniam quis: Quos ipsam aut asperiores, Sunt molestiae'''
Alison Smith,92.0,,'''Note: Quaerat doloribus architecto, then Alias quia rem eligendi repudiandae'''
 ,47.0,25.1,'''(Ducimus atque) , Voluptatum rerum and Facere consequatur voluptates'''
Brenda Wright-Wilson,92.0,78.1,'''Deserunt laborum ab possimus: Fugiat iure ex nulla, Qui quas nemo impedit nulla'''
Howard Baldwin,5.0,8.1,'''Note: Voluptates temporibus dolorum sapiente atque, then Sit numquam commodi ad'''
Mr Conor Bennett,44.0,45.1,'''Voluptas harum consequuntur dolores accusamus: Quod laudantium numquam, Harum temporibus'''
Nathan Grant,98.0,54.1,'''Note: Perspiciatis autem, then Recusandae minima'''
Sara Williams-Wells,88.0,58.1,'''Distinctio; Rerum nesciunt totam , Fuga debitis ratione maiores'''
