username	score	note	summary
ms_baxter_5209	25.0	'''Quidem exercitationem autem; Consequuntur laboriosam 	 Inventore officia nam'''	'''Delectus ut a necessitatibus voluptate perspiciatis; Quo architecto 	 Labore commodi'''
mr_norris_0216	80.0	'''(Laudantium hic) 	 Recusandae and Voluptatem ea nobis'''	'''Quis repudiandae quasi consequatur voluptate; Aliquid possimus ipsam deserunt mollitia 	 Ipsum repudiandae vel'''
mr_graham_4931	88.0	'''Architecto: Cumque reprehenderit accusamus labore	 Non veniam quod'''	'''Note: In	 then Consectetur eos'''
anna_ellis_8503	1.0	'''Fugit in; Officia nam 	 Modi perferendis aperiam'''	'''Illo maiores ab veritatis iusto: Autem quidem architecto nisi nisi natus	 Labore'''
janice_stevens_2412	73.0	'''Commodi vel odit; Doloribus illum autem 	 Quaerat amet'''	'''Note: Fugit asperiores	 then Consectetur'''
samuel_scott_7663	27.0	'''Similique; Laborum explicabo 	 Saepe alias'''	'''Consectetur eaque; Nisi voluptatibus 	 Id quisquam quos'''
claire_warner_0995	64.0	'''Aspernatur odio similique aliquid voluptate: Eius delectus tempora laudantium	 Facere itaque neque dignissimos'''	'''Quis voluptatibus: Tempora natus	 Ut accusantium error eos possimus velit'''
ms_james_4870	10.0	'''Laborum possimus: Quibusdam cumque pariatur	 Facilis eaque tempore'''	'''Nam eos autem quis: Amet	 Atque quaerat at'''
katherine_knight_2565	52.0	'''Ducimus officia eligendi optio: Eius dignissimos	 Sapiente ipsam'''	'''Maxime explicabo nostrum	 Dolorum modi Earum facere ut odit'''
kyle_higgins_9742	36.0	'''Note: Atque doloremque optio sit	 then Dicta distinctio vitae ad accusamus'''	'''Hic nostrum maiores: Aspernatur	 Exercitationem distinctio a'''
george_gibson_7829	74.0	'''Note: Odio quas	 then Id'''	'''(Explicabo) 	 Optio minus animi suscipit and Beatae dolores dolores'''
mr_cooper_7911	15.0	'''(Atque illum nisi sunt nam) 	 Sint repellat and Consequatur inventore dolor laudantium'''	'''(Laudantium tempore) 	 Quam and Earum aliquam veritatis omnis'''
jayne_jones_4554	72.0	'''(Dolorem distinctio) 	 Saepe beatae rerum and Recusandae impedit architecto voluptatum'''	'''Note: Sit cupiditate	 then Exercitationem hic'''
mr_walsh_8932	49.0	'''(Earum tempora veniam corporis repudiandae illo) 	 Possimus labore deserunt eos and Cupiditate minima neque neque'''	'''(Consequuntur provident excepturi) 	 Dolorem nemo voluptate magni provident quos and Iusto rerum'''
bradley_lowe_2580	94.0	'''Nostrum hic architecto: Aliquid laborum eum	 Reprehenderit excepturi'''	'''Fuga fugiat; Excepturi perferendis error dignissimos dolores 	 Rerum'''
christian_moore_1240	85.0	'''(Doloremque vero perferendis) 	 Quae deserunt veniam id nostrum and Dicta nemo minus quos ipsam'''	'''Quod magni expedita pariatur	 Quam tempore quia praesentium architecto quae Laborum fuga doloremque'''
gemma_singh_4458	29.0	'''(Officiis veniam) 	 Sequi ad officia repudiandae occaecati nam and Magni'''	'''Distinctio ullam nostrum ratione: Sint a	 Voluptatem ipsum libero'''
danielle_fisher_2587	57.0	'''Quis sequi optio: Ipsum hic	 Ipsa labore'''	'''Dicta ipsam asperiores recusandae voluptatum sit	 Velit Sit quod perferendis'''
phillip_cook_9047	100.0	'''Cumque	 Id nam autem itaque distinctio Nemo possimus'''	'''(Animi) 	 Delectus and Vel accusantium'''
mohamed_wilson_9887	35.0	'''(Corrupti) 	 Maxime ducimus sequi ipsa asperiores explicabo and Cupiditate quisquam quae'''	'''Note: Nulla reiciendis facilis	 then Doloribus nostrum'''
dr_carpenter_8507	12.0	'''(Fugiat in amet) 	 Veniam dolores and Natus earum'''	'''Deleniti magni: Reprehenderit a quisquam veritatis	 Fugit possimus quod quos'''
melanie_jones_2810	13.0	'''Nulla alias assumenda	 In similique Voluptatum minima maxime error voluptas dolorem'''	'''Vel repellendus ad quos deleniti; Reiciendis blanditiis 	 Necessitatibus ullam nam vero quibusdam'''
