# This is a comment line to skip
username;score;price;summary
rita_daniels_3020;23.0;50.1;"""(Commodi quibusdam expedita) ; Ab quasi enim asperiores and Minima cupiditate"""
lewis_turner_5246;;65.1;"""(Minima ab) ; Voluptatum and Voluptas eum"""
mr_rahman_8449;90.0;36.1;"""Note: A illo consequuntur amet quisquam; then Illum"""
mrs_hurst_0713;59.0;76.1;"""Alias necessitatibus harum repellendus; Eum sapiente soluta ; Ipsa"""
callum_allen_3098;10.0;92.1;"""(Architecto blanditiis nulla maiores) ; Libero dolorem nihil rem and Doloremque nisi magnam numquam"""
norman_morris_9467;98.0;73.1;"""Sint voluptates delectus; Corporis expedita quo rem Nesciunt totam"""
mrs_booth_2477;19.0;17.1;"""Ab consequatur; Magni Nulla eveniet eum quos animi"""
ms_taylor_6540;88.0;94.1;"""Vero et; Repudiandae quia deleniti Dolorum laboriosam"""
dr_roberts_3048;21.0;79.1;"""Labore repellendus; Sequi ab accusamus quaerat quasi voluptatem Debitis quisquam vero dolores"""
dr_henry_4829;78.0;54.1;"""Ex architecto voluptates velit nesciunt numquam; Voluptate consectetur Non laborum cum delectus"""
mr_freeman_7662;70.0;35.1;"""Nesciunt ut: Pariatur vel perspiciatis mollitia; Nesciunt"""
trevor_wilson_9244;84.0;50.1;"""(Deserunt aspernatur nobis) ; Nobis eius fuga adipisci and Ipsum dolorum cumque"""
mr_wilkinson_1050;98.0;78.1;"""Note: Laboriosam itaque; then Id harum molestias"""
adrian_noble_6756;69.0;78.1;"""Autem aliquam natus; Quibusdam rem consequuntur corrupti ; Nulla asperiores incidunt consectetur optio"""
denis_nicholls_4335;54.0;33.1;"""Neque ad; Aliquid Ullam aperiam"""
francis_clark_1360;3.0;;"""(Molestias voluptates) ; Esse ad neque exercitationem and Illum fugit"""
mr_booth_8442;97.0;70.1;"""(Nam illum) ; Maiores natus repudiandae and Impedit"""
dennis_marshall_0562;14.0;81.1;"""Impedit ex laudantium voluptas tempora; Natus sequi blanditiis rerum Ut expedita unde itaque"""
dr_williams_2351;14.0;74.1;"""Repellendus; Labore illum ; Tempore doloremque rerum quaerat ea"""
danny_white_2486;57.0;21.1;"""Reiciendis minima ad: Saepe expedita debitis temporibus aperiam; Reprehenderit blanditiis esse omnis saepe"""
steven_ward_5515;81.0;67.1;"""Facilis a; Hic ; Exercitationem vitae veniam debitis architecto"""
connor_evans_8172;62.0;60.1;"""Dicta corrupti autem voluptatem: Illo officiis; Maiores"""
mr_myers_0229;31.0;47.1;"""Asperiores hic: Expedita quae; Veniam odit"""
harry_thompson_6126;13.0;17.1;"""(Delectus eius) ; Aliquid accusantium nostrum and Reprehenderit corporis perspiciatis quidem"""
ben_hewitt_1692;36.0;59.1;"""Tempore dolor facere dolorum iure ratione: Impedit impedit doloremque aspernatur; Cupiditate alias"""
katy_rowley_9806;54.0;81.1;"""Ipsum ab voluptates: At corrupti; Nemo eos"""
katherine_chandler_9399;4.0;78.1;"""Repellendus reiciendis ea: Asperiores iusto ipsum tempora molestiae; Porro"""
mrs_phillips_1202;55.0;92.1;"""Impedit deserunt aperiam asperiores magnam; Sunt praesentium ipsa eius itaque tempore Autem alias"""
alexandra_stephens_7482;27.0;70.1;"""Incidunt nulla; Modi libero ; Odio"""
mr_richards_4418;36.0;81.1;"""Dolorem veritatis laborum: Eos tenetur; Expedita cum aut iste"""
victoria_white_6634;59.0;31.1;"""Note: Molestias expedita; then Occaecati voluptatum"""
mr_sanders_4348;36.0;95.1;"""Voluptates est itaque doloremque; Unde iure error Odio animi"""
katy_jones_6800;12.0;38.1;"""Fugiat sint; Temporibus voluptatibus voluptas ut accusantium quas ; Vitae"""
dawn_barnes_2989;31.0;47.1;"""Sit nihil provident: Odit explicabo doloremque et magnam; Pariatur quia eum"""
kieran_brooks_0173;20.0;11.1;"""Note: Quas tenetur beatae; then Deserunt consectetur"""
