username;price;salary;total_count;review
grace_black_5238;5.0;67.1;7.2;"""Book; Contain lead hospital Arrive"""
michelle_martin_2485;97.0;26.1;73.2;"""Strategy down many; It their any Several financial"""
jeanette_mendoza_0306;39.0;8.1;41.2;"""(Process sign bring response their hope) ; End wait cultural and Reason himself thus"""
cynthia_sullivan_4452;78.0;68.1;81.2;"""(Through our job bag interview interesting) ; Be consumer and Realize short reality decide"""
virginia_rodriguez_2683;31.0;17.1;66.2;"""Customer class reach indeed; Standard worry blood radio Admit"""
karen_snyder_8554;16.0;16.1;2.2;"""Agreement talk; Tough address own service camera up Skin type fear"""
katherine_robbins_2759;78.0;57.1;28.2;"""Through determine large; Executive create Student until great"""
megan_burton_9681;;67.1;37.2;"""Gas chair ten production woman; Even factor ; Not spend ball"""
audrey_robinson_9552;22.0;46.1;95.2;"""Population still situation; Including listen ; Something role we peace"""
amy_lee_2416;37.0;59.1;96.2;"""Note: Paper floor; then Half shoulder"""
karen_freeman_2305;85.0;78.1;87.2;"""Note: Believe establish good only kid training; then Set heart movement"""
amanda_alvarez_9717;3.0;;29.2;"""Visit strong production south capital young: Care town; City remember make"""
david_johnson_5673;31.0;98.1;61.2;"""Better necessary; Watch hope recent Current already"""
jacob_burns_7779;65.0;96.1;93.2;"""Sister position space; However exactly ; Body task away east instead foot"""
amanda_carson_6459;22.0;96.1;99.2;"""Back wall: Choose beautiful range summer; Other deep feeling size"""
amanda_nelson_9924;60.0;86.1;24.2;"""Note: Hotel but; then Note issue note truth"""
patricia_brown_1368;44.0;76.1;60.2;"""Power remember: Individual throw; Economy both present fall wind"""
laura_scott_8613;75.0;80.1;;"""(Various) ; Certain success remain and Else"""
kenneth_daugherty_8977;23.0;86.1;23.2;"""Attention Republican study fire: Already whatever; Gas bill able part"""
janet_morgan_8471;24.0;88.1;38.2;"""(Over) ; Region family let and Blue morning"""
leslie_kemp_8802;34.0;31.1;96.2;"""Small father that find too necessary voice; Wrong though professional worker between Employee"""
rachel_foster_3789;9.0;17.1;34.2;"""Note: Center executive stand; then Radio peace"""
angela_morgan_4967;65.0;70.1;90.2;"""Much add these wear: Notice concern billion play; Budget must health"""
jill_chen_6964;65.0;76.1;35.2;"""Fish task performance memory; Sing thing admit town ; Control environment food woman develop financial"""
natasha_sanchez_9757;30.0;80.1;47.2;"""Note: Never those; then Very leader kid bank"""
christopher_burke_4877;97.0;57.1;87.2;"""(Bill clear) ; Executive memory sea and Two begin"""
stephanie_edwards_1402;30.0;64.1;67.2;"""(Own claim woman free) ; Parent room leave and Agency"""
donna_jones_1377;36.0;90.1;36.2;"""Perhaps tell section; Song discuss size Lay expert sell"""
jeremiah_craig_9974;1.0;23.1;82.2;"""Note: Practice; then Toward bank at these run"""
daniel_edwards_3188;73.0;71.1;70.2;"""Note: Few care; then Artist"""
bradley_soto_8955;11.0;81.1;52.2;"""Finally manage growth let work employee; Free ; Purpose these vote"""
jessica_montgomery_1954;91.0;13.1;7.2;"""Quickly: Clear; Morning science treatment anything professional position"""
mary_brown_3764;74.0;41.1;6.2;"""(Matter continue) ; After reflect plant certain bag and System answer pass nice rich"""
cynthia_acevedo_6001;79.0;62.1;40.2;"""Mean growth admit relate discussion edge: Several; Cost all"""
