username	rating	comment
clive_arnold_2630	53.0	'''Iure cupiditate quod blanditiis; Voluptate atque consectetur vitae 	 Ipsum esse fugit'''
mrs_stephenson_4737	50.0	'''Molestias iste autem aspernatur	 Libero corporis incidunt corrupti Iure perspiciatis possimus repudiandae'''
samantha_palmer_4446	5.0	'''Provident vero temporibus: Mollitia repudiandae	 Natus esse maiores laboriosam'''
luke_elliott_5789	2.0	'''Doloribus	 Doloremque accusamus officiis Maiores provident'''
eileen_williams_1688	22.0	'''Quasi odio ex reprehenderit: Maxime doloribus aliquam	 Molestiae praesentium fugit dolor'''
louis_parker_1223	48.0	'''Minus odit assumenda id aperiam	 Odio placeat magnam Nam natus et tempora'''
elliot_dale_1698	94.0	'''(Ratione) 	 Consequuntur neque doloribus and Hic necessitatibus dolorum cupiditate veniam aspernatur'''
mr_cooke_6779	85.0	'''Reiciendis esse illum; Voluptates adipisci nesciunt 	 Cum'''
ms_hewitt_3050	85.0	'''Quibusdam quaerat; Ad reiciendis 	 Ullam'''
vanessa_morgan_1188	77.0	'''Note: Fuga vel doloribus laborum rem alias	 then Voluptatibus molestiae sapiente libero sequi'''
ms_hewitt_4863	74.0	'''Temporibus; Accusantium incidunt maxime 	 Sunt'''
mrs_robinson_0308	43.0	'''Note: Sunt amet maiores perspiciatis laudantium beatae	 then Minus quisquam eaque atque molestias porro'''
yvonne_begum_2790		'''Est; Voluptate rem 	 Ea laborum repudiandae'''
gerard_hill_1155	41.0	'''Ipsam impedit tenetur mollitia culpa ex: A aperiam pariatur	 Cum'''
rita_chamberlain_0648	51.0	'''Ea amet; Labore consequatur expedita molestiae modi 	 Aperiam a placeat voluptate placeat'''
bruce_fry_2692	1.0	'''Deserunt sit illum	 A quibusdam Exercitationem esse eos'''
barry_cole_1931	58.0	'''(Corrupti) 	 Est voluptas and Perferendis consequuntur fugiat reprehenderit voluptates'''
henry_webb_1327	94.0	'''Iusto ad veniam; Numquam repellendus dicta 	 Blanditiis exercitationem totam'''
dr_rice_2533	57.0	'''Rerum pariatur vero; Hic rem 	 Exercitationem doloribus libero eos itaque'''
dawn_robinson_3934	44.0	'''Officiis modi: Magnam molestias	 Rem atque sint ea molestias ab'''
melanie_fuller_3844	7.0	'''Note: Debitis accusamus alias tempore quaerat	 then Corrupti minima mollitia voluptate libero'''
dr_rice_4541	56.0	'''Note: Eligendi iusto maiores temporibus	 then Ipsum facilis beatae beatae'''
anne_hope_5752	30.0	'''Non ipsam; Quaerat 	 Nisi beatae officia maiores'''
mrs_higgins_3172	51.0	'''Necessitatibus	 Mollitia Cumque eius'''
