username	rating	salary	total_count	review
charlotte_hardy_8235	96.0	70.1	56.2	'''Unde rerum incidunt; Sunt eius labore iure 	 Totam voluptatibus officia recusandae minima vitae'''
lauren_marshall_0313	28.0	73.1	22.2	'''Note: Voluptas vero nulla quae	 then Nesciunt et'''
oliver_butler_6856	94.0	73.1	38.2	'''Nesciunt	 Rerum provident non porro saepe Quasi fuga iure voluptatibus vitae'''
gavin_jones_2011	63.0	61.1	4.2	'''Saepe aliquid minima molestias dolorum a: Officia fugiat consectetur doloremque	 Illum aliquid provident nostrum ut'''
marian_king_6356	68.0	82.1	83.2	'''(Magnam hic doloribus in) 	 Illo explicabo reiciendis and Qui maxime similique nesciunt tenetur'''
lee_bond_8402	47.0	60.1	87.2	'''Quibusdam natus: Ab laborum minima inventore fuga	 Aperiam dolore corporis excepturi'''
miss_kay_7956	40.0	56.1	86.2	'''Dolorem unde neque; Similique 	 Autem a suscipit tempore'''
gillian_mellor_6755	62.0	47.1	61.2	'''Note: Ad libero numquam	 then Quae explicabo nihil sapiente repellat'''
dale_smith_0170	5.0	56.1	5.2	'''Note: Illo rerum nemo repellendus	 then Deserunt necessitatibus saepe illum sequi vel'''
lindsey_roberts_2286	32.0	35.1	23.2	'''Temporibus facilis libero aliquid: Dolorum maxime nemo	 Earum deleniti illum'''
dr_singh_0163	20.0	49.1	34.2	'''Note: Dolor expedita	 then Eius odio modi'''
rachael_stevens_6954	73.0		28.2	'''Ab qui natus corrupti voluptatum: A cum	 Enim at aperiam'''
dr_smith_6398	94.0	25.1	18.2	'''(Nobis) 	 Animi odio nam sed omnis placeat and Totam labore'''
katie_holmes_2370	94.0	56.1	7.2	'''(Cumque sit) 	 Harum voluptatum maxime occaecati exercitationem dolorem and In dolore quaerat'''
carly_roberts_2155	94.0	20.1	78.2	'''(Iusto numquam) 	 Expedita veritatis excepturi and Eos minima voluptas'''
peter_townsend_3228	63.0	45.1	53.2	'''Quibusdam dolore	 Quae occaecati quaerat Nihil eos ducimus'''
elaine_curtis_6483	53.0	66.1	70.2	'''Note: Quia ipsam fugit quo dicta accusamus	 then Tempore doloribus eum'''
arthur_cooper_1090	49.0	4.1	1.2	'''Note: Veritatis consectetur	 then Saepe odio corrupti quia'''
melanie_mason_6978	70.0	32.1	3.2	'''Cumque cupiditate	 Quae consequatur Officia tempore'''
cheryl_elliott_5828	51.0	19.1		'''Veniam eveniet: Laboriosam nesciunt aliquam veritatis	 Esse perferendis'''
ms_bennett_9840	27.0	54.1	35.2	'''Note: Consequatur vel asperiores	 then Repellat eligendi autem maiores'''
henry_yates_2213	3.0	39.1	51.2	'''Note: Hic	 then Provident'''
lynn_perry_7419	45.0	21.1	38.2	'''Laudantium quos ab nisi nostrum: Et	 Corrupti'''
miss_barnes_2842	58.0	12.1	92.2	'''(Assumenda necessitatibus reprehenderit) 	 Rem labore and Minus quidem dignissimos error'''
leanne_atkinson_1328		12.1	25.2	'''(Perferendis illum dolore) 	 Sit molestias est repudiandae and Vero pariatur soluta'''
ms_williams_2464	77.0	29.1	35.2	'''Aut esse blanditiis ipsum: Occaecati molestias	 Voluptate maiores laboriosam voluptas'''
wayne_martin_4512	73.0	57.1	37.2	'''Consectetur doloribus assumenda unde; Porro magni nisi 	 Illum'''
ms_lamb_9476	69.0	13.1	30.2	'''Recusandae facilis	 Velit consequatur Corrupti esse'''
dr_lewis_5288	4.0	54.1	26.2	'''Molestias consectetur; Quisquam 	 Maxime nisi non'''
marion_greenwood_5764	100.0	11.1	47.2	'''At rem sapiente sequi: Facilis	 Placeat veritatis'''
mrs_morris_0971	36.0	99.1	95.2	'''Officia blanditiis	 Cumque porro Beatae'''
sara_adams_0394	90.0	6.1	26.2	'''(Quaerat beatae velit) 	 Inventore modi sint and Quos quia quis quam'''
miss_jackson_8363	53.0	43.1	5.2	'''Occaecati sequi ipsum odio quasi; Mollitia 	 Ea beatae'''
roy_webb_3280	52.0	15.1	28.2	'''(Possimus ullam hic) 	 Consequatur aliquid ipsum voluptatem inventore and Dolorem hic aspernatur enim perferendis ipsam'''
miss_schofield_3612	98.0	17.1	50.2	'''Note: Voluptatem sapiente eligendi libero	 then Hic mollitia'''
gerard_frost_6861	77.0	81.1	67.2	'''(Itaque laborum deserunt) 	 Eos quod totam and Incidunt ut sequi eaque illo'''
lawrence_thomas_8408	78.0	40.1	77.2	'''Et; Veniam culpa quo quasi blanditiis repellat 	 Quia blanditiis'''
