username,rating,age,description,review
dr_ali_0798,83.0,7.1,"""Amet: Totam officiis ut odit, Provident facere laboriosam eos modi enim""","""(Culpa facere aperiam) , Vel quaerat and Quas"""
miss_bradley_6478,87.0,13.1,"""Alias animi velit; Esse tenetur , Asperiores dignissimos numquam numquam""","""Note: Placeat fugit, then Sint aut"""
miss_hunt_6625,14.0,42.1,"""(Corporis sequi) , Laboriosam quasi asperiores and Quasi sequi""","""Note: Dolorem quas eaque, then Amet"""
dr_davies_0756,46.0,46.1,"""Commodi: Sit explicabo sapiente, Pariatur consequuntur quas""","""Illum quam, In Tenetur itaque"""
ronald_kaur_7606,59.0,8.1,"""Note: Quas at eveniet, then Alias odit mollitia""","""(Quam modi) , Cum exercitationem dolorem ex and Non dolor quo aliquam"""
nicola_morgan_9624,63.0,90.1,"""(Sapiente) , Sapiente and Aliquid numquam odio""","""(Soluta earum) , Alias laborum nam laudantium and Tempora recusandae omnis"""
mrs_fleming_4993,33.0,44.1,"""Note: Voluptatum assumenda, then Placeat ipsam""","""(Porro magni nesciunt officia eius iure) , Dolorum tempore veritatis hic and Eligendi culpa"""
simon_fisher_3966,64.0,23.1,"""(Quos harum repudiandae officiis) , Itaque ratione and Aut""","""(Debitis fuga quaerat doloremque) , Dignissimos odio odio eos eius and Hic ut nemo"""
hayley_smith_1707,100.0,41.1,"""Saepe mollitia nisi nobis, Reiciendis occaecati dolor Non fugiat optio""","""Vel ab: Quae aliquid, Sint unde consequuntur tempora"""
adam_henderson_0531,22.0,1.1,"""Rerum officia voluptatibus: Possimus repellendus architecto, Eum autem amet debitis beatae esse""","""Note: Molestias, then Commodi laboriosam"""
francis_giles_3542,57.0,62.1,"""(Perferendis quis a doloribus debitis cum) , Earum laborum dolore and Maiores""","""Provident eveniet quas; Optio nesciunt , Necessitatibus enim quasi aliquid enim"""
nicole_ryan_3929,67.0,99.1,"""Facilis rem natus dolor ea: Voluptate assumenda architecto accusamus ad, Praesentium error earum odio""","""Note: Minus nulla dolorem enim quidem, then Explicabo sapiente"""
bernard_lewis_7278,11.0,32.1,"""Note: Quo, then Rerum temporibus vero""","""(Sit) , Provident quibusdam and Nihil magni vitae dicta quae"""
shane_johnson_5199,82.0,44.1,"""Sint nisi repellendus, Molestiae Corporis facilis architecto laudantium tempora ipsum""","""Ipsa: Delectus accusantium, Voluptatem occaecati"""
lynne_slater_5745,7.0,66.1,"""Note: Deleniti, then Aperiam inventore saepe doloribus""","""Note: Dolorum beatae repellendus placeat itaque eaque, then Labore provident perferendis"""
mrs_bradley_0807,89.0,53.1,"""Similique ipsum ipsum: Perspiciatis nihil debitis necessitatibus, Modi labore""","""(Consequatur quisquam vero) , Occaecati nam minima ex quia and Numquam tenetur libero quis alias"""
hollie_harris_5885,82.0,95.1,"""Note: Quo accusantium nostrum saepe veniam, then Placeat""","""Repellat doloribus excepturi sed est; Laudantium omnis , Necessitatibus"""
jayne_wright_4628,26.0,,"""Nemo quisquam expedita: Facere ipsa, Sapiente error tenetur incidunt quos""","""Nemo adipisci: Id sequi enim aliquid, Consectetur nam ducimus"""
dorothy_smith_5911,55.0,33.1,"""Autem inventore iure doloremque numquam; Earum harum suscipit , Recusandae eum harum sit""","""Recusandae exercitationem architecto; Amet sapiente , Iste natus"""
jacob_kent_4754,58.0,65.1,"""Note: Ea temporibus natus a tempora, then Dignissimos sunt""","""(Ullam minus quidem fuga) , Nobis nostrum et perspiciatis id and Molestiae"""
michelle_hall_8679,67.0,7.1,"""(Nam laborum laboriosam numquam) , Mollitia porro and Dolorum dicta fuga modi""","""Note: Quis officiis dolores, then Sapiente iste"""
dr_sanders_5425,74.0,2.1,"""Nesciunt corporis deleniti eius; Ex rem , Voluptatem magnam architecto""","""Note: Quaerat ratione dolorem, then Ratione expedita"""
sally_taylor_9110,21.0,79.1,"""Vel quibusdam, Veniam optio ipsum autem dolores Quas dignissimos""","""Ullam nihil; Magni odio , Delectus dolor minus"""
phillip_ryan_8527,12.0,50.1,"""Iure corporis occaecati; Deleniti amet nostrum nemo , Nesciunt ducimus animi""","""Nulla placeat porro; Quod voluptates consequuntur quis perspiciatis , Repellendus aut sequi"""
dr_bailey_1597,7.0,77.1,"""(Consequuntur) , Maiores aperiam dolor and Assumenda temporibus""","""(Asperiores molestias) , Doloribus voluptatibus praesentium and Quibusdam voluptates recusandae totam"""
dale_hanson_4071,51.0,28.1,"""Quia, Adipisci Doloremque doloremque""","""Totam quod: Quasi quidem, Sequi autem eaque pariatur"""
michelle_kirk_6893,35.0,48.1,"""Dolore aut; Repellendus totam maxime eveniet , Necessitatibus""","""Note: Veniam accusamus in repudiandae, then Ipsa"""
annette_gray_4492,52.0,18.1,"""Note: Assumenda molestiae ab placeat vero minus, then Architecto quos corrupti sit at""","""Nihil excepturi tempore dolor delectus; Dolorem non necessitatibus , Animi aperiam"""
christine_wood_8017,,43.1,"""(Qui doloribus reprehenderit) , Error doloribus corporis nostrum quas and Animi magnam magnam""","""Quia dignissimos quibusdam tempore: Alias aliquid quo assumenda, Commodi et"""
christian_lord_4332,74.0,50.1,"""Note: Sint voluptas laudantium, then Deserunt autem vitae""","""Iure illo sed quo: Earum quae, Quod recusandae labore"""
ryan_davidson_1742,23.0,39.1,"""Commodi consequatur praesentium placeat ipsum: Molestiae, At esse deserunt""","""Illo fugiat perferendis voluptate; Fuga numquam occaecati , Debitis eos"""
rhys_dawson_1083,45.0,4.1,"""Consequatur quo deleniti, Minus nobis aspernatur Itaque veniam beatae""","""Illum et iusto quasi; Odio veritatis culpa sed similique eaque , Libero veniam ducimus"""
mrs_forster_8679,89.0,47.1,"""Sunt tenetur mollitia amet repellendus: Velit facilis, Eligendi""","""Quo at rem aliquid nesciunt, Necessitatibus deserunt Mollitia error expedita"""
chloe_jones_2925,67.0,65.1,"""Fugit repudiandae: Numquam enim neque aliquam, Minus debitis molestias quae""","""Odit, Temporibus est Deleniti in"""
lucy_walker_1272,59.0,94.1,"""Repudiandae reprehenderit deserunt tenetur: Earum deserunt veniam, Pariatur veritatis labore""","""(Nihil repellat ex) , Quae quaerat vitae and Error minima iure tempora sunt"""
vincent_singh_5359,25.0,57.1,"""Note: Eius optio, then Voluptates mollitia iste""","""Officiis suscipit ab natus excepturi eum; Odit quaerat , In reprehenderit"""
miss_thomas_5874,91.0,80.1,"""Placeat; Voluptatum et neque , Porro odio""","""Corporis inventore rerum molestiae, Non occaecati Incidunt commodi"""
paula_smith_8613,37.0,83.1,"""(Iure nam) , Minima molestias nostrum and Fuga eaque omnis distinctio""","""Deleniti doloribus eius aliquam; Ex eaque nisi , Accusamus"""
joshua_jarvis_3711,11.0,71.1,"""(Unde placeat similique quae sequi) , Odit laboriosam amet repellendus and Fugit possimus nostrum debitis distinctio""","""Ad reiciendis: Quisquam amet, Quam nostrum neque in repellat"""
mr_lawson_4715,77.0,91.1,"""Dolore atque; Cum sed , Modi culpa""","""Ab voluptatem, Veritatis possimus error odio Aliquid voluptate"""
aaron_fisher_4532,96.0,68.1,"""Nihil dolor; Consequatur dicta voluptates , Recusandae vitae numquam minima""","""Tenetur praesentium repudiandae et, Eum explicabo Deserunt deleniti error eligendi"""
wayne_hayes_7124,38.0,35.1,"""Deserunt quis ullam; Iure commodi deleniti laudantium , Similique dicta fugit nemo""","""Iure; Voluptas , Natus"""
ms_wilson_6054,50.0,48.1,"""Quaerat perspiciatis at modi repellendus, Qui commodi Perspiciatis numquam""","""Maxime numquam quibusdam adipisci similique, Impedit ipsam cumque libero tempora Modi soluta aut"""
lauren_garner_4942,34.0,49.1,"""Magni sunt a, Illum itaque Commodi magni vitae ipsa""","""Voluptates; Maxime temporibus saepe , Voluptatibus dolores magni"""
dr_mccarthy_0081,1.0,29.1,"""Sequi error: Iste, Soluta magnam optio""","""Sit delectus delectus temporibus eius inventore; Laboriosam impedit , Sapiente voluptatem"""
dr_townsend_0042,63.0,96.1,"""(Aliquid mollitia amet libero tenetur) , Eum alias sequi ipsum and Aperiam consequuntur consequuntur laudantium""","""Consequuntur incidunt; Officia veritatis doloribus hic , Quis minima nulla recusandae"""
nigel_roberts_1802,16.0,28.1,"""(Illo laboriosam cumque vero) , Quos and Ullam quasi molestias dolore et""","""In neque quibusdam officia consectetur: Itaque minus sint repellendus iusto, Ut sint facere"""
leanne_thomas_1438,70.0,74.1,"""Accusantium deserunt quasi inventore at; Totam quas , Iusto sed""","""Note: Sint magni ipsam facere, then Illo"""
