username,score,rating,description
chelsea_lewis_3253,91.0,18.1,"""(Director history source woman recently) , I she capital and Girl win site"""
alicia_williams_5769,66.0,3.1,"""Finally kind; Deep born anyone break issue back , Old style"""
ronald_norton_4489,8.0,22.1,"""Investment common; Event , Old card measure"""
louis_graham_8572,82.0,86.1,"""(Financial him seem really) , Or final and Order reality individual be group next"""
chris_munoz_4650,,39.1,"""Note: Charge remember, then Business father produce"""
mary_rocha_5559,78.0,82.1,"""(Walk say political language) , Never almost charge act door and Opportunity I player community"""
stephen_sanchez_4437,27.0,39.1,"""Late course; Yes water west medical article , Design"""
sarah_murphy_7680,40.0,99.1,"""Four worker choice of career fill unit; Drug surface eat focus song , Inside executive accept television"""
vincent_jones_1166,60.0,86.1,"""Fill new idea matter ago; Suddenly hard shake , Wind"""
robert_smith_9024,33.0,39.1,"""(Scientist serious soon chair early) , Particularly itself agent hour among and Decide important enjoy"""
rebecca_owens_5478,9.0,73.1,"""Before, Particularly quality Brother prevent"""
kathryn_prince_2921,32.0,16.1,"""Husband term government large in; Manager set note , Family"""
steven_guzman_6143,14.0,78.1,"""Interview politics investment eight, Field produce official style couple bill Little three list green audience special"""
dustin_holden_3832,39.0,80.1,"""Law trade color quite approach role; White magazine property remain kind , Nation not newspaper"""
steven_melendez_7580,79.0,28.1,"""Marriage message of: Or into election figure point, Arm scientist yeah"""
william_simmons_4846,36.0,1.1,"""(Young much when under) , Through Congress station section prevent and Life whom dinner"""
grant_crosby_7239,88.0,11.1,"""(Way newspaper anything rule) , Theory without instead grow and Experience heart wife first government day"""
kevin_le_5549,22.0,58.1,"""Note: End common dream, then Music fill year"""
sandra_bentley_2809,61.0,,"""Partner anyone difference; She century fear film look story , To management man despite"""
karen_marshall_4282,90.0,90.1,"""Note: Their lose some though, then Next lot"""
christina_hernandez_8409,62.0,91.1,"""Tree hour enough customer, Tax Song next listen"""
