name	username	rating	total_count	score	description	message
Lynne Clements	lynne_clements_0238	93.0	87.1	5.2	"""(Accusamus velit) 	 Quod tempora ducimus and Illo doloribus"""	"""Aliquid dicta dolores voluptate	 Labore natus et Suscipit consectetur esse reiciendis eos"""
Julie Thomas-Stokes	julie_stokes_0884	46.0	78.1	46.2	"""Note: A ex animi cum porro	 then Deserunt reiciendis"""	"""(Provident) 	 Eos nesciunt and Voluptatibus perspiciatis"""
Ms Elizabeth Faulkner	ms_faulkner_6222	33.0	57.1	61.2	"""Eligendi consectetur modi eum dicta	 Mollitia Voluptate"""	"""Note: Iste itaque accusamus eum velit	 then Error autem ut"""
Guy Randall	guy_randall_7596	16.0	91.1		"""Iste quo: Minima quisquam dolore veniam	 Similique nulla quos"""	"""Note: Voluptatibus deserunt hic explicabo	 then Ullam hic tenetur iste"""
Callum Marsh	callum_marsh_4226	62.0	13.1	41.2	"""Nostrum corporis veritatis	 Quaerat voluptate minus Aliquam saepe"""	"""Consequuntur corrupti	 Quasi qui optio Eveniet rem"""
Philip Franklin	philip_franklin_1150	23.0	9.1	87.2	"""Labore nesciunt	 Est sit Laudantium modi aliquid at non"""	"""(Perferendis eligendi dolorum) 	 Placeat aspernatur and Voluptatum dolor officiis"""
Ms Valerie Lamb	ms_lamb_1846	83.0	87.1	79.2	"""Nisi voluptatum optio omnis: Consequatur eius	 Sint"""	"""(Repellat placeat) 	 Sunt explicabo harum magnam ex and Quisquam"""
Clare Jones-Hutchinson	clare_hutchinson_8215	38.0	10.1	3.2	"""Asperiores minima facere ut corporis facere	 Aut Beatae voluptates"""	"""Eligendi sequi cum: Quae nobis nisi	 Eius ad incidunt expedita"""
Mr Joe Davidson	mr_davidson_0287	59.0	77.1	25.2	"""Dicta atque non magni animi: Officia totam recusandae aut	 Molestiae eius"""	"""Est tempora: Recusandae ipsa itaque nemo	 Unde corrupti illum"""
David Hunt	david_hunt_3183	89.0	76.1	79.2	"""Fugit blanditiis dolores ut	 Sequi ipsa nesciunt Ratione excepturi"""	"""Earum praesentium cum iste	 Distinctio voluptas quam vero sunt Repudiandae"""
D	dr_taylor_5325	21.0	49.1	53.2	"""(Reprehenderit) 	 Numquam and Ratione"""	"""Facilis	 Blanditiis iusto sunt Delectus qui"""
Leslie Moore	leslie_moore_7586	73.0	80.1	100.2	"""Ullam suscipit mollitia numquam vero	 At molestias a nesciunt Accusamus cupiditate velit delectus beatae delectus"""	"""Note: Velit veritatis ad totam	 then Velit repellendus unde aliquid tempora"""
Jacob Webb	jacob_webb_5688	5.0	37.1	14.2	"""Veritatis ut dolores possimus: Exercitationem voluptas	 Labore voluptatum tempore"""	"""Note: Illo	 then Cupiditate cum corrupti occaecati quae"""
Annette Ford-Skinner	annette_skinner_6549	98.0	62.1	50.2	"""Corrupti magnam optio	 Corrupti officiis Soluta quam impedit rem"""	"""Distinctio	 Accusantium at enim Quidem repellat doloribus maxime recusandae repellat"""
Beth Thompson	beth_thompson_8740	85.0	2.1	33.2	"""Ea soluta ex ea porro velit: Iure occaecati suscipit ad	 Exercitationem voluptatem ut consequatur"""	"""A ducimus delectus perferendis; Pariatur dignissimos sed 	 Modi"""
Beth Davies	beth_davies_4196	19.0	31.1	54.2	"""(Mollitia ab) 	 Earum expedita cupiditate and Incidunt illo aspernatur unde"""	"""Doloribus ab cumque error	 Cupiditate Labore"""
Andrea Foster-Moore	andrea_moore_2204	32.0	4.1	20.2	"""(Voluptatum quaerat corrupti) 	 Saepe dolor consectetur voluptatibus ab ab and Magnam assumenda fuga nihil rem id"""	"""Note: Tenetur placeat labore	 then Praesentium ipsam non asperiores"""
Sally Hewitt	sally_hewitt_1570			76.2	"""Note: Laboriosam at	 then Illo"""	"""(Quod temporibus deleniti) 	 Voluptates in dicta eveniet a and Iusto ratione"""
Mandy Richardson	mandy_richardson_1788	52.0	89.1	99.2	"""Consequuntur repellat qui quam harum	 Magnam Numquam fugit inventore qui"""	"""Quae nostrum repellendus a eos; Non optio 	 Libero dicta et cupiditate"""
Miss Tina Walker	miss_walker_7163	63.0	36.1	91.2	"""Autem; Tenetur aliquid 	 Et a in error incidunt dolorem"""	"""Architecto repellendus	 Consequuntur quaerat ea maiores animi Sapiente accusantium"""
