username;score;salary;total_count;review
mrs_banks_6696;45.0;48.1;;'''Sapiente placeat; Quos doloribus expedita Commodi ut facere perspiciatis magnam a'''
dr_jackson_2289;;28.1;61.2;'''Voluptate ex eum enim veritatis ut; Asperiores inventore laboriosam facere ; Explicabo nesciunt accusantium'''
mitchell_stewart_0932;49.0;65.1;100.2;'''Note: Iure nesciunt quibusdam sed; then Modi numquam saepe'''
lesley_bennett_5891;55.0;7.1;17.2;'''Molestias cupiditate iste excepturi maiores; Tempora accusantium Corrupti numquam at'''
mohammad_walters_5479;26.0;69.1;74.2;'''Reiciendis a quos doloremque; Consectetur atque provident fugiat ; Atque saepe cumque'''
joanna_peacock_0102;79.0;15.1;38.2;'''Sint voluptatum ex atque cum dolore; Necessitatibus quas ad deserunt Sapiente quidem dolorem tenetur optio'''
harriet_quinn_9090;100.0;56.1;28.2;'''Aspernatur nesciunt neque repudiandae; Totam voluptates dicta A vitae possimus fugiat'''
jeremy_khan_6310;11.0;54.1;28.2;'''Dolore recusandae velit eveniet facilis dolor: Ex laborum ipsum; Architecto blanditiis hic excepturi'''
mrs_giles_1283;35.0;90.1;30.2;'''Note: Possimus; then Consequuntur suscipit id distinctio explicabo'''
mr_owen_8081;17.0;77.1;57.2;'''Note: Similique voluptate adipisci; then Atque temporibus'''
dr_allen_9879;90.0;60.1;88.2;'''Est doloribus; Alias animi ; Eius veritatis'''
ms_thomas_8074;8.0;97.1;29.2;'''Note: Ad dolore consectetur; then Optio molestias'''
jasmine_gould_3322;62.0;82.1;54.2;'''Molestias voluptates officia nulla; Exercitationem Repellat quibusdam'''
reece_farmer_5543;51.0;4.1;4.2;'''Note: Commodi architecto vero; then Ipsum odit'''
dr_robinson_2704;40.0;33.1;33.2;'''Dolorum ipsa: Id; Perferendis et nisi cum'''
miss_jones_3440;10.0;50.1;29.2;'''Note: Corrupti excepturi ex laboriosam exercitationem; then Aliquid corrupti expedita'''
dennis_glover_3067;31.0;44.1;73.2;'''Architecto minima; Ad aliquid asperiores ; Nostrum optio beatae'''
miss_hooper_1381;50.0;68.1;90.2;'''Nulla voluptatibus: Totam; Fuga'''
mr_baker_7982;42.0;38.1;76.2;'''(Rem ipsa consectetur aut facere impedit) ; Ullam atque and Eius accusamus itaque'''
mohamed_mitchell_3457;63.0;13.1;57.2;'''Sit doloribus optio commodi sed ducimus; Modi ; Corporis eaque'''
janet_mckenzie_4879;21.0;28.1;19.2;'''Note: Similique voluptate; then Saepe doloribus'''
ms_moore_9363;61.0;42.1;15.2;'''(Aperiam quam maiores eveniet sunt) ; Nostrum iure animi and Aliquid itaque fuga explicabo minus'''
jenna_woods_7761;97.0;37.1;1.2;'''Voluptates voluptatibus; Ab quaerat Repellat nihil'''
helen_burke_9341;41.0;57.1;72.2;'''Labore; Officiis placeat aperiam suscipit Provident cupiditate officiis tempore esse'''
kevin_anderson_8545;24.0;28.1;73.2;'''(Atque voluptas pariatur facere deserunt) ; Illo odit facilis cupiditate incidunt and Quasi laboriosam molestiae'''
owen_dawson_8201;100.0;77.1;74.2;'''(Tempore) ; Amet dicta and Nam perferendis'''
olivia_stevens_2024;72.0;54.1;12.2;'''(Nihil dolorem) ; Praesentium and Laudantium excepturi'''
sean_marshall_9831;55.0;65.1;71.2;'''Note: Animi; then Enim odio'''
miss_allen_1565;34.0;;79.2;'''Architecto: Mollitia aperiam a; Ipsam labore consequuntur voluptatum'''
damien_alexander_3746;81.0;57.1;84.2;'''Vel necessitatibus molestias vitae: Eos optio; Odit omnis'''
dr_edwards_9340;43.0;97.1;80.2;'''Adipisci aspernatur nemo; Enim nostrum et consectetur sint praesentium Nostrum ratione'''
suzanne_parry_8015;32.0;90.1;17.2;'''Adipisci pariatur nulla aliquam voluptatibus; Minus Libero dicta possimus illum'''
