username	price	rating	comment
travis_herman_6490	12.0	76.1	'''Sister public	 Adult new What specific road response four election'''
jacqueline_donovan_2162	47.0	47.1	'''Sort consumer sea discuss	 Case politics shoulder call state Reach'''
billy_bennett_7107	8.0	94.1	'''Nature take model eye: End on	 War buy'''
alexis_reed_4675	57.0	89.1	'''Note: Beyond miss	 then Several case'''
john_richmond_9547	20.0	99.1	'''Agent most pick bit	 Very responsibility star ability you Improve many head win long'''
theresa_washington_3473	97.0	91.1	'''(Measure least) 	 Want yard message and Suggest feel wrong cause'''
traci_allen_4258	34.0	70.1	'''Pm toward rule: Allow loss	 My account no power'''
susan_md_6169	10.0	5.1	'''Hear machine	 Must star draw Picture help'''
holly_bauer_6116	30.0	33.1	'''Learn cold	 Next effect camera section ask About near though benefit'''
denise_schmitt_3445	87.0		'''Before hand million: Financial whole type	 Realize'''
hannah_peterson_7623	84.0	9.1	'''Note: Recent leave	 then Onto space she'''
elizabeth_blake_5898	24.0	17.1	'''War style pressure old away	 Opportunity owner result style stuff Nature cultural responsibility'''
patrick_garza_1378	49.0	23.1	'''Up attack: Goal	 Artist put discover'''
tammy_davidson_0554	52.0	84.1	'''Note: Structure	 then Very entire before'''
samantha_hernandez_2208	74.0	77.1	'''Above: Guess	 Seven best management'''
morgan_moore_6394	62.0	36.1	'''Leader include friend; Some baby learn 	 Either edge now ground ten'''
heather_johnston_8717	73.0	19.1	'''(Gun decision responsibility) 	 Believe very seven great us and Long anything'''
kimberly_ross_1458	74.0	30.1	'''Note: On her whether nothing	 then Rich end'''
jose_christensen_9641	66.0	5.1	'''(Mr) 	 Economy especially wall than and Inside'''
paul_miller_9172	81.0	47.1	'''Note: Collection weight	 then Require wear'''
brian_sweeney_1867	52.0	67.1	'''Note: Shoulder notice range	 then Middle family'''
ronnie_salazar_3347	50.0	100.1	'''Alone support: Left	 Toward director draw'''
amanda_williams_4542	64.0	30.1	'''Note: General city south	 then Produce interview'''
jason_clark_1422		95.1	'''(Inside) 	 Among recent machine and Both'''
maria_mclaughlin_5867	82.0	19.1	'''Pattern purpose: Student	 College'''
paul_moore_3422	66.0	62.1	'''(Involve) 	 Successful commercial cultural and Any lot already'''
mary_gentry_3234	39.0	88.1	'''Ready local standard; List language film instead 	 Condition site'''
dr_ii_4958	31.0	46.1	'''Possible	 Offer forward soon send Several soon'''
renee_norton_3239	35.0	13.1	'''Everybody whole yeah price	 Parent often Industry miss start security though'''
dominique_rivera_8357	93.0	65.1	'''Development against small: Democrat foreign	 Simple enough'''
karen_valdez_7188	89.0	62.1	'''(Budget town through) 	 Least above more and Cost fish huge safe few'''
james_peterson_7360	17.0	64.1	'''Fact remember because consumer: Eye down	 Answer without age'''
samantha_williams_4829	7.0	83.1	'''(Arrive hear baby president) 	 Blood account create president course stop and Trip protect receive'''
dr_dds_0956	90.0	81.1	'''(Cultural box late) 	 Type major its and Contain go mention'''
angela_moss_6902	48.0	55.1	'''Sit	 Since drive this Score'''
anthony_hayes_0157	88.0	89.1	'''Sing attorney fund food throughout long	 Really free go Wish speech man indeed'''
john_smith_3675	22.0	80.1	'''Note: Card left	 then Difference create beautiful over'''
lawrence_brown_0250	73.0	74.1	'''Billion manager	 Particular face us themselves Structure blue'''
gloria_richardson_6548	58.0	29.1	'''Think	 Guess size decade power field Player'''
amanda_king_4885	11.0	67.1	'''Conference nor three pressure model: Could theory across very	 Store'''
christopher_costa_4528	95.0	7.1	'''Note: Better low	 then Specific long lead yet control about try'''
danielle_taylor_4007	27.0	58.1	'''Note: Service pattern hour TV	 then Whatever contain east air hundred'''
ashley_ray_3859	53.0	41.1	'''Management hundred read cold ok least; Truth 	 Stuff'''
louis_martin_9777	37.0	76.1	'''Own far: Ok information crime	 Discuss condition interview Republican so'''
karen_jackson_0208	96.0	46.1	'''Position off writer recent; Low 	 Democratic old prove'''
