username;score;remark
miss_collier_2964;11.0;"""Note: Sit recusandae aperiam; then Autem dolor"""
zoe_chambers_3782;39.0;"""Sapiente eaque sed; Nulla ; Provident dolores voluptatibus culpa provident"""
julia_harrison_0410;8.0;"""(Sapiente dolorem) ; Ipsa odit sapiente blanditiis and Cupiditate sapiente rem"""
pamela_lee_6397;61.0;"""(Possimus labore molestias) ; Cupiditate minima and Occaecati debitis"""
grace_russell_8207;64.0;"""Reprehenderit ab earum: Eveniet ipsam iure; Neque ad consequatur"""
josh_jones_4783;61.0;"""Quae corrupti repellat animi: Reiciendis sapiente enim hic pariatur; Earum aliquid libero veniam"""
lindsey_woodward_1107;61.0;"""Sapiente quod porro harum: Aliquid dolorem; Nisi"""
judith_robinson_1519;19.0;"""(Provident non blanditiis) ; Laudantium esse and Quo eum"""
melissa_hope_5246;24.0;"""Beatae; Neque reiciendis tempora dicta Dignissimos saepe"""
mrs_marshall_1926;12.0;"""Voluptatum cupiditate; Quisquam nihil libero iste architecto error ; Dolor porro reiciendis amet aliquid"""
adrian_jones_3216;34.0;"""Note: Illum modi vero; then Facere"""
albert_hayes_6476;82.0;"""Note: Dignissimos inventore nemo; then Nisi repellat"""
mr_storey_3073;39.0;"""Ducimus vitae consequatur; Alias dolore rem Consequatur repellendus"""
roger_wood_0813;73.0;"""Perspiciatis nobis molestiae; Corrupti ipsam rerum sit ; Minus animi vel architecto illum"""
martin_lewis_8424;47.0;"""Note: Veniam ducimus corrupti dolorum ipsa; then Libero magnam quisquam pariatur labore"""
miss_ashton_3875;24.0;"""Note: Voluptatum quisquam quisquam; then Illo cum delectus"""
ms_gibbons_0965;;"""Note: Excepturi tenetur beatae; then Occaecati"""
jonathan_little_7209;79.0;"""Iure; Quaerat architecto deserunt ; Suscipit vitae"""
kerry_hill_7570;54.0;"""Molestias quas: Fugiat explicabo suscipit; Corrupti minima eveniet beatae labore"""
elaine_edwards_3092;27.0;"""Fuga ducimus rem; Cupiditate ; Neque nisi"""
miss_harrison_8754;56.0;"""Note: Id; then Accusantium totam voluptatem placeat quam odio"""
dr_martin_6103;55.0;"""Facilis laboriosam perferendis laboriosam beatae; Odio dolores qui Consequuntur quia ex"""
glen_baldwin_5183;13.0;"""Modi; Provident illum ; In in"""
