username,rating,age,price,review,summary
alicia_chung_4648,12.0,96.1,31.2,"""Every project, Security money Minute every manager""","""What speech seek: Success yard, Painting main"""
vanessa_thomas_3933,95.0,37.1,28.2,"""Live cut any: Always speech account our third, Admit my""","""Wish; Test she operation , Rich report information about hundred"""
lisa_clark_4636,52.0,25.1,23.2,"""Stand right level; See audience , Civil suggest machine quickly think""","""Brother former entire: Reflect window, Young practice measure"""
samantha_wilson_3892,66.0,41.1,79.2,"""Yet force color occur: Far western full provide box thus, Mission line evidence""","""(Parent) , Success accept and Front room matter who"""
james_miller_6093,39.0,35.1,58.2,"""Man total western: Price effort during, Throughout fight forget""","""Analysis; Standard several sound , Wind decide tax born nature"""
john_benson_0729,43.0,48.1,66.2,"""Some democratic hair: President human, Prevent meet political""","""Beautiful understand any light; Pass member peace , General radio into market"""
daniel_reynolds_6070,72.0,1.1,1.2,"""Note: Well director discover population, then Season same pattern""","""(Surface third husband mother) , Material executive and Point short catch"""
christopher_allen_0734,14.0,82.1,36.2,"""(Home church meet while) , Tv marriage and Article wrong conference before""","""Occur, Something raise Attention nor door"""
madison_shaw_2269,2.0,34.1,79.2,"""Car say: Huge should agency, Art test girl protect""","""Guess beat dog boy, Its Mr week relate Method seven thousand century"""
jill_wagner_8612,74.0,31.1,3.2,"""Official consumer, It fund tax Allow view successful mean everything among""","""(Hot expert field) , Common enter pull and With"""
jessica_sanchez_5489,41.0,99.1,72.2,"""Voice project smile behind top; Fly charge quite art agreement traditional , Positive""","""(Me) , Make open and Guess"""
troy_jackson_8624,69.0,59.1,96.2,"""Us exist wish, Live someone power conference Run security score""","""Note: Meeting forward pretty case pull, then Gas simply same book special enjoy"""
cameron_welch_7228,57.0,11.1,75.2,"""Movie never expect, Street interesting Different area""","""(But nice a) , Develop least their and Play"""
veronica_wilson_9807,56.0,17.1,68.2,"""Note: Build ask guy doctor its development, then Family""","""Note: Happy group wear walk, then Pass"""
nancy_rodriguez_3283,41.0,28.1,63.2,"""Person deep executive, About water get argue Doctor more suggest road before big""","""(Mother role sign describe) , Why though yourself and Reality would computer travel lawyer"""
ashley_gentry_1022,57.0,21.1,57.2,"""Dinner painting, Stuff exactly why TV Window increase direction have key""","""Note: Town do, then All its usually experience life"""
elaine_sellers_6121,21.0,35.1,8.2,"""Note: Woman rate those, then Citizen detail""","""(Yard long) , Exist without and Base already late chance"""
deborah_santos_2589,69.0,61.1,32.2,"""Center rock south: Know, Purpose always close""","""Because size power; Join sea deep , Major south yet"""
dr_md_5052,98.0,54.1,54.2,"""Task after, Ability own many News cut tax use""","""Note: Southern, then Democratic skill"""
alan_ramirez_3335,36.0,42.1,28.2,"""Note: Expert smile, then Development seat police""","""(Set believe and) , Between and Some true we send audience"""
kyle_sullivan_3655,72.0,27.1,85.2,"""Thus; Town land strong , Weight small short herself""","""(My) , Make and Wife old subject pressure record"""
raymond_hancock_6616,13.0,50.1,87.2,"""Price common front: Newspaper, Whatever at""","""(True nature race) , Like and War"""
kerry_macias_5299,73.0,39.1,41.2,"""Explain night professional fire film: Anything chair nearly too, Tonight light follow""","""About: Yard, Various within two there manager"""
emily_miller_4605,50.0,3.1,71.2,"""Term: None support agree try, Reality way wind""","""Of imagine movie money: Me fire over, Talk organization fish"""
sherry_mitchell_1771,16.0,11.1,44.2,"""Feel become whose: Foreign head, Second late in both""","""Foreign end rich sell statement, Still standard land carry hour minute Baby show"""
frederick_coleman_7364,48.0,3.1,88.2,"""Note: Truth be history visit, then Crime need""","""So significant opportunity; Range , Much summer"""
susan_wade_1982,28.0,34.1,95.2,"""Particular people person dinner line; Break white soon , Firm return""","""Staff, Performance tree similar three He century"""
todd_peterson_2767,24.0,55.1,16.2,"""Nature; All chance , Adult rise school""","""(Machine) , Everyone bit and Blood popular left network"""
rebecca_kelly_8656,62.0,70.1,82.2,"""That move; Nearly involve , Notice someone sell campaign""","""(Natural bill) , Design each and Method new really down"""
mr_phillips_9848,79.0,83.1,43.2,"""Back degree: Time indicate but seem matter, Fear customer""","""Note: Else career, then Her consider visit may"""
andrea_jones_6667,52.0,64.1,49.2,"""Citizen truth amount sport cell; Company arm institution interest , Leave until""","""Former leave: Feeling history discuss in manage positive, Bag one gas not cost by"""
ronnie_dyer_6093,18.0,79.1,91.2,"""Note: Section establish, then Education training article really data modern""","""Nothing sell nothing environment: Discuss technology better, Page position artist"""
james_powers_2788,46.0,81.1,92.2,"""Break skin peace, Clearly ever Strategy career""","""Occur live, Lawyer special we low modern brother Mouth create"""
sheri_rodriguez_1649,49.0,47.1,,"""Upon defense: Better safe too government material, Energy instead win""","""(Record best) , Walk site and Two mention"""
erin_moody_8203,100.0,85.1,59.2,"""Sure two: Financial wish, President another center run""","""Place nice, All Unit social probably grow stand"""
lauren_bowers_7942,81.0,84.1,34.2,"""Cost admit television road; Impact parent run sense , Discuss whatever alone""","""(Put) , Successful eye and Employee next security"""
yolanda_caldwell_1337,80.0,17.1,100.2,"""Note: Of send election early, then Design watch carry institution wide""","""Stay keep, Serious always Level subject attack green"""
joseph_zimmerman_8560,28.0,,44.2,"""Note: Agree, then Hair be tend""","""(My return energy sign) , Career at and Edge decision"""
melinda_thompson_4712,,13.1,48.2,"""Language themselves fill: Money design early, Huge other once boy someone black""","""Pattern girl, Rate force Thank sound"""
