# This is a comment line to skip
username,total_count,price,review
mrs_cross_9820,89.0,86.1,'''Maiores sint inventore, Sed In id vero'''
leigh_rees_6681,90.0,64.1,'''Repudiandae nostrum corrupti nisi: Tempore explicabo saepe quam, Dolore repellat perferendis commodi'''
gail_crawford_7513,70.0,8.1,'''(Nam atque tempora similique) , Architecto saepe officia and Unde a molestias deleniti quae aut'''
elliot_craig_9824,40.0,52.1,'''Iure animi fugit; Ipsum dolore dolorem iste iusto , Vel'''
allan_hughes_4261,100.0,76.1,'''Ratione officiis: Blanditiis, Autem'''
dr_pearson_8454,69.0,71.1,'''Note: Perspiciatis, then Corrupti possimus qui'''
shannon_todd_1040,52.0,74.1,'''(Impedit id quos sapiente expedita) , Officia quidem and Asperiores voluptatibus ut'''
dawn_smith_1360,49.0,17.1,'''Note: Inventore omnis a, then Nisi modi natus'''
sean_hall_2142,88.0,,'''Velit debitis: Iste, Ipsum laborum nihil'''
mr_jones_6553,68.0,94.1,'''Error aut doloremque eaque, Officia pariatur sapiente Accusantium inventore earum'''
charlie_baker_0016,76.0,4.1,'''(Unde) , Dolorem and Quaerat iste'''
glen_swift_7628,43.0,3.1,'''Consectetur vero consectetur, Tenetur commodi iure aliquid Excepturi optio'''
karen_griffiths_7173,90.0,76.1,'''Esse veniam sed minus asperiores; Laboriosam iste doloremque eum , Quisquam dignissimos nulla'''
alex_simpson_8389,21.0,66.1,'''Quisquam neque nobis dolorem; Nihil voluptatum vero esse , Blanditiis hic'''
gerald_price_8743,48.0,99.1,'''Earum: Ad maxime, Aut optio'''
tina_wilkinson_4886,36.0,15.1,'''Note: Esse porro magni neque labore, then Porro dolore dolore nulla neque'''
rita_webster_0842,56.0,43.1,'''Note: Aut, then Quisquam tempore sequi at reiciendis molestiae'''
danny_glover_5501,25.0,43.1,'''(Nisi) , Maxime aliquid architecto quod and Fuga facilis'''
ms_welch_5139,,50.1,'''Ipsa error: Fugit soluta illo sint cumque, Asperiores exercitationem'''
jade_hunt_4958,75.0,9.1,'''Nobis aliquid, Eius ea provident eum tempora Accusantium quae eaque harum'''
valerie_miller_9936,46.0,87.1,'''Note: Dolore incidunt commodi accusantium voluptas, then Autem'''
abbie_robinson_9069,67.0,13.1,'''(Provident tenetur) , Fuga incidunt quae and Totam nostrum'''
josephine_hughes_0670,33.0,83.1,'''Note: Blanditiis repudiandae, then Vero repudiandae debitis architecto'''
louise_gilbert_9458,24.0,44.1,'''(Nihil at asperiores) , Ut autem laborum and Consectetur unde'''
dr_evans_4351,23.0,21.1,'''Dolores; Saepe minus culpa laborum , Velit laudantium rerum cupiditate iusto voluptatum'''
mr_james_2291,37.0,39.1,'''Minima nisi: Sequi recusandae, Quas doloribus'''
miss_peters_7080,78.0,9.1,'''Asperiores accusamus accusamus, Dolore reprehenderit Ex sed sed optio'''
mrs_davey_2958,52.0,21.1,'''Ullam minus: Voluptate, Necessitatibus neque praesentium blanditiis quae'''
amber_james_9305,64.0,4.1,'''Eaque omnis maiores facilis, Distinctio voluptatem Maiores minus sint mollitia'''
dr_williamson_1671,43.0,17.1,'''Quam consectetur nisi, Laboriosam magnam earum officia reprehenderit Similique nihil totam consequatur facilis'''
ms_bradshaw_4833,67.0,3.1,'''Impedit vel: Consectetur optio velit nesciunt, At quasi'''
mr_sutton_9520,58.0,16.1,'''Note: Quae eligendi in ea ea iusto, then Ab quam doloremque nemo alias'''
gerald_smith_0897,89.0,32.1,'''Suscipit laboriosam dolorem dicta, Eveniet excepturi fugiat cum Aperiam a recusandae earum'''
gerard_cooper_8422,94.0,26.1,'''Quisquam soluta ipsa; Dolorem , Beatae quasi dolorum consectetur temporibus'''
melissa_clarke_4233,15.0,71.1,'''Labore eum laborum placeat, Libero numquam Officiis ipsum illo'''
melanie_robinson_5163,5.0,21.1,'''Fugit illum, Vel magni labore Porro blanditiis'''
mrs_stevens_4823,93.0,86.1,'''Perferendis modi voluptas quisquam delectus nobis; Doloremque modi , Eveniet consequatur'''
miss_green_4681,60.0,29.1,'''Dolore fuga sunt repellendus; Accusamus aperiam quibusdam nisi illo , Dolor aspernatur recusandae impedit'''
justin_jones_3662,30.0,69.1,'''Voluptate: Nulla iusto ipsum, Dignissimos quo dolorem'''
