username,age,total_count,rating,review
ann_thomas_9805,97.0,14.1,12.2,"""(Impedit id explicabo) , Et quia and Cum vitae sunt sequi veritatis"""
miss_murphy_7112,14.0,3.1,69.2,"""Occaecati ab voluptatem, Expedita molestiae eligendi ipsum voluptates ipsum Quas vitae"""
matthew_welch_7637,87.0,72.1,72.2,"""Aut maiores magnam, Mollitia cumque ullam Ea perspiciatis facilis facilis"""
mitchell_mellor_5648,96.0,96.1,73.2,"""Eveniet dolore consectetur molestias; Rerum commodi ex cumque , Error hic autem"""
dr_williams_0261,29.0,1.1,59.2,"""Suscipit quidem: Beatae omnis, Earum eum error eveniet sint"""
patrick_willis_8668,34.0,40.1,40.2,"""(Sed perferendis modi nisi) , Placeat rem veniam dolorem and Veniam praesentium dicta"""
nigel_morley_0520,77.0,92.1,98.2,"""Eveniet unde veritatis minus; Unde necessitatibus incidunt nobis , Totam sunt quo harum dolorem"""
albert_thomas_0455,80.0,16.1,52.2,"""Saepe commodi voluptatum possimus dolorem, Possimus soluta Delectus placeat ullam numquam"""
miss_newman_6623,26.0,76.1,58.2,"""Note: Nisi aspernatur quis, then Unde"""
louise_bradshaw_3560,63.0,74.1,48.2,"""(Cupiditate possimus quos commodi) , Delectus nisi provident and Quas laborum eos placeat"""
samantha_walker_5894,84.0,65.1,79.2,"""Quod, Assumenda iusto atque nesciunt dolor numquam Aperiam ex"""
anna_matthews_2418,20.0,96.1,95.2,"""(Molestias voluptate) , Debitis ab eligendi and Magni doloremque vel officia maxime"""
jason_baker_9512,39.0,17.1,67.2,"""(Dolorem totam dignissimos) , Cupiditate eos ad ut and Nemo cum aperiam voluptatum"""
kieran_flynn_8915,71.0,70.1,83.2,"""Minus culpa aut numquam; Laborum rerum optio , Doloribus"""
dr_brown_3299,65.0,22.1,17.2,"""Perferendis voluptatibus, Nam maiores ipsam quisquam nam Explicabo vel qui quisquam quaerat"""
sheila_davies_1948,43.0,77.1,68.2,"""Rem exercitationem, Impedit autem eius Et"""
mr_burton_1143,47.0,68.1,94.2,"""(Esse consectetur) , Eius consequuntur quis laboriosam tempora ut and Commodi maxime asperiores praesentium commodi occaecati"""
sharon_anderson_6494,90.0,15.1,7.2,"""Architecto quod: Quis, Dolore voluptatum provident"""
roy_stevenson_2382,54.0,96.1,93.2,"""Aspernatur; Sunt autem expedita nam , Voluptates doloribus incidunt"""
samantha_shah_8483,95.0,15.1,68.2,"""(Rerum corporis iste eligendi) , Atque magni possimus quia quod and Expedita corporis tempora"""
katherine_stewart_3272,33.0,99.1,58.2,"""(Animi veniam exercitationem) , Deserunt repellat tempore excepturi quibusdam and Impedit repellat ex voluptate dolor"""
carole_kaur_9142,21.0,90.1,57.2,"""Iure cumque assumenda aspernatur, Dicta Enim ullam"""
joseph_davies_9112,54.0,25.1,66.2,"""Cum similique, Voluptatum molestias Consequatur labore perspiciatis"""
callum_gray_8072,4.0,43.1,19.2,"""Minus quibusdam sequi: Quos sit, Quasi repellendus"""
rebecca_alexander_1943,80.0,4.1,44.2,"""Officiis id: Voluptas libero laudantium nostrum, Reprehenderit atque corporis"""
dr_williams_2789,73.0,2.1,8.2,"""Quo cum voluptatibus repellendus: Eum, Distinctio est iure illo veniam perspiciatis"""
amanda_johnson_0681,22.0,71.1,65.2,"""(Quibusdam dicta) , Ipsum eum repellat and Ut veritatis"""
gregory_ellis_1612,44.0,1.1,8.2,"""Ab repellat alias veniam, Maxime magnam molestias suscipit Dolorem nostrum nesciunt pariatur"""
ms_hewitt_1889,,95.1,34.2,"""Nam iusto vel: Provident temporibus nihil explicabo, Deleniti suscipit occaecati in corrupti"""
olivia_wells_5362,35.0,66.1,14.2,"""Sapiente dolorem impedit; Soluta , Itaque consectetur"""
julie_hamilton_4308,63.0,54.1,,"""Quasi iste: At iure accusantium, Rerum accusamus"""
dr_hall_0421,61.0,34.1,39.2,"""Occaecati: Quisquam minima, Libero accusantium quidem explicabo ratione perspiciatis"""
dr_knight_8303,38.0,80.1,85.2,"""Nulla; Velit aliquid , Consequatur minus"""
mrs_cox_4355,21.0,88.1,92.2,"""Dignissimos ab, Reprehenderit aliquid Distinctio provident at delectus iure dignissimos"""
charlene_smith_5959,64.0,,25.2,"""Nisi nisi aspernatur atque sunt facere, Nostrum consequatur Fugit sunt"""
