username	price	age	note
leslie_steele_8012	53.0		"""Item: Vote site little city usually	 Smile determine thousand itself"""
samuel_owen_4911	14.0	29.1	"""(Camera feeling) 	 What TV and Manage defense among suffer"""
mr_singh_8470	33.0	64.1	"""Next hard	 Success much three For"""
theodore_cox_2318	64.0	31.1	"""Impact item when note	 Cause food Need"""
arthur_hughes_8424	28.0	60.1	"""(Line employee) 	 Situation and Why parent"""
michelle_castillo_3956	88.0	48.1	"""(Guess most discuss) 	 Treat class know and Past learn serve writer describe PM"""
heather_owens_0729	7.0	75.1	"""Evening government century; Message 	 Deal wear"""
curtis_reese_9686	98.0	66.1	"""Health artist hour economic; Until 	 Turn necessary glass"""
heather_chavez_0824		45.1	"""Beyond feeling no down	 The opportunity must Accept property by as"""
maurice_washington_2704	86.0	80.1	"""Country popular want almost quality necessary	 Theory ahead Up impact"""
travis_chambers_6755	84.0	57.1	"""Note: Event defense	 then First somebody speak she form"""
crystal_maddox_8368	22.0	30.1	"""Budget agree buy service town baby work: Her course	 Personal skill"""
kimberly_hood_3931	39.0	36.1	"""(War resource feeling eat) 	 Send develop send sea and Hotel building small"""
dale_george_4240	53.0	92.1	"""Fine place effect: Film large	 Hard manager great per road"""
kenneth_gonzalez_9115	17.0	33.1	"""Be word despite	 Appear yard stage Material support"""
samantha_anderson_7633	92.0	1.1	"""Soon environment PM least pay open	 Soldier describe task process Above finally officer coach whole"""
cody_johnson_4936	19.0	21.1	"""Relationship	 Hard church evidence relate who involve Though kid industry save"""
michael_klein_6101	61.0	93.1	"""Exist rule: Data traditional behind face move think	 Yeah"""
elizabeth_hinton_8066	54.0	32.1	"""Candidate stand; Fear simply 	 Art"""
william_potter_5244	6.0	92.1	"""(Teach old thousand nothing sell) 	 Yet and Sport president best clearly side"""
kenneth_martin_9870	63.0	1.1	"""Note: Field law	 then Seem"""
christopher_hoffman_6622	28.0	47.1	"""Note: Attack soldier point kid	 then Present site might"""
