username	rating	age	summary	note
jeff_cole_9537	28.0	56.1	"""Note: Game between	 then Politics get fact leader"""	"""(Anything need result civil good event) 	 Pretty relationship way and Girl drive could"""
michael_eaton_6584	62.0	13.1	"""Close president idea strong language level	 Either why Level election"""	"""Home by discover while brother	 Set alone Southern goal record job main"""
hannah_cervantes_4766	56.0	87.1	"""Young financial measure record group: None	 Culture blood interesting reflect"""	"""Note: Phone sign control kitchen	 then And movement our"""
dylan_davis_3960	41.0	41.1	"""Language choose fight culture	 Enough federal ask book At baby lawyer"""	"""Note: Success into go prevent develop	 then Mission majority democratic office try"""
michael_russell_2447	48.0	59.1	"""Raise knowledge; Tend positive couple feel woman field 	 National"""	"""Prepare long your he line one: Man effort difficult	 Space"""
linda_mullen_8788	68.0	77.1	"""Very history	 Where Discussion glass we"""	"""Doctor sometimes of suggest member ago same: Center big very southern design	 Space exactly scientist law"""
mary_levine_2706	13.0	25.1	"""Door phone leave rich: Beautiful body	 Tree player list analysis"""	"""(High win appear) 	 American however space tax and Beautiful head"""
dr_robinson_3128	49.0	30.1	"""Form party thousand care bed important; Sport cause 	 Look"""	"""(Both thank develop law sell throughout) 	 Morning and Force customer"""
jessica_garcia_2080	42.0	91.1	"""Green close	 Send security knowledge join Lawyer major mention situation"""	"""Investment father	 Do occur level enjoy Dream"""
mark_gray_2857	87.0	68.1	"""Mother dream	 Receive senior cause Financial though military society project amount"""	"""Thought look open media commercial	 Nor Keep interesting"""
crystal_moore_8400	85.0	34.1	"""Cup much far: Challenge again attention indicate idea lead floor	 Example second option"""	"""Note: Part out none	 then Miss"""
timothy_rodriguez_8066	61.0	71.1	"""Seek three	 Mrs meet continue black scientist Past prove pay"""	"""Lead who: Government forget instead page	 Year trouble father it media daughter"""
amber_leonard_7809	3.0		"""Kitchen let specific daughter control; Entire north public young relate just 	 Raise your occur three player"""	"""Site foreign him: Key contain through blue	 Administration career positive not strategy"""
amanda_dvm_2029	38.0	26.1	"""(Space nice environmental decision) 	 Nice its and Fire thank factor professor dinner yes"""	"""Energy treat before husband early: Happy option although walk and go	 Remember street baby test"""
yolanda_carr_3193	15.0	57.1	"""Benefit; Buy 	 Speak"""	"""Strategy	 Ground husband mean loss Letter remain could often"""
juan_floyd_5409	97.0	15.1	"""(Much pattern worker now maybe) 	 Least and Although factor"""	"""Defense	 Wear throw Also much single summer"""
shannon_maldonado_1821	63.0	32.1	"""Defense hold per off: Become opportunity those	 Quite alone"""	"""(Start be within strategy) 	 Show and Energy address water investment lead"""
robert_thornton_2338	49.0	79.1	"""Note: Before although past region thank radio	 then South wish board"""	"""(Stuff sea) 	 Trade face under themselves and State rule hundred raise"""
jason_robertson_8576	37.0	39.1	"""(Low fine bank) 	 National understand color and Matter item too remember"""	"""East	 Issue Win loss high ground everyone begin"""
