username,total_count,price,age,message
austin_chan_9999,92.0,82.1,,'''Glass instead want, Sport send Back'''
anthony_cruz_2533,22.0,20.1,62.2,'''Expect could; Detail write improve walk , Soldier study garden animal seek'''
lisa_ryan_7886,100.0,11.1,69.2,'''Cover church each option serve, Somebody agent cause none represent mouth Himself method manage light'''
gary_moss_9560,26.0,82.1,78.2,'''Road society: Scientist perhaps rather, Task even task'''
katherine_peterson_8484,10.0,20.1,35.2,'''Room green, Month decision about would Get space'''
stephanie_howell_2790,16.0,10.1,68.2,'''Happy natural power challenge; Kind , Size claim bad along moment'''
daniel_browning_1193,51.0,76.1,21.2,'''Across fear become, Risk until account Smile hour possible'''
sophia_garcia_8984,6.0,10.1,5.2,'''Society range left: Card garden view lose answer, Card government occur such past'''
april_lutz_9949,6.0,6.1,98.2,'''(Necessary activity) , Theory writer wish fly and Lose raise'''
jared_rodriguez_5028,50.0,53.1,43.2,'''Commercial save next wish: Region maintain, Majority adult if out add before'''
michael_myers_8258,41.0,75.1,37.2,'''Store far available; Big range three single per traditional , Billion order'''
kyle_pham_3205,36.0,68.1,14.2,'''(Boy condition head certainly) , Might direction often and Perform entire beyond kid improve night'''
cynthia_stanton_8363,16.0,51.1,4.2,'''Note: Create easy, then Walk consumer claim community'''
dr_dds_1419,96.0,43.1,51.2,'''Note: Well, then Event page'''
deborah_hansen_5355,80.0,,100.2,'''Card, Against million rise Economy past around'''
larry_beasley_4622,44.0,19.1,13.2,'''Four report: According site pull itself, Fine machine cover goal'''
eric_martinez_8596,29.0,84.1,39.2,'''Here difference likely: Television, Fight'''
billy_young_4274,76.0,44.1,57.2,'''Note: Will sense, then Power perform model ask with common'''
leonard_phd_8796,89.0,11.1,23.2,'''Industry system stop, Mention according piece Painting list program'''
ashley_herman_7419,71.0,42.1,96.2,'''Note: Summer thank, then Light body win event join Mr'''
james_morales_3695,,13.1,74.2,'''(Describe main great save first share) , Administration and Floor'''
kimberly_jackson_1033,86.0,75.1,66.2,'''Likely can long card: Camera, Within article'''
brian_aguilar_9700,63.0,9.1,25.2,'''Assume mention; Can guess , Sell describe customer early suggest'''
brenda_craig_5492,2.0,4.1,26.2,'''Note: View, then Head region'''
teresa_lee_0175,91.0,10.1,14.2,'''Owner number job live, State market general someone Born eat message'''
mary_choi_1135,36.0,80.1,18.2,'''(Last) , Attorney politics and It never major'''
jamie_sanchez_9191,64.0,56.1,11.2,'''Should any: One reality, Learn east'''
linda_dds_4883,86.0,53.1,11.2,'''(Believe) , Speech and Air technology'''
