username;age;review
daniel_nguyen_1442;78.0;'''Company huge station young: Send; Property'''
crystal_tran_9856;27.0;'''Sit late both energy: Base him current five; President'''
donald_bell_0470;87.0;'''So picture same voice interview else; One Democrat live tax According walk'''
kristopher_crawford_5271;72.0;'''Mother method lawyer free: Finally she outside enter anything series; Relate choice person'''
emily_riddle_2448;56.0;'''Offer above; Learn night light card detail read Effect over'''
phillip_jarvis_0795;15.0;'''Throw exactly; Forward Democrat Available billion'''
bethany_hansen_7757;100.0;'''Note: Per plan; then Field chair star finally'''
charles_anderson_4415;18.0;'''Tough vote business: Of; Structure against'''
joseph_jackson_1986;50.0;'''Note: Treat; then Able raise'''
stephen_horton_1749;97.0;'''(Apply star) ; Theory and Even bit'''
michele_sanford_5991;59.0;'''(Thing option available) ; Production join subject of once for and To thank'''
sarah_lee_1743;12.0;'''Mother simple everybody fact; Forward red Question recently'''
jessica_lewis_2468;41.0;'''Civil laugh: He benefit; Allow subject despite learn'''
brooke_lee_6921;34.0;'''Move win wish place: Figure area reach; Son sound power arrive'''
hailey_frye_7911;82.0;'''Effect Mrs; Grow sport wife environment ; Prove'''
sandra_baxter_6343;47.0;'''American art; Audience ; Drive into all step'''
jeffrey_jones_0452;74.0;'''Note: Top less my; then Interesting'''
jacob_miller_4738;37.0;'''Election program: Street child create how expert; Billion machine statement'''
eric_mccall_7021;89.0;'''(Experience cause policy) ; Voice even not and Whole product'''
tammy_garcia_4837;28.0;'''Note: Be star want; then Kind whole major miss note others trip'''
mary_ray_6127;46.0;'''Throw discover; Education their night ; Involve voice other'''
brandon_acosta_2610;71.0;'''Note: Feel chance food; then Lot example'''
victor_miller_6490;;'''Share; Feel decide ; According television name Republican number effect'''
joseph_wallace_0760;20.0;'''(Practice performance kid in) ; Discussion sure seem and Yet administration need lawyer'''
jason_harris_4160;35.0;'''Note: Talk within school; then Meeting'''
ryan_berg_3321;97.0;'''Party environmental investment; Day section present east ; Beat popular'''
anthony_morrow_0865;97.0;'''Note: Consumer; then Should bank ten campaign'''
parker_douglas_3886;61.0;'''Note: Field whatever class floor surface; then Nothing anything'''
katherine_rogers_6114;10.0;'''(Without day) ; Coach you change and General appear network weight'''
arthur_gibbs_2174;16.0;'''Everything maintain ready television; Five oil ; Animal firm rather'''
elizabeth_wells_3480;79.0;'''Note: Whatever probably action statement make; then Decade road different'''
