username	total_count	message
dr_stanley_1576	34.0	"""Note: Eius	 then Cum ex mollitia omnis"""
julia_dixon_4885	49.0	"""Note: Repellendus	 then Maiores sed"""
henry_smith_1197	6.0	"""Note: Laudantium possimus	 then Recusandae numquam"""
joanna_brown_1213	78.0	"""Laudantium excepturi; Enim 	 Nihil accusantium"""
garry_kemp_7632	13.0	"""Note: Accusantium adipisci	 then Odit dicta"""
dr_nicholls_6772	98.0	"""Placeat delectus: In quos	 Qui adipisci"""
sally_davies_1361	19.0	"""Modi impedit ratione ab nam optio; Occaecati placeat quisquam 	 Ex id"""
angela_johnson_3161	18.0	"""Hic vel fuga	 Impedit aspernatur Maiores quae asperiores libero id"""
hazel_bishop_9523		"""Nesciunt distinctio: Aliquid asperiores saepe	 Eos nisi distinctio fugiat in"""
stephanie_chambers_0160	65.0	"""Libero molestiae; Consequatur quidem 	 Neque perferendis"""
vanessa_scott_1879	7.0	"""Note: Nulla rem sapiente suscipit placeat	 then Sunt fuga repellendus"""
philip_wright_6837	96.0	"""Iste unde: Ab aspernatur atque	 Fuga dolore laboriosam"""
christine_brown_0000	1.0	"""(Soluta minima) 	 Minus eveniet and Reprehenderit nemo"""
matthew_shepherd_9463	16.0	"""Ipsa quasi numquam accusamus; Assumenda 	 Culpa quibusdam inventore itaque occaecati"""
ronald_perry_6621	76.0	"""Mollitia ratione	 Iste Maiores vitae"""
angela_lambert_5477	40.0	"""Autem ipsum	 Consequuntur Impedit repellendus"""
miss_warren_6465	24.0	"""Note: Voluptatum praesentium quasi fuga	 then Cumque dolorem"""
damien_townsend_1381	23.0	"""Note: Id corporis	 then Ratione quia maxime porro"""
dr_baxter_4877	28.0	"""(Sint commodi) 	 Ducimus ipsam quaerat voluptatem and Saepe fugiat"""
mr_ali_9562	13.0	"""Note: Aperiam ratione eum	 then Dignissimos maiores"""
mr_lloyd_3210	50.0	"""Nisi facere officia nostrum	 Ducimus rem Exercitationem fugiat officiis nam dignissimos blanditiis"""
dr_lawrence_6921	79.0	"""Minus quae repellendus reprehenderit nostrum	 Dolores earum sequi harum Rem occaecati illo perferendis similique"""
tina_gibbons_4777	93.0	"""Vero aliquid dignissimos	 Placeat eveniet nostrum Ipsam"""
paige_adams_7746	69.0	"""Porro possimus	 Perferendis quasi Voluptatibus ad et expedita excepturi"""
ms_simmons_5118	60.0	"""Perferendis; Dolorem soluta accusantium aliquam similique 	 Sed laudantium incidunt"""
