username,score,comment
joyce_sullivan_0523,49.0,"""Ab quos dignissimos nisi accusantium excepturi, Quasi Quae"""
joanne_wilson_1609,32.0,"""Deleniti fugiat voluptates quo optio, Harum excepturi sit explicabo asperiores Debitis quam"""
elizabeth_dickinson_2893,96.0,"""Aliquid quidem veritatis ut ex; Ullam autem , Similique repudiandae error deserunt officiis ex"""
rhys_rees_1320,21.0,"""Numquam impedit earum; Iure deleniti perspiciatis , Libero ipsum in"""
alexander_carter_1082,32.0,"""Quis necessitatibus quaerat laudantium, Distinctio impedit Consequuntur"""
mohamed_chandler_2128,17.0,"""Note: Veniam nam culpa, then Ipsam nobis minus molestias"""
mr_evans_4790,40.0,"""Commodi at; Enim nihil quaerat sed quasi , Consequuntur quae error"""
melanie_neill_2847,86.0,"""Note: Dolore tenetur magni voluptatem, then Et aspernatur enim"""
stacey_palmer_0626,90.0,"""(Odio repellat) , Recusandae and Autem iste ducimus"""
john_lewis_8282,33.0,"""Illo minima ratione consequatur quam architecto: Sapiente ipsam sunt, Odio enim"""
hugh_davies_4877,31.0,"""Note: Repellendus laborum, then Dicta ea optio"""
sean_johnson_3641,70.0,"""(Est cupiditate voluptate aut voluptatem) , Vel exercitationem blanditiis and Cum voluptatibus repudiandae"""
alice_anderson_7695,57.0,"""(Molestias placeat) , Eaque repellat totam laboriosam and Et ea"""
lucy_allen_1807,42.0,"""Dolore aliquam dolorum perspiciatis laboriosam: Dolorum rem architecto sunt, Laudantium vel similique repudiandae"""
josh_gray_9304,15.0,"""Note: Exercitationem doloribus, then Iusto dolorem quam"""
luke_ward_3594,44.0,"""Officiis rem: Consequuntur facere aliquam, Iusto saepe officiis"""
hazel_lucas_9558,74.0,"""Quod iusto hic; Magnam incidunt , Quaerat voluptate"""
glenn_price_8319,82.0,"""(Inventore rerum veritatis repudiandae) , Voluptatem consequuntur and Doloremque"""
ben_johnson_1522,75.0,"""(Explicabo perspiciatis eos at mollitia) , Veritatis deserunt adipisci est and Fugiat aut debitis tempora ipsa"""
hannah_donnell_5465,54.0,"""Note: Optio dolorem possimus tenetur, then Quos sint odio"""
mohamed_stevens_7908,57.0,"""Aliquam blanditiis praesentium quam cumque quasi: Natus accusantium culpa, Vel"""
mitchell_reynolds_2175,92.0,"""(Velit cupiditate dignissimos alias nam assumenda) , Id recusandae maxime repudiandae expedita and Iusto aliquam sunt ut"""
joanna_ward_7628,6.0,"""(Cumque amet) , Quaerat dolores and Animi nam"""
mrs_smith_4695,10.0,"""Note: Voluptatem earum labore incidunt, then Officia"""
mr_benson_8263,90.0,"""Note: Sed aut molestiae reprehenderit laudantium, then Ea ea"""
glen_moss_6108,38.0,"""Note: Nisi numquam minima ea, then Amet consequatur"""
ms_knight_7141,90.0,"""Note: Culpa, then Quas facilis"""
dr_rowe_4955,44.0,"""Voluptatibus nihil excepturi, Sint quasi a Explicabo accusantium"""
sally_johnson_5291,97.0,"""Ea amet, Autem reprehenderit provident Illo"""
dr_bell_7681,,"""(Tenetur sunt placeat dolorem animi) , Odio and Laboriosam"""
