username	total_count	price	age	remark
david_young_8493	61.0	26.1	47.2	'''Note: Theory teach	 then Daughter executive'''
michael_green_3397	27.0	57.1	40.2	'''Produce box great: North study dark pattern group	 Relate economic'''
erik_carter_2665	75.0	80.1	2.2	'''Nature form: Field fine	 Chair report of'''
troy_reyes_5938	30.0	15.1	58.2	'''Seat price; Live pretty low 	 Gun young point medical'''
bradley_estrada_0108	95.0	1.1	16.2	'''Main do some television ahead; Community my down fact 	 Choice each the trouble'''
ronald_campbell_8086	8.0	55.1	21.2	'''Single responsibility	 More above Green brother experience space meeting'''
larry_gamble_3988	62.0	63.1	78.2	'''Cost majority life inside community: Skin cup	 Boy particular'''
jose_dds_3380	78.0		4.2	'''Available	 Community question Party race'''
aaron_potter_0680	83.0	94.1	83.2	'''Daughter activity indicate	 Artist expert even Remember deal to this'''
kyle_franklin_1168	9.0	92.1		'''Make sit let	 Exactly decade Risk say'''
mr_hawkins_2120	21.0	40.1	13.2	'''Actually reach: Space specific	 Person sport set figure'''
deborah_gibbs_6565	71.0	68.1	16.2	'''Note: Sell say choice build institution pattern	 then Hair goal away present majority hair'''
kim_carlson_8801	31.0	7.1	94.2	'''Note: Republican doctor also piece	 then Responsibility anything investment speech quite door'''
brandi_santiago_8619		41.1	70.2	'''Project avoid: City	 Employee big conference'''
seth_stewart_5312	2.0	27.1	72.2	'''(Around general cover often sing left) 	 Performance right reveal week employee and Ready Democrat'''
allen_juarez_5222	24.0	13.1	46.2	'''(Worry particular few) 	 Customer at word and Also gun'''
kevin_foster_0714	96.0	22.1	1.2	'''(Either likely lead certainly few) 	 Community and Avoid training or brother order'''
matthew_barrett_3211	9.0	36.1	17.2	'''Class hold exist: Every	 Police'''
jennifer_hill_0772	90.0	42.1	27.2	'''Tree somebody: Structure executive	 As idea'''
heather_espinoza_6196	29.0	92.1	7.2	'''Note: Natural recent pick	 then Until force'''
richard_frye_1211	9.0	96.1	92.2	'''Note: Dinner more feel financial	 then At strategy film'''
joel_wall_1468	62.0	54.1	90.2	'''Message up agency base	 Place ago Remain have claim'''
amber_moore_2275	8.0	13.1	36.2	'''(Inside view) 	 Contain agency future eat act top and Bank husband'''
dr_md_8177	57.0	29.1	62.2	'''Congress cost company will	 Market student Enter'''
jamie_smith_2791	69.0	12.1	88.2	'''Note: Administration kitchen American onto same brother	 then Hot computer ground which'''
brandon_fowler_0125	99.0	57.1	15.2	'''Commercial check laugh however; Today house large between open 	 May challenge'''
patricia_spears_0735	21.0	7.1	99.2	'''Away special; Group among feel right 	 Which them leave'''
travis_smith_6307	95.0	37.1	34.2	'''Group; Myself during hundred know 	 Know'''
jonathan_hunt_3789	48.0	58.1	99.2	'''Interview trade from box; Point always myself recent floor 	 Station democratic understand word'''
james_martinez_2345	53.0	46.1	45.2	'''Sure floor professional building; Ok 	 Nearly'''
gabriel_mcclure_6065	77.0	54.1	15.2	'''Note: White	 then Always require hotel coach major'''
teresa_cochran_1044	49.0	50.1	84.2	'''(Enter offer) 	 Fact voice and Level north meeting ground able'''
