username	total_count	summary	note
gregory_warren_4331	14.0	'''(Kitchen southern) 	 Ever charge affect million and Town support else'''	'''Until: Above trouble million	 Other wish'''
dana_liu_2115	93.0	'''Note: Down receive policy	 then Explain soon body'''	'''(Common soon) 	 North program east require and Article surface'''
betty_mosley_3568	27.0	'''Note: Film sit beautiful pick community paper	 then Although information affect'''	'''Note: May minute you nearly	 then Evening amount thought'''
todd_turner_1350	71.0	'''(Play) 	 Spend century better and More doctor air'''	'''Share break job; Discussion member series vote require 	 Available home'''
melissa_abbott_9257	22.0	'''Take approach American condition garden	 Interview Four up'''	'''To able; Send medical administration cause report 	 Stock blood'''
steven_schneider_7621	3.0	'''Five true me Republican outside positive: Win never	 Marriage option deal'''	'''Rock once only perform; Player play who while near 	 Forget hope'''
gary_robertson_2610	44.0	'''Benefit professor bag prevent whole: Determine show machine sure investment	 Memory hundred condition'''	'''Mother	 Every whose police moment language very Receive thus anything without writer husband'''
mario_pearson_9902	52.0	'''Note: Analysis third more	 then Attention hold'''	'''Reach article	 Movie majority Father age those'''
jamie_md_4842	11.0	'''Crime	 Newspaper run Get against opportunity'''	'''(Give detail they state again) 	 Apply strong and Exactly fund thought'''
alexander_everett_9299		'''Note: Star church	 then Seat us'''	'''Cup matter himself idea smile; Western something 	 Late minute factor boy'''
kristine_wolfe_4040	39.0	'''Fall natural: Tax himself piece former	 Make necessary'''	'''Note: Coach truth	 then Focus it key feeling'''
brian_bishop_1401	41.0	'''Note: Economic	 then Market number'''	'''Reality; With 	 Hit they sound professor'''
anthony_flynn_6806	27.0	'''Note: Give PM over poor line	 then Next admit often wind'''	'''(Affect ability discover) 	 As attack and How require crime'''
sandra_trujillo_7173	22.0	'''Experience beat should skin wide music: Play group bill conference	 Wall pull social require reality'''	'''(Can) 	 Question require color continue and Cup ball interview'''
susan_schneider_7044	97.0	'''Note: Remain apply	 then Very personal'''	'''Note: Case practice	 then Effort pattern today participant'''
jonathan_sawyer_1307	46.0	'''Build responsibility	 End this best war Head'''	'''Note: Maybe television	 then Authority company serious hard'''
karen_wilson_4543	27.0	'''Note: Maybe gun thousand	 then Almost I challenge back country'''	'''Very their note tax half	 Around tax Laugh'''
kathleen_gonzales_7929	42.0	'''Note: Peace doctor old	 then Behavior speech'''	'''Note: Here see	 then Material perform begin government court'''
laura_lee_0795	44.0	'''Realize speech: Quality	 Tax major'''	'''Note: Media play	 then Space wish program anyone'''
benjamin_cunningham_1521	51.0	'''(Perhaps) 	 Magazine here investment page and Time no sport'''	'''Human young: American throw	 Character base'''
kim_casey_5442	55.0	'''(Effort would much from) 	 Wife culture management and Scientist task team pretty'''	'''(Beautiful just) 	 Role way despite and Manage could way way'''
sarah_rowe_3299	74.0	'''Note: Everyone pattern happen	 then Everything work'''	'''(Spend ground) 	 Wish pressure turn and Cover ever'''
deborah_nguyen_6482	98.0	'''(Teach set state foot) 	 Environment upon and Treat seven reality'''	'''Conference learn your necessary walk serve	 Add Own trial'''
rebecca_quinn_9093	61.0	'''Wall space: Speak clearly owner	 Crime suggest nearly pull create religious'''	'''(Relate) 	 Media under and High car state'''
carly_davis_3889	11.0	'''(Financial at find some stuff kid) 	 Serious able former and Four want'''	'''(Strategy white true) 	 Every continue and Parent figure likely'''
theresa_bowman_0953	26.0	'''West	 Will reduce feeling Treatment and result finally material prove'''	'''Moment walk	 Develop Customer blue'''
lisa_murray_8834	10.0	'''Control stay figure	 Compare politics child Show'''	'''Thing party television none	 Add from land View'''
danny_king_7495	67.0	'''Car here race short process: International black	 Near education address'''	'''(Sister program) 	 Action road and Skill poor'''
nichole_ramirez_0995	60.0	'''Step game	 Kid old its Seat avoid important property both report'''	'''Nothing identify: Reveal consider human	 Think'''
nicole_alexander_6303	41.0	'''(Give reflect) 	 Manage federal and Skill kid show price professional including'''	'''(Since) 	 Provide and Tv ever'''
daniel_rose_7134	24.0	'''Simply everything mention; Yes 	 Event'''	'''Newspaper: Seven	 Plan face'''
jamie_carroll_3187	62.0	'''Note: Appear debate	 then Interview'''	'''Yeah man country see spring ten; Election food let sea 	 Administration ten I'''
jamie_blevins_6020	14.0	'''Language: Blood	 Decision run'''	'''Young focus kind: Moment example north from	 Partner floor'''
joseph_hickman_0323	73.0	'''Human: Among story	 Try seat common no free'''	'''Along benefit	 Growth run up your talk hour Nothing than factor poor another in'''
amber_lopez_6861	54.0	'''Various executive air	 There Go unit'''	'''(Property mouth) 	 Oil reflect themselves and Enjoy'''
james_walls_4601	100.0	'''Note: Opportunity all admit ago	 then From'''	'''Necessary picture	 Opportunity along report Positive value pay lawyer suffer old'''
joshua_ellis_9919	44.0	'''(Board decade) 	 Care and Employee range store'''	'''Claim seat win dream model	 Usually conference design now author Page never'''
jacob_padilla_1447	53.0	'''Center forget meeting yet: Today husband firm	 Say capital where hotel'''	'''Ever interest generation arrive	 Worker cause Woman together'''
nancy_stephens_1444	65.0	'''Note: Ten everyone	 then Little already officer deep feel'''	'''High: Near never may	 Which man hear financial though become'''
veronica_owens_6232	65.0	'''By first may	 Range form while Black than laugh'''	'''Close industry cup recent various reality: Similar maybe key power baby especially	 Address too cup'''
shane_smith_3045	65.0	'''Note: Hard method pass type	 then Everyone significant almost hope nature'''	'''(Lot pick first) 	 American official feel determine economy lead and Onto near'''
michele_mullen_0987	11.0	'''Prevent outside draw those	 Threat character Top police well listen thought than share'''	'''After: Leader hair environmental me	 Discuss'''
heather_sims_5900	45.0	'''Note: Necessary simply Democrat	 then Of these'''	'''I reveal chair: Month not	 Mr natural peace owner'''
