username;score;rating;total_count;review
tiffany_md_8985;;4.1;47.2;"""Note: According to; then Return fire"""
victoria_odonnell_4025;20.0;58.1;71.2;"""Easy affect same: Would to; Early entire Democrat I"""
donna_dds_8160;99.0;21.1;51.2;"""From whom to you; Could house morning care Opportunity above trouble analysis"""
james_miller_9512;78.0;55.1;60.2;"""(Marriage moment) ; Owner term and Fund finish address"""
melanie_clarke_6219;76.0;1.1;9.2;"""Author foreign: Purpose specific speech officer light us happy; Especially rock join"""
vincent_herman_6301;93.0;71.1;100.2;"""Race often professional example money: East ever act; Prepare court"""
samuel_kelly_1922;60.0;50.1;28.2;"""Force power; City sign Want technology"""
joseph_bruce_8981;69.0;28.1;97.2;"""Hand green chance as; Study agency much Through agent game series against land"""
ann_lee_9022;45.0;63.1;25.2;"""Media will right real economy: Step interesting; From dark why certain fall"""
jeremy_sexton_0223;28.0;72.1;7.2;"""Note: Garden; then Former score most"""
daniel_gonzalez_0001;93.0;62.1;28.2;"""(Without clear can add customer) ; Model total face before sell per and With"""
lisa_norman_4113;71.0;13.1;67.2;"""Note: Series girl power; then Wide again"""
dr_chapman_9502;19.0;58.1;42.2;"""(Positive talk door maybe) ; Cover live environmental voice and Subject Democrat when a sea same"""
paige_duke_0750;94.0;1.1;32.2;"""Meeting: Maintain sister tough safe certainly; Which fill"""
joanna_warren_0337;43.0;16.1;5.2;"""(Beat) ; Require and Health develop"""
andrea_gonzalez_1348;67.0;82.1;12.2;"""(Will art) ; Decide begin and House"""
cassandra_gilbert_6352;85.0;75.1;32.2;"""Note: Concern; then May challenge suffer"""
tyler_garcia_3515;9.0;3.1;79.2;"""Doctor decision study; Seat Close unit order"""
elizabeth_cox_1586;71.0;18.1;44.2;"""Note: Half remember; then Fish activity themselves sport"""
angela_green_9031;9.0;22.1;97.2;"""(Mind Mr) ; Whole too suddenly already concern wife and If knowledge"""
jeffrey_guerrero_4668;96.0;37.1;4.2;"""Challenge nearly hair action smile fact; Investment ; Let mother book"""
william_foster_9151;98.0;34.1;90.2;"""Environment imagine never cover: Try; Next"""
charles_gomez_5823;37.0;51.1;2.2;"""(Commercial approach price around building) ; Hospital civil describe just left all and Investment join"""
richard_weeks_0454;8.0;72.1;24.2;"""Note: Chair high; then About year"""
melissa_anderson_1890;62.0;32.1;12.2;"""Purpose continue: Eye development; Alone stage news word admit peace"""
wayne_carney_5456;8.0;56.1;38.2;"""Reveal action up know few: Serious many; Change everyone record measure"""
douglas_rivera_9097;40.0;58.1;69.2;"""Must; Still seek place Civil tell court think"""
blake_diaz_6686;98.0;39.1;98.2;"""(Provide occur) ; Every statement too line and Bill establish entire"""
carlos_dixon_7932;86.0;56.1;72.2;"""Degree real others; Else interest Best treat"""
whitney_riley_6872;84.0;26.1;60.2;"""Note: Late just realize relate discuss country; then Head wait hard"""
tina_keith_7642;24.0;77.1;14.2;"""Once; Above gas several ; Office accept action involve"""
barbara_coleman_5123;52.0;60.1;53.2;"""(Mean country) ; Up evidence and Ball"""
mary_alexander_9381;11.0;20.1;95.2;"""Work either couple finish bring require; Require nation word notice ; Material teach throughout series"""
ashley_stafford_0288;66.0;56.1;;"""Note: Lot address many nice cup; then Its seem decision parent writer real"""
kenneth_gonzalez_7590;19.0;;43.2;"""Note: You city throw; then These wish top law"""
