username,score,remark
tiffany_rose_3351,64.0,'''Plant, Table hope measure Adult book in need'''
jodi_chapman_2788,41.0,'''Word be she describe, Country church dinner produce baby Edge trouble force production'''
marvin_ellis_0287,49.0,'''(Particularly military) , Reflect market behavior and Management fact window'''
bruce_cross_3495,57.0,'''Career environmental yes art, Experience college Area support'''
daniel_dds_9874,95.0,'''Difference: Write cost chair, Throw officer'''
christina_oneill_9554,70.0,'''Again ability source, Whom behavior coach Mission authority'''
courtney_johnson_6736,15.0,'''(Blue wife view her) , City soon enough well and Themselves small life'''
sarah_watts_5044,90.0,'''Note: Drop artist exist red activity, then Ten'''
douglas_collins_8413,44.0,'''Social threat size decide, Argue future Popular science'''
tonya_espinoza_3118,15.0,'''Note: Order he, then Fill read'''
tara_wilson_0695,74.0,'''Note: True, then Expert certain'''
jeanne_vasquez_2186,29.0,'''Create sister community why wait upon: Almost occur, Painting forget'''
wyatt_berry_7168,16.0,'''Note: Industry learn nothing, then With especially animal whom left'''
mary_davila_6830,84.0,'''Loss prove, Against term Yet shake miss will reason'''
lisa_gonzalez_0955,55.0,'''Design recognize: Not year, Drop ever father rich especially toward'''
andrew_knox_3688,64.0,'''Theory; State politics vote behind affect , Option hold which'''
adam_hernandez_6904,23.0,'''(Live) , Account performance fill and State three party either'''
debbie_dixon_0578,7.0,'''Note: Probably member catch purpose, then Sometimes'''
jeremy_howard_5133,6.0,'''No six seek, Our everyone Method threat short possible society'''
dana_mueller_0613,77.0,'''(Situation executive life our) , Girl very drive and Story unit allow worry'''
margaret_lewis_5832,46.0,'''Note: Cover year site, then Life option'''
james_taylor_2461,87.0,'''(Standard) , Official experience everybody plant deep and Audience loss good'''
joanna_knox_1850,66.0,'''College hand nature fish, Old hand Recently'''
james_ellison_7526,81.0,'''Reach service civil; Sometimes two , Age medical'''
mary_schmidt_2414,,'''Side: Music surface allow hotel, Wall paper reason onto'''
