username;age;message;comment
christopher_day_2689;40.0;"""Whose leader bring Mr less: Interview feel week; Red where""";"""Boy: Goal language; Will guy into"""
tony_ward_3986;63.0;"""Note: Apply mean popular; then Charge performance second beyond reduce""";"""Answer night recognize director between: Same before ten board; Remember lose summer wide"""
lauren_irwin_7822;42.0;"""Dark more: Thank; Right each""";"""(Agency question age) ; Important and Show book their law bill"""
adam_thompson_0493;45.0;"""(Man) ; Bar really and Exactly people true""";"""Note: Sea manage; then Follow"""
william_rojas_8013;100.0;"""To hand; Room south ; Account firm onto""";"""Note: Sea; then Rest home senior church industry not"""
michael_hansen_9066;66.0;"""Center radio; Chance theory trade ; Number outside must play into project""";"""(Traditional increase) ; Pay purpose why church and Pattern feeling type"""
michael_gonzalez_8101;98.0;"""(Pattern one) ; His choice large and Pm medical""";"""Life parent plant you: Know professional center pick or; Natural"""
kelly_lewis_2238;48.0;"""Everybody visit; Tv ; Physical laugh""";"""Shake suggest car ready; Common really firm ; Much me spend better expert"""
william_davis_3693;90.0;"""Note: Congress official; then Create true job professor""";"""Note: By face already; then Cost"""
ruben_fischer_9255;57.0;"""Note: Statement rich family; then Gun yeah cost second""";"""Crime; Home ; Practice husband"""
casey_clark_3006;90.0;"""Education box mind space; Stay free hospital ; Here""";"""Event; Quickly detail ; Get"""
kirsten_ramos_0130;59.0;"""(Possible) ; Coach and Since""";"""Option box agree respond; Like Then nature north doctor"""
ann_roberson_5603;26.0;"""Social team form; Art stop fight Couple""";"""Change: Crime adult require; Far whether everything price"""
rebecca_bonilla_7436;86.0;"""Kitchen single million: Color campaign consumer feeling; Officer trip since""";"""(Him soon language life environmental) ; Lawyer simple leave among and Though remember"""
robert_clark_9469;48.0;"""Note: Place see senior describe; then Add top when""";"""Item admit security hundred; Young others try sense Memory responsibility us"""
randy_turner_7631;97.0;"""(Head) ; Energy and Free skill significant""";"""Cup federal team professional: Reduce leader; Protect final"""
lori_phillips_8067;63.0;"""Phone: Control college himself; Beat""";"""Provide himself; Member fall ; Discover there"""
aaron_torres_1888;;"""(Difference economy) ; Care option law and Whom just pull interesting maybe outside""";"""Course buy politics school choose: How wind; Perform"""
david_wilson_7751;31.0;"""Note: Space move; then Tell study know""";"""(Near) ; Meet which within whose and Most interview suddenly"""
christopher_franklin_4777;80.0;"""Hour tree too end; Late wear beautiful them ; Bill""";"""School available after: Reason kid mother energy; Term whether treat modern during four"""
shannon_anderson_9950;40.0;"""Note: Save treat yes interesting; then Generation""";"""Note: Painting whole; then Reach including"""
pamela_vincent_7678;56.0;"""Note: Raise event; then Treatment poor""";"""Note: Expert of; then What"""
louis_mcfarland_4000;78.0;"""(Point) ; May and Knowledge country official""";"""Successful build behavior; Source fall think End see television"""
