username;rating;age;note
ms_williams_7281;57.0;32.1;"""Quis iure qui; Repellendus id aspernatur commodi recusandae porro ; Culpa enim modi"""
steven_richardson_3922;88.0;27.1;"""(Maiores harum quae maiores ipsa) ; Doloribus voluptatum maxime and Harum adipisci laboriosam maiores sapiente"""
stacey_glover_3960;82.0;61.1;"""(A) ; Nemo molestiae rerum quas and Numquam odio impedit odio"""
jane_ellis_8334;;62.1;"""Note: Ex hic; then Ducimus accusantium laboriosam"""
susan_jones_5259;100.0;29.1;"""Sequi: In tempore alias quis molestias; Adipisci"""
douglas_francis_5133;77.0;6.1;"""Note: Eius incidunt tempore deserunt dolor quae consequuntur; then Doloremque"""
amelia_harrison_7092;22.0;37.1;"""Amet voluptate quidem eligendi velit; Aliquid illum ; Distinctio illum corrupti ad"""
eileen_smith_7872;98.0;55.1;"""Magnam; Libero hic ut dolore esse est Eveniet"""
nathan_martin_5955;89.0;90.1;"""Officiis unde cupiditate mollitia corrupti; Ullam pariatur quisquam ; Voluptates quaerat cupiditate"""
janet_manning_6398;61.0;8.1;"""Officia incidunt laboriosam; Animi dolore commodi odit excepturi nam ; Laboriosam"""
stewart_gardner_2743;19.0;72.1;"""Note: In; then Harum deleniti eveniet"""
carly_watson_8473;23.0;88.1;"""Officia aperiam inventore; Labore libero alias ; Corporis repudiandae exercitationem occaecati"""
ms_thompson_8829;96.0;99.1;"""Cum; Quos sequi ; Distinctio dolore neque"""
victoria_mitchell_0107;20.0;41.1;"""Note: Eaque inventore architecto; then Id excepturi aliquid"""
shirley_akhtar_7551;20.0;86.1;"""Explicabo modi qui animi; Corrupti aliquam soluta aliquid Perspiciatis blanditiis dolore incidunt"""
stephanie_sinclair_8240;61.0;24.1;"""Note: Aspernatur maxime ipsam odio est; then Animi quaerat iste"""
elliott_thorpe_5378;17.0;53.1;"""Note: A corrupti modi; then Esse eius nesciunt similique aspernatur temporibus"""
dr_cooper_6354;13.0;20.1;"""(Mollitia culpa iure id et) ; Aperiam deserunt dicta and Dolores non vitae atque velit neque"""
jack_connolly_4112;99.0;25.1;"""Note: Unde error officia; then Quia veritatis"""
miss_bibi_9736;81.0;32.1;"""(In id impedit quia nam) ; Reiciendis unde hic deserunt autem quisquam and Nisi quis incidunt"""
chloe_jones_4196;77.0;83.1;"""Velit doloribus ducimus ab; Minima cupiditate officia ; Rem dolorem iste enim"""
miss_gray_6597;48.0;20.1;"""Note: Enim nisi ullam molestias quisquam; then Architecto aliquid tempore sapiente"""
megan_clark_7837;7.0;55.1;"""(Aut similique) ; Asperiores fugiat molestiae and Dolorem"""
tina_frost_2355;5.0;96.1;"""Nostrum placeat; In deleniti perferendis ; Dicta dolorem labore veritatis"""
connor_warren_0569;65.0;;"""Earum et aliquid voluptas delectus; Est natus ; Veniam autem"""
craig_sims_4529;49.0;29.1;"""(Repellendus) ; Neque nostrum consequatur and Pariatur illo nisi delectus itaque"""
josh_coleman_9268;56.0;70.1;"""Ullam esse veritatis accusamus; Molestias in iste Fugit nisi eligendi aliquid"""
mr_evans_1496;26.0;17.1;"""(Architecto autem) ; Earum and Repudiandae vitae at at aspernatur"""
amanda_dunn_9335;5.0;38.1;"""(Atque) ; Eum veniam incidunt and Ducimus unde amet perspiciatis"""
hugh_davies_7774;19.0;19.1;"""Fugiat; Asperiores beatae quas eum itaque ; Ipsam"""
kevin_warner_1660;39.0;33.1;"""Consequuntur iusto; Tempore ; Dolor voluptas repudiandae"""
dr_allen_0003;60.0;45.1;"""(Consequatur iure pariatur) ; Sit sed repellat quia and Officia aperiam doloremque voluptates"""
