# This is a comment line to skip
username;rating;summary
jeffrey_williams_3250;45.0;"""(Often hold smile) ; How friend yes and Actually develop"""
susan_mckinney_7220;54.0;"""Century save stuff: Bar way; Recent of realize"""
brittany_dvm_0851;86.0;"""Note: Forward member never cell; then Science above offer"""
leah_huff_9936;60.0;"""Measure personal law; Contain already east ; Tough mother organization"""
erin_perry_4045;5.0;"""Note: History; then Professor tonight door important suffer"""
megan_garrison_2669;32.0;"""Serve factor beautiful; Much watch material Sure his for"""
austin_rivera_2855;17.0;"""Ability health trip: Effort total hear wife ever why; Half score carry program beyond"""
michelle_powell_3424;18.0;"""(Receive economy determine social) ; Writer PM worry never and Inside Republican true heart"""
chad_hester_6875;24.0;"""Behavior claim: Senior animal; Seven"""
elizabeth_allen_0799;60.0;"""(Later vote) ; Themselves left and Money attention"""
bethany_smith_5169;96.0;"""Financial; Position Happy though"""
edward_kemp_7903;59.0;"""(Eye level across upon continue) ; May away and Then sea night"""
casey_howell_3974;62.0;"""(Ago wide food) ; Boy road and American administration strong"""
hunter_williams_7799;84.0;"""Project Republican many ground; Despite actually nothing ; Stop"""
spencer_baird_5607;73.0;"""Glass sister; Democrat Majority star plan"""
jack_garcia_0199;25.0;"""Everyone baby once people: Old grow piece hand; Hour"""
alexandra_garcia_2368;;"""Note: Fill; then May attack fill short"""
rhonda_md_7437;67.0;"""School owner blue apply turn; Prove Parent everything"""
tony_sharp_2225;33.0;"""Note: Huge southern; then Amount popular collection"""
helen_martinez_9427;95.0;"""Radio: Claim; Deep similar produce draw audience"""
paul_thornton_4457;56.0;"""Own anyone summer; Role participant meet real onto Allow worker measure"""
brandon_campbell_9955;62.0;"""Put teach; Write father Actually night child win"""
