# This is a comment line to skip
username,total_count,rating,price,comment,note
rick_cruz_0555,52.0,23.1,13.2,"""Note: Wife maybe our, then Perform name lose agency""","""Low; Character amount , Thing last arrive beat wife"""
monica_miller_2986,18.0,1.1,26.2,"""Note: Sort really everything billion perform, then Because debate fight""","""Indicate public education; Operation , Quickly"""
brittany_mitchell_4621,95.0,2.1,95.2,"""Including necessary over, Country so water federal Loss feel""","""Lawyer: Gas, Tv hundred"""
tony_parker_1316,24.0,34.1,70.2,"""Behavior budget, Campaign cultural Exactly trial social threat""","""(Part cell onto) , Interesting write and Phone network loss"""
dennis_ramirez_0340,74.0,15.1,,"""(Fund should fine most front) , International all and Someone final fact federal""","""Note: Because voice ball hand bring, then Cold base lot"""
gabriela_andersen_0048,36.0,98.1,31.2,"""Note: Red, then Go customer""","""Note: Condition, then Modern since personal contain"""
james_crawford_9656,4.0,48.1,41.2,"""Hand for small; Back , Free road mention""","""Note: Since Democrat, then From avoid politics certain"""
angela_armstrong_3701,33.0,23.1,12.2,"""(Dog individual that evidence entire) , Beat wonder wear surface feeling and Become success that fire""","""Note: Be there economy force, then Strategy anything individual mission"""
elizabeth_jones_3048,79.0,77.1,30.2,"""Note: Sit, then Activity real deal somebody""","""Wait feeling town: Nice, Officer less glass"""
misty_richardson_3162,100.0,32.1,49.2,"""Note: Deal create service, then Front new goal""","""Tough choose couple nice; Test not weight , Develop raise"""
benjamin_esparza_1304,3.0,100.1,80.2,"""Some prepare; Character fund , Current prevent store wrong""","""Trial start protect rest as our; Sit third show , Mission series"""
joel_lara_8207,25.0,24.1,59.2,"""Once focus make: Dog good, Establish word finally class""","""Get: Pattern choice save, Their reach I day side try national"""
kim_thomas_7719,14.0,48.1,40.2,"""(Where college) , Sort and Physical onto how""","""(Pressure measure play) , Film radio chance and Able table safe physical today"""
david_carter_8600,46.0,79.1,59.2,"""Impact policy, Return watch gas science Fear head kind""","""(Recognize special Congress) , Thus under stuff and Response within create local whether"""
alexander_johnson_6144,23.0,54.1,61.2,"""Prepare remain identify grow; Represent notice return certain sure , Environmental want arrive""","""(Black thank) , Smile scientist watch house finally and Same debate role else type"""
james_gomez_1602,4.0,92.1,83.2,"""(Side down push) , Financial know property smile and Suddenly word born anything""","""Support win; Five , Country job"""
mr_dds_7539,99.0,74.1,59.2,"""(Just art) , Force show and Need around why wait we""","""Paper whether; Agree operation particularly , Police team"""
justin_nelson_3043,17.0,,62.2,"""Man color respond left friend, Part social outside Team value you hold source community""","""Trip ten: Support go save, At discover line"""
mary_alvarado_6595,38.0,48.1,12.2,"""Statement those; Dark film evening force , Gas""","""Series sound fill protect per, Hope allow Answer maybe"""
alicia_barr_6278,82.0,89.1,9.2,"""What magazine street whatever; Issue course sometimes kind , Cell her them ground""","""Note: Exactly, then Turn realize"""
sharon_flores_1884,63.0,68.1,81.2,"""(Simple raise) , Capital story six and Either skin standard""","""(Response before) , Kitchen and Bill"""
teresa_saunders_7234,37.0,40.1,50.2,"""Note: Degree father, then Week best four office bad car lot""","""Note: Hope explain sound catch least, then Store"""
frank_kelly_8814,96.0,88.1,88.2,"""Enough understand administration; Join ok success , Adult general rock""","""Note: Themselves include, then Candidate knowledge alone only skin"""
rachel_cox_9583,,62.1,90.2,"""Bill magazine fight; Which travel these , Skin beautiful begin eat""","""Spring brother; Result the recently sell card subject , Machine consider"""
dr_martin_3405,34.0,67.1,52.2,"""No begin drive, Should Similar phone make""","""Financial home parent different out; Drive whom , Amount there brother"""
