username;age;price;remark;description
kevin_lee_9417;20.0;73.1;"""Note: Occaecati molestias porro nostrum explicabo omnis; then Placeat corporis""";"""Note: Adipisci praesentium; then Fugiat quod repudiandae architecto"""
james_ford_3714;78.0;2.1;"""Cumque explicabo; Hic sunt Amet tenetur""";"""Laboriosam ipsam at: Sapiente velit aliquid delectus; Sequi"""
denise_akhtar_6360;56.0;72.1;"""Note: Atque suscipit quia; then Optio cumque optio""";"""Note: Dolorum perspiciatis dolor; then Reiciendis quia ratione"""
amanda_roberts_2832;56.0;12.1;"""Modi nemo iste ipsa: Molestiae doloremque odio; Maiores quia""";"""Note: Nam quae in; then Eligendi"""
kevin_thomas_9057;68.0;68.1;"""Note: Laudantium cumque dicta consequatur; then Optio""";"""Ut ipsa explicabo; Ipsa eligendi veniam Ad optio possimus"""
maria_smith_1770;85.0;16.1;"""Architecto quas: Architecto; Perferendis ratione asperiores""";"""Qui perferendis omnis similique doloribus sequi quisquam; Quia perferendis repellat ; Similique adipisci corporis"""
georgia_parker_8730;14.0;28.1;"""Iure quis impedit; Impedit accusantium a dicta Voluptates unde exercitationem""";"""(Illo quos exercitationem) ; Velit and Impedit minus"""
alice_campbell_9072;59.0;47.1;"""Vitae magnam qui impedit; Ullam illum ; Voluptates sed""";"""Note: Aut neque reiciendis reprehenderit nihil; then Quidem non quo unde"""
miss_connolly_7957;22.0;34.1;"""Adipisci autem; Adipisci soluta Ipsam quisquam""";"""Facilis: Vitae delectus possimus aliquam; Sunt deleniti quod"""
susan_holmes_0535;65.0;14.1;"""Quo; Atque id aspernatur ; Animi unde magnam odio""";"""Note: Iure sunt dolores magnam vel sed; then Consequatur exercitationem veniam atque laborum"""
dr_wright_5109;52.0;58.1;"""Corporis voluptatum quae non; Laudantium praesentium ; Laboriosam recusandae""";"""Odit necessitatibus qui neque dignissimos; Odit praesentium Doloremque numquam laborum eum"""
mohamed_griffin_4812;32.0;59.1;"""Note: Vel qui est molestias quo voluptates; then Quisquam impedit""";"""Repudiandae a mollitia quo: Ab soluta; Doloremque"""
dr_wood_7825;28.0;63.1;"""Odio in; Odit aut laborum quibusdam ; Animi exercitationem amet quia""";"""(Hic numquam inventore doloribus eligendi placeat) ; Ea and Nemo esse"""
sophie_jarvis_5716;91.0;8.1;"""(Debitis quo deserunt illum) ; Quod quasi maxime similique and Praesentium ea itaque libero""";"""(Accusantium pariatur veritatis) ; Veritatis eaque ut quam and Culpa"""
louise_george_6666;58.0;12.1;"""Inventore sunt ratione repellat odio reiciendis; Harum architecto Veritatis""";"""Sed nulla debitis facere quis; Assumenda accusantium ; Quidem quae eveniet eius omnis"""
norman_wright_0731;67.0;4.1;"""Placeat nesciunt perspiciatis: Tempore dolorem impedit; Occaecati ipsa rem sint""";"""Nostrum quas; Ea nesciunt Assumenda fugit adipisci"""
mrs_harrison_5988;22.0;34.1;"""(Ducimus) ; Fugiat autem and Dolore aliquam hic esse""";"""Amet laboriosam laborum: Nisi et; Quis quis"""
joanne_higgins_7736;28.0;;"""Libero veniam; Repellendus iste accusantium tempore illum ; Beatae magnam delectus in""";"""Explicabo; Nisi Sint omnis hic aspernatur"""
angela_stevens_8674;53.0;95.1;"""(Ab doloremque repellendus) ; Alias consequatur sit iure praesentium and Eum vel similique""";"""A rem aspernatur fugit dolores; Atque tempore ; Quos"""
amy_harris_1100;72.0;42.1;"""Distinctio laudantium dolor; Omnis iste aliquid ; Consectetur amet architecto""";"""Omnis officiis ipsa; Vitae ; Temporibus eos velit suscipit"""
stephanie_ahmed_9432;51.0;51.1;"""Voluptatibus nisi; Neque quidem ; Facere odit quas qui accusamus""";"""Voluptatibus ad eius quidem tenetur: Veritatis ipsam consequatur; Sapiente aliquid"""
melanie_holt_6849;54.0;92.1;"""Note: Voluptate; then Laborum labore non animi""";"""(Eum temporibus iste similique quia) ; Aut saepe and Similique maxime in dolores"""
tracy_dean_8325;76.0;89.1;"""Iste debitis; Nobis quod natus veniam cumque ; Excepturi""";"""Note: Sed iste ea; then Dicta pariatur voluptatibus saepe consequatur"""
christopher_higgins_9755;61.0;49.1;"""Note: Magnam; then Ipsa temporibus facilis beatae""";"""Sequi; Temporibus ; Repellat laudantium cumque"""
mrs_morris_2432;;50.1;"""Expedita minus; Incidunt iusto aliquid itaque molestiae sint ; Quae inventore sapiente magnam vel""";"""(Perspiciatis doloribus debitis voluptate) ; Provident saepe ab modi and Tenetur corrupti"""
mrs_robinson_6179;68.0;2.1;"""Note: Porro dolorum cum delectus; then Iusto nisi""";"""Praesentium ipsam corrupti veritatis exercitationem: Aliquid adipisci; Reiciendis optio ducimus"""
raymond_evans_6120;34.0;84.1;"""Enim molestias ullam; Modi ratione Accusamus cum ex laborum""";"""Note: Eum quis culpa tempora; then Inventore dolorum voluptas totam accusantium"""
philip_jenkins_1239;35.0;71.1;"""Animi enim maiores: Possimus impedit hic non; Vero cum""";"""Unde; Odio voluptate ullam repellat nulla Reiciendis"""
miss_cooper_7701;99.0;43.1;"""(Voluptates pariatur laudantium) ; Ipsa cumque and Fugiat possimus repellat aut laudantium""";"""Ratione atque molestiae est; Debitis et natus debitis Architecto quod similique"""
mrs_graham_9265;49.0;1.1;"""Quaerat beatae nihil: Soluta repellendus sapiente; Quam exercitationem asperiores""";"""Dolorem doloremque pariatur; Ratione eveniet numquam aliquam saepe temporibus Architecto autem"""
jayne_bates_9492;50.0;69.1;"""Atque porro illum est inventore: Nostrum necessitatibus culpa minima harum; Nobis ab occaecati ipsam""";"""Note: Natus laborum omnis; then Architecto odio facere quo"""
dorothy_tucker_7013;81.0;66.1;"""Doloremque officiis ratione dolore; Aperiam itaque distinctio ; At repellendus""";"""Voluptatem officiis ratione quibusdam; Ipsa commodi qui Numquam suscipit architecto animi repudiandae"""
mohammad_harris_8947;89.0;58.1;"""(Minus autem consectetur consectetur) ; Sunt and Non optio dolorum""";"""Note: Facilis ducimus inventore assumenda; then Voluptates quaerat"""
miss_tyler_9189;59.0;93.1;"""Iusto eius ad; Doloribus nihil odio minima Voluptas deleniti""";"""Laudantium quia; Accusamus natus ; Minima laudantium"""
janice_roberts_4339;21.0;37.1;"""Similique aliquid unde quas; Recusandae molestias ; Quas rerum molestias""";"""Maiores sint: Soluta; Temporibus iste"""
