username	score	summary
dr_singh_6308	67.0	"""(Aperiam) 	 Aperiam totam and Cumque odio dolore vel nemo"""
maurice_cox_4306	47.0	"""Iusto quis aperiam	 Magni labore ullam Sed quaerat"""
terence_harvey_4893	40.0	"""(Iure laudantium ratione reiciendis fugit) 	 Laboriosam nostrum asperiores and Voluptate officia"""
dr_bell_2089	71.0	"""Note: Architecto corrupti iste qui	 then Nemo"""
sean_taylor_4810	8.0	"""Quasi occaecati	 Voluptates Omnis nostrum esse"""
jemma_stanley_6962	31.0	"""Assumenda assumenda sint; Ipsum nobis 	 Porro nam debitis impedit odit"""
kate_smith_6781	66.0	"""Note: Asperiores vel itaque	 then Nemo tempora repellendus doloribus"""
kathleen_chapman_9497	65.0	"""Consequuntur provident; Facere sed quod enim 	 Commodi animi veniam harum voluptatibus dicta"""
malcolm_stokes_6806	84.0	"""(Iste quia repellat) 	 A and Laborum non"""
neil_taylor_2842	10.0	"""Error: Exercitationem voluptatum	 Est a"""
christian_howell_2398	93.0	"""Aliquid excepturi rerum at aperiam: Odio minima nulla cupiditate	 Tempore enim maiores nihil"""
russell_brown_2105	38.0	"""Note: Itaque quae beatae tempora iure	 then Ut consectetur magni"""
thomas_taylor_7306	45.0	"""Officia quaerat possimus eius impedit	 Laudantium tenetur corrupti Itaque nam iusto"""
gemma_davey_4302	14.0	"""Temporibus veritatis: Sapiente asperiores	 Repellendus aperiam quas illo"""
leon_edwards_9562	16.0	"""Repudiandae odit voluptatum adipisci debitis nostrum; Aperiam fugit illum nisi omnis facere 	 Debitis consectetur quasi qui vitae"""
miss_smith_9615	65.0	"""(Alias reiciendis quis natus aperiam iusto) 	 Quasi quis dolores and Officia necessitatibus"""
charles_watts_3186	9.0	"""Note: Earum	 then Nihil quos"""
kayleigh_kelly_3825	39.0	"""Modi rerum; Voluptatibus impedit 	 Porro dolor nisi quae animi"""
ms_ferguson_9714	2.0	"""Note: Sed molestias eligendi eum assumenda animi	 then Ducimus corrupti nulla animi"""
dr_willis_7424	61.0	"""Magni rerum hic iste autem; Minima blanditiis 	 Omnis"""
rebecca_ward_7584	67.0	"""Note: Voluptatem repellat	 then Consequatur ipsum modi nihil architecto"""
norman_walker_8796	34.0	"""(Temporibus) 	 Suscipit minus beatae eligendi tenetur and A distinctio fugit"""
rachel_simpson_9778	12.0	"""Dignissimos quod eum asperiores; Consequatur 	 Quia ipsa fugiat repellendus"""
dr_law_7093	80.0	"""Note: Magni occaecati	 then Illo minima"""
jacqueline_clarke_5039	25.0	"""Eaque quo facilis voluptas molestias cupiditate; Suscipit exercitationem voluptas 	 Perferendis"""
carl_kelly_9325	93.0	"""Iure soluta	 Fugiat vitae nobis Nulla atque"""
dr_griffiths_1556	100.0	"""Eligendi maiores corrupti voluptas: Aliquid temporibus maiores nobis	 Voluptate autem pariatur labore"""
dr_doherty_4101	54.0	"""Note: Maiores molestias ex voluptas vel fuga	 then Inventore ratione molestiae tenetur"""
ms_smith_6805		"""Possimus exercitationem; Magni reprehenderit 	 Quisquam molestiae"""
andrew_osborne_1598	18.0	"""(Provident alias natus) 	 Facere ipsa and Itaque veniam eum"""
joseph_clark_9539	44.0	"""Odit impedit: Neque iste illum	 Porro saepe"""
june_russell_7580	30.0	"""(Eos in quia quaerat rerum) 	 Voluptatem facere and Velit reiciendis"""
mr_morris_8807	20.0	"""Explicabo earum iusto qui necessitatibus; Nisi accusamus repudiandae enim repellat 	 Aspernatur ea eligendi"""
