username	total_count	review
rebecca_nguyen_5265	27.0	'''Past bring situation: Travel change	 Mrs city hour'''
wanda_peterson_5150	40.0	'''Against president program early: Author off each	 Create'''
john_cobb_4088	95.0	'''Whose human; Voice attorney someone material rock 	 Hard public material'''
michael_beck_7354	70.0	'''Hold consumer: Want budget front way authority	 Performance including management exactly'''
stephanie_nichols_8723	64.0	'''Stop	 Own Wind child modern treat what'''
sandra_pugh_3939	25.0	'''Fill understand see	 Water she traditional high next thought Yourself girl'''
jessica_diaz_9815	100.0	'''Toward shoulder perhaps for study; Sport cold race figure arrive 	 Serve actually participant'''
crystal_rogers_1505	97.0	'''Alone star	 Spring oil past Avoid kid'''
fernando_gutierrez_0466	57.0	'''Note: Later region place player address question	 then Baby majority'''
leslie_cook_7596	65.0	'''Reduce: Tree individual	 Finish oil herself long a'''
kyle_stewart_3058	19.0	'''Agree adult: Fish pay a	 Decide worker'''
dana_brown_5717	32.0	'''Process call full agree	 Parent often Spring pay'''
christopher_hoffman_7861	7.0	'''Note: Political generation	 then Treatment technology very finally ok'''
shari_pope_8262	65.0	'''(Else follow every) 	 Past campaign attorney effort and These pretty thus'''
emily_perez_5617	14.0	'''Note: Me world	 then Town determine'''
elizabeth_figueroa_9123	38.0	'''Congress project	 Paper approach southern truth career Before history'''
brandon_brown_8904	83.0	'''Evening minute: Avoid five minute	 Then best together'''
bethany_flores_9585	82.0	'''Final test feeling; News by brother 	 Adult'''
patrick_carlson_3534	64.0	'''(Live billion wear process) 	 Protect safe player and Employee education total'''
james_hoover_3274	74.0	'''Idea fall tax; Compare eight 	 Admit important'''
jordan_sullivan_3975	43.0	'''(Development finally) 	 Among hear and Treatment'''
lori_scott_9514		'''Tree or; Education professor claim bit eight human 	 Threat final education production court growth'''
robert_forbes_4828	25.0	'''Note: Fast	 then Various medical many'''
michael_collins_1822	23.0	'''Crime agree decide	 Too air turn Who girl science'''
susan_holmes_6010	94.0	'''Someone major natural: Move edge	 Modern tax'''
tonya_long_4382	79.0	'''(Over discuss) 	 News three and Want put'''
lori_clark_6027	34.0	'''Particular right: Describe yes political check	 Ok institution choose'''
thomas_garcia_5202	45.0	'''Star same receive glass either: Large include standard	 Easy piece next'''
michelle_cole_4740	12.0	'''Travel fast; Kitchen hospital audience year great involve 	 Toward help'''
julie_rivera_3943	75.0	'''Note: State out have	 then Seem bring reveal'''
richard_thomas_8173	8.0	'''Foot	 Church fish hotel commercial Practice term direction large offer read'''
john_navarro_1508	49.0	'''Word east; Nature least 	 Rule fly professional pay sound'''
nicholas_guerrero_4413	88.0	'''Note: Summer	 then Concern drop news'''
ariana_williams_5047	41.0	'''Consider read ready position: Turn oil	 Service own recently'''
john_kelly_0115	26.0	'''Technology	 Season trouble college determine rather fine Performance hospital'''
jennifer_small_7537	65.0	'''Establish choice medical human	 Maybe happy cell production Organization out could single claim'''
