username;rating;comment
raymond_forster_0044;;"""Ea: Delectus quaerat placeat; Veniam optio"""
jacob_dale_1066;6.0;"""Enim nisi voluptates architecto; Fugiat ; Deserunt dolore"""
ms_kelly_1740;81.0;"""Quaerat enim recusandae pariatur in; Facere expedita cumque minima cupiditate Vel eaque"""
julian_bradshaw_0371;53.0;"""Note: Rerum ipsum; then Dignissimos"""
dr_ward_1603;29.0;"""Error assumenda culpa: Et minus voluptate eveniet debitis hic; Ipsa aliquid harum unde nobis"""
stephanie_roberts_4143;94.0;"""Rerum: Dignissimos exercitationem nemo; Quisquam architecto aspernatur"""
brian_holmes_6941;57.0;"""Dolores nam rerum; Possimus Enim tempora est cum"""
ms_davies_4953;6.0;"""Temporibus; Perferendis voluptatum esse dolor Expedita doloribus vitae"""
james_smith_5522;34.0;"""(Animi repudiandae a) ; Natus and Non veniam libero pariatur"""
suzanne_roberts_4113;16.0;"""(Perferendis libero quam) ; Perferendis sed and Perspiciatis itaque nesciunt"""
tina_jones_7392;5.0;"""(Blanditiis odio) ; Laudantium tempora and Ut mollitia natus"""
josephine_richardson_8948;90.0;"""Blanditiis non atque quos totam; Beatae occaecati ; Optio qui"""
joyce_bennett_5243;86.0;"""Note: Deserunt quidem labore possimus facere; then Sed iusto"""
jonathan_todd_5709;39.0;"""Eum nihil; Ipsa Veritatis fugiat fugiat ut"""
lydia_williams_5930;64.0;"""Note: In; then Cumque suscipit alias cupiditate ipsam molestias"""
lawrence_wright_3123;54.0;"""Note: Et dicta possimus; then Dolor adipisci ullam quia"""
callum_matthews_1391;61.0;"""Vel soluta: Optio quas placeat; Sit exercitationem ullam blanditiis"""
trevor_power_2204;34.0;"""Velit porro consectetur; Facilis ullam ; Fugit iure veniam adipisci"""
ms_connor_1069;35.0;"""Note: Atque omnis fuga architecto vero; then Adipisci ab ea"""
lesley_nixon_2881;83.0;"""Itaque deleniti; Inventore voluptatibus quo ; Velit ab quasi provident error"""
hilary_norris_4604;85.0;"""Corrupti at id minus ab molestias; Ut molestiae nemo ; Numquam dignissimos saepe impedit ducimus"""
dorothy_taylor_3526;66.0;"""(Atque eveniet) ; Dolorum and Distinctio at accusantium in"""
lauren_richardson_8419;75.0;"""Note: Dicta sint; then Modi accusamus"""
lauren_morgan_2292;32.0;"""Blanditiis iure dolorem; Fuga Quibusdam ratione delectus"""
lisa_butler_3002;4.0;"""Mollitia reprehenderit; Vel fuga ; Inventore in"""
elliot_edwards_6559;53.0;"""Numquam; Veniam magni tempora ; Natus"""
jill_mills_8655;32.0;"""Accusantium illo; Nam assumenda cupiditate Laboriosam placeat labore"""
sarah_peters_2542;72.0;"""Tempora magni: Voluptates inventore; Ipsum vero nisi quasi alias"""
june_clarke_8153;18.0;"""Id minus; Veniam deleniti Aspernatur deserunt"""
