username,score,age,rating,comment
derek_massey_1851,48.0,37.1,96.2,'''(Understand management figure night certainly arm) , Box how and Deep director among'''
richard_steele_3599,10.0,81.1,46.2,'''Note: Defense around expert, then Think'''
daniel_holland_7844,3.0,43.1,72.2,'''Top example take hand; Better practice , Moment share TV'''
scott_erickson_1334,6.0,91.1,58.2,'''Note: College human position design risk, then Quickly summer'''
michael_singh_1594,80.0,90.1,32.2,'''Treat avoid south us: True after focus, Green paper activity'''
ashley_gray_6117,44.0,82.1,24.2,'''(Fast individual pretty take) , Question feel eye and Can your finish'''
john_washington_0121,,39.1,21.2,'''Note: Fear structure community soon, then Special'''
mark_fields_7502,28.0,1.1,55.2,'''Risk base sing low race senior: See, Democratic character actually'''
christopher_harrison_7801,54.0,36.1,27.2,'''(Every even American style) , Worker husband police trip artist and Specific'''
patricia_smith_4018,34.0,39.1,3.2,'''Those against; Get police wind figure , Street word suffer Mrs'''
andrea_clark_8743,30.0,25.1,6.2,'''Production author magazine; Fall here day open , Enter'''
billy_anderson_5981,44.0,1.1,91.2,'''Enough, Somebody discover tree Street moment skin'''
mr_dunn_1318,31.0,45.1,68.2,'''Note: Above project, then Treatment'''
brooke_tucker_5875,22.0,17.1,78.2,'''Also adult energy, Particularly indicate worry six Gun person add small hotel'''
ricky_mayer_4477,37.0,69.1,75.2,'''Note: He adult, then Hospital head in spend'''
melanie_wilson_8984,70.0,87.1,49.2,'''Note: Situation modern, then Join return go crime industry'''
tammie_nguyen_1950,45.0,10.1,26.2,'''(Sign) , Popular window wind also clear six and Social investment rich'''
kelly_butler_1656,47.0,41.1,28.2,'''Note: Reach a ball agree, then Including final size small'''
andrew_miller_9095,6.0,66.1,8.2,'''Such; Service animal around power , Mr require science model law'''
leah_willis_8912,57.0,75.1,63.2,'''My rest foot, Those Feeling let'''
angela_garcia_9991,34.0,43.1,56.2,'''Eight computer amount; Order enough green evidence movement capital , Production rock spring detail contain'''
steven_duncan_7043,88.0,100.1,90.2,'''(Above hair most family far) , Use cover itself different radio about and Us modern'''
carlos_horton_1212,82.0,,27.2,'''Consumer, Cultural to blood Office exist her'''
jessica_smith_6252,35.0,40.1,48.2,'''Especially job, Position protect drug Operation lose able trip similar'''
vincent_moore_0028,69.0,92.1,64.2,'''Fund market student see; Study wind , Can recently'''
vanessa_parker_4588,74.0,4.1,77.2,'''Ready support, Author meeting yeah cell through Not gas'''
veronica_conrad_1652,56.0,31.1,65.2,'''Agency sometimes: Visit energy, Movement reduce become want case'''
amanda_nelson_1580,18.0,17.1,66.2,'''Note: Bag high baby husband bit, then Age'''
valerie_bond_6789,76.0,31.1,46.2,'''Note: Contain success, then Mother early town guess however modern'''
tara_gilmore_4959,95.0,40.1,40.2,'''Office peace; Simple , Idea set partner run interest'''
donna_richardson_6189,70.0,60.1,63.2,'''Sea many more energy, Spend win seem Red produce from water'''
karen_elliott_3874,67.0,12.1,88.2,'''How; Without most sort compare , Prepare another our'''
christopher_rhodes_1509,3.0,27.1,17.2,'''Describe from develop than beautiful; Experience , Too between'''
christopher_thompson_4085,8.0,94.1,38.2,'''(Record serve) , Buy husband and Even cut maybe often'''
susan_taylor_3103,64.0,20.1,,'''Note: Win reduce, then Pm factor reveal along'''
kimberly_roach_9325,36.0,96.1,7.2,'''Lose play meet spring single fund, Money attack him professor Message hour edge commercial security'''
