username	score	summary
jennifer_sweeney_3994	98.0	"""Note: Send stage evidence number method	 then Race"""
ashley_diaz_6707	27.0	"""By	 Both pay High financial"""
ashley_king_8759	81.0	"""(Audience staff reduce) 	 Program and Drop figure"""
stephen_jackson_7728	94.0	"""Since garden concern conference; Expect 	 Yes those serve"""
carol_lara_3388	90.0	"""Note: Whose quite whether single	 then Agree cup"""
billy_webb_8966	43.0	"""(Rate whose others) 	 Message down and Gun purpose"""
john_jacobs_6056	93.0	"""Culture	 Data Pattern it good"""
allison_henderson_9937	7.0	"""(Question field forward political firm) 	 Process cover across behavior go within and End situation parent"""
steven_bennett_5673	43.0	"""Heart send yes; Stock thus 	 Management television leg"""
rebecca_johnson_0583	10.0	"""Note: Heart pick store identify season technology	 then Station how"""
claire_cox_3227	61.0	"""Keep accept among game: Hope	 Trade arrive seem church"""
micheal_fields_8669		"""Blue baby include democratic recently do; Than statement one ten 	 Know"""
cindy_douglas_7007	30.0	"""Here consider	 Prevent someone court minute High"""
ryan_mathews_2248	49.0	"""(Their employee charge subject) 	 Meeting any sing and Daughter either"""
thomas_rodgers_3156	98.0	"""East affect	 Local process position Ready"""
harry_fuentes_9696	88.0	"""Note: Summer its threat age	 then Tell this section"""
alexandria_whitaker_9115	18.0	"""Rise: Answer	 Wish child ok career"""
tracy_serrano_4978	28.0	"""Member morning	 Really term realize Quickly story dream interesting"""
james_fisher_5575	8.0	"""(Find fish last gas effort too) 	 Real election and Modern five"""
donald_andrews_0779	69.0	"""Security establish ask it: Question analysis	 Lawyer together peace"""
bonnie_grant_3217	35.0	"""Operation or	 Far price West stay"""
ashley_freeman_1782	44.0	"""Subject official during line; Personal part 	 Yet summer"""
walter_williams_6973	4.0	"""Note: Past Republican career feel chair	 then Type"""
melanie_horne_7805	44.0	"""Mrs simple also little	 Usually spring author mission Direction want increase"""
