username,total_count,price,age,remark
dr_bell_2003,95.0,83.1,36.2,"""(Magni nisi incidunt) , Expedita ipsam corrupti itaque maxime deserunt and Asperiores perspiciatis"""
kathleen_gray_7346,93.0,58.1,7.2,"""Note: Possimus nulla, then Perspiciatis ducimus"""
dr_pearce_2393,36.0,50.1,99.2,"""Note: Illo, then Nulla a in quo reprehenderit enim"""
russell_richardson_9015,34.0,72.1,,"""(Maxime molestias) , Quis quis illo and Consequatur cumque repellendus"""
ms_wells_6203,72.0,33.1,34.2,"""Note: Eos, then Labore ab voluptatibus quas laudantium"""
dr_brown_2593,90.0,54.1,80.2,"""Note: Necessitatibus cupiditate voluptas eum magnam culpa, then Doloribus eos voluptatum"""
kimberley_duffy_4824,74.0,,28.2,"""Omnis velit eaque: Architecto odio, Cum quam expedita consequatur aut"""
ms_thompson_8876,,45.1,18.2,"""Quisquam sint tempora, Sit occaecati error fugiat voluptatibus Vel dolore placeat"""
brian_harper_7584,94.0,58.1,77.2,"""(Unde eligendi) , Provident velit natus and Voluptatem"""
valerie_smith_3970,5.0,12.1,67.2,"""Minus possimus provident aliquid ea; Quaerat voluptatibus , Repudiandae"""
dr_ferguson_8278,86.0,1.1,72.2,"""Ea earum: Optio facilis dolorum accusamus corporis, Sapiente ut"""
wayne_powell_9151,65.0,68.1,27.2,"""Eius possimus ducimus adipisci impedit; Aperiam ullam quos sequi , Inventore aliquam"""
marion_robinson_5361,81.0,65.1,81.2,"""Note: Consectetur vel rem, then Soluta voluptatum doloribus"""
mr_hughes_9900,16.0,18.1,58.2,"""Note: Eum nobis, then Excepturi mollitia odit"""
frederick_carpenter_5905,25.0,17.1,76.2,"""Note: Mollitia, then Tempora"""
lynne_mcdonald_4073,50.0,70.1,38.2,"""Note: Enim consequuntur ullam et, then Labore numquam ea provident quam"""
denise_evans_3102,81.0,6.1,18.2,"""Note: Delectus ratione, then Recusandae ipsam occaecati voluptas perspiciatis"""
keith_davies_4419,3.0,75.1,47.2,"""Sunt blanditiis: Est debitis, Excepturi laudantium"""
mr_king_7660,13.0,72.1,10.2,"""Occaecati laudantium quos, Nostrum sed Magnam tenetur et"""
liam_matthews_3211,87.0,20.1,55.2,"""Sit: Quo incidunt incidunt ullam, Debitis nisi aperiam rerum"""
hilary_smith_5340,93.0,8.1,11.2,"""Maxime consequuntur; Temporibus quia , Nam molestiae"""
terry_taylor_1715,77.0,76.1,6.2,"""Fugiat occaecati sequi nostrum sunt: Placeat tenetur, Eos recusandae animi explicabo harum"""
brett_scott_9845,44.0,17.1,39.2,"""Note: Consectetur possimus occaecati, then Assumenda ut"""
scott_hall_6098,91.0,89.1,83.2,"""Quia tempora cumque enim ipsa, Suscipit quibusdam pariatur Quas"""
ms_hilton_8731,75.0,16.1,77.2,"""Dolorum dolorum voluptatem laboriosam non tenetur, Molestiae voluptates Ab tempore voluptas non sint similique"""
dr_gray_7202,27.0,15.1,10.2,"""Ducimus consectetur maiores, Quo Adipisci ipsa atque impedit rerum"""
