username	salary	price	review
sean_wagner_6155	16.0	68.1	'''Above southern: Rule activity position onto police	 Get already service quickly'''
matthew_mitchell_3984	13.0	91.1	'''Federal condition now thing; Even quality ball trial 	 Poor learn'''
jared_fitzgerald_2118	94.0	37.1	'''Despite: Small hand nearly floor alone direction save	 Ask'''
jessica_fisher_3165	53.0	12.1	'''Himself once seven; Successful thus everybody 	 Garden certainly into spend'''
donald_holmes_7392	43.0	23.1	'''Situation tend which; Make share find after 	 Offer live anything such'''
martha_stewart_2461		45.1	'''(Service eight nature standard) 	 May yeah past and Rather return political'''
blake_klein_3509	15.0	4.1	'''Successful mission sure	 Year face quality Consumer maybe note decide'''
kenneth_macias_0368	75.0	75.1	'''Story: Entire product phone I	 Worry various yeah else'''
joseph_taylor_6639	80.0	3.1	'''(North nice reflect again) 	 Just learn few run nearly and We billion none ground color'''
kathy_daniels_4548	39.0	62.1	'''Idea staff box: Mention make former	 Mention house admit free popular election'''
tom_md_0909	86.0	13.1	'''(Nothing) 	 Commercial and Leave college would activity'''
robin_singh_2075	93.0	62.1	'''Note: Daughter various ability a live	 then Newspaper weight their'''
kimberly_williams_3058	1.0	20.1	'''(Agent woman choose camera full) 	 None all name movement certain and Speak look popular'''
heather_patterson_2377	96.0	46.1	'''Realize hotel leader image; Sing although 	 Process development'''
tonya_romero_9345	33.0	18.1	'''End standard we: Once method	 Low condition how'''
dr_boyer_5876	33.0	70.1	'''Nothing consumer: Read decade	 Win situation'''
brittany_townsend_8962	10.0	3.1	'''Case consider; Threat score 	 Common'''
robert_moreno_1028	78.0	61.1	'''(Lot through kid trial) 	 Partner force and Hot example'''
april_thomas_4803	37.0	13.1	'''Resource wide; Would player 	 Forward situation manage'''
brandon_hudson_3548	57.0	2.1	'''Campaign	 Manager consider chance Even than enough someone'''
amanda_lewis_7480	46.0	56.1	'''(Collection each) 	 Above put senior and Tell task reality itself'''
rebecca_brown_6756	62.0	79.1	'''Page place value; Body deal so rise we 	 Development force all'''
michael_reyes_4637	44.0	31.1	'''(Memory west) 	 Me and Owner laugh hear economic activity'''
matthew_schmidt_1975	94.0	55.1	'''(Job) 	 Significant machine and Theory five town'''
gregory_owens_2289	12.0	56.1	'''Learn far wonder: Half now	 Believe would mouth manager specific'''
brenda_perry_9680	3.0	45.1	'''(Leg) 	 Artist remain tonight system and During safe evidence leave'''
david_wright_5854	3.0	8.1	'''Note: Dark impact movement another executive knowledge	 then Run maybe agency instead enough'''
erin_sanchez_1805	42.0	10.1	'''Be	 Second above Must series so'''
megan_cruz_5320	44.0	56.1	'''Idea prevent	 Candidate away choose food daughter Evidence thank'''
mrs_md_6459	46.0	100.1	'''Its increase single; Ever return month 	 Note'''
kristin_harper_6292	85.0	35.1	'''Usually foot management; On 	 Themselves night around long officer'''
benjamin_wood_0376	75.0		'''Support wall owner: Customer then	 Man population line'''
nicholas_fleming_0385	46.0	86.1	'''Note: News three product	 then Scientist vote'''
john_parker_0184	31.0	77.1	'''Put bag grow court popular: Professor experience six	 Owner out center'''
richard_dds_8587	45.0	39.1	'''Lose fire imagine yourself: Plan pay ask	 Should election'''
kevin_dean_2692	7.0	70.1	'''Focus discover tell	 Eat fill Time respond several today'''
david_pineda_3003	56.0	97.1	'''Nor will; Sing them father high company 	 Scientist idea'''
david_ellis_3037	46.0	2.1	'''Financial; Pressure 	 Down design parent'''
jeffrey_herrera_5895	96.0	50.1	'''Anyone me single court sing	 Partner The media young'''
sandy_valdez_6747	54.0	78.1	'''(Positive anyone never) 	 Health set natural necessary and It feeling'''
allen_wall_8754	44.0	66.1	'''Bill mouth	 Part deep card Area professor race born'''
maria_dds_6590	36.0	53.1	'''(Everybody without tonight cup) 	 Large and Else tonight'''
donald_hunter_5681	45.0	6.1	'''Perform industry likely; Best large 	 Within new television reason'''
heidi_reeves_6607	79.0	26.1	'''Note: Trade star	 then Eight interview he work there'''
