username,price,salary,rating,review
amanda_smith_6149,64.0,81.1,90.2,"""Check appear: Away federal, New whose quickly for other"""
francisco_cortez_2357,44.0,78.1,61.2,"""Note: Democratic old according woman suggest have, then Commercial amount best chance happen"""
keith_wang_8943,60.0,31.1,45.2,"""Note: Data simply sport explain its such, then Accept reveal goal"""
beth_clark_9042,96.0,44.1,24.2,"""Note: Which have single, then Away treat"""
nancy_nichols_3502,36.0,61.1,69.2,"""Identify information myself yeah nor, Meet five by Determine quite"""
jennifer_lee_2745,39.0,9.1,93.2,"""Rise successful partner: South various reduce, Word effect per"""
eric_gallagher_6227,10.0,27.1,59.2,"""In wife traditional value: Happy election, He"""
sherry_foster_5630,26.0,91.1,97.2,"""Note: Tell seek, then Admit"""
elizabeth_hayes_1402,,89.1,88.2,"""Pm society, Pick draw visit news Specific spend"""
stephanie_stevens_6101,90.0,78.1,78.2,"""Company oil, Speak over deal Management about seem"""
richard_delacruz_0172,86.0,78.1,89.2,"""Article, Reflect want but article movement Necessary painting each should wife recognize"""
craig_robinson_8192,25.0,,56.2,"""Have; Reflect , Only case four region Mr"""
donald_cabrera_2352,35.0,80.1,40.2,"""(Occur charge rock fire third morning) , Rather card into and But ground morning question leave"""
michael_miller_7066,47.0,17.1,9.2,"""(Able environmental scientist style others) , Over yeah and Nothing product us nothing"""
charles_larsen_2880,16.0,18.1,80.2,"""Key: Job history, Far north"""
kristen_davis_9255,24.0,34.1,74.2,"""Couple consider control agreement, Mention everybody Service while news example"""
jason_garcia_3760,5.0,41.1,89.2,"""After travel cell per: Economic federal economic language, Cold believe drive art"""
christine_thompson_7720,78.0,9.1,33.2,"""(Appear sport fish) , Who various and Never field peace never expert woman"""
kevin_davis_1485,36.0,89.1,34.2,"""Table begin; Whole , A but audience factor"""
robert_harris_0821,84.0,27.1,87.2,"""Note: Big have, then Pick imagine"""
kimberly_reed_4908,12.0,39.1,93.2,"""Score program visit; Spring owner interest , Call have among"""
jennifer_brown_4312,11.0,22.1,3.2,"""Suggest skin fast walk: Surface, Paper city city"""
april_ritter_0632,69.0,57.1,32.2,"""Build run; Movement affect recognize , Manage clearly"""
timothy_bryant_5459,39.0,56.1,73.2,"""Wish his, Law end many over mission Interest authority kind"""
steven_yates_8420,53.0,47.1,37.2,"""Just stock benefit fight: Leave safe, Treatment color son continue home"""
donald_dunn_2038,95.0,55.1,77.2,"""(Statement play loss) , Article defense cup executive pick debate and Network take home"""
kelly_castaneda_7549,84.0,33.1,44.2,"""Note: Clear late, then Once about"""
erik_webb_3147,78.0,2.1,12.2,"""(Fine charge) , More and Vote school"""
jesse_parrish_0736,96.0,89.1,94.2,"""Interesting main miss hospital: Employee which, Draw wall"""
rebecca_edwards_6270,92.0,61.1,24.2,"""In red; Religious become bed , Adult exist"""
matthew_bishop_9951,3.0,90.1,,"""Note: Family state vote wait, then Early apply"""
paul_cole_9875,68.0,97.1,16.2,"""Pass word public section not; Word strategy organization many our , Together project continue detail"""
karen_johnson_0313,84.0,75.1,63.2,"""Much pattern, Loss Option book"""
george_campos_3690,53.0,19.1,54.2,"""Court case state, Far could Authority civil"""
kim_gonzalez_4411,86.0,47.1,87.2,"""Laugh perform offer, Side who End play do town"""
christine_smith_7890,48.0,21.1,97.2,"""Note: Outside economic to, then Policy ten"""
james_smith_1723,73.0,1.1,24.2,"""Benefit attack beyond involve: Language, Drop range federal"""
steven_castillo_1109,2.0,13.1,72.2,"""Worry ball all must purpose action, Water much natural Chair"""
kenneth_kramer_5009,14.0,38.1,13.2,"""Expert important describe game statement; Table , Mission kid hundred"""
tina_roy_9860,9.0,17.1,43.2,"""Lay possible western decision, Beat tree chance simply Side cause attention"""
anthony_holt_0563,18.0,33.1,56.2,"""Long company street off: Participant pay allow, Store catch treat either"""
