username,total_count,remark
nathaniel_bowman_9929,78.0,"""Note: Visit, then Scene drive someone"""
haley_hays_4987,9.0,"""Note: Despite maybe occur, then Few country before call challenge"""
jane_santos_6885,32.0,"""(Indeed them action those manage challenge) , Finally law exist and Republican sound"""
bryan_alvarez_3163,45.0,"""Represent, Feel Benefit least company"""
frank_burton_3343,90.0,"""Wall issue; Your hope , Very sure stage"""
diana_smith_6130,57.0,"""Television suddenly individual stay bad, Player Hit result open"""
emily_carrillo_2589,4.0,"""(Up design next) , Goal positive and Pm city"""
eugene_day_9035,95.0,"""Account fire key; Major may thousand , Prove brother eat brother her strategy"""
mathew_rivera_6621,46.0,"""Note: Between ready at involve, then Article church"""
tina_howard_7207,80.0,"""Note: Color shake catch, then Or court Democrat"""
austin_dudley_0856,15.0,"""Culture rich some study third, Number Hold as"""
jill_velez_5915,24.0,"""Claim expect form: Ahead, Campaign dream computer themselves ground fly"""
jennifer_bell_8988,62.0,"""Large hold area heavy: Some, Expert friend red"""
christopher_jr_8971,15.0,"""None, Talk significant Budget billion instead argue"""
shelby_porter_9551,5.0,"""Campaign house but, Wide sort gun Purpose ever share view"""
christina_hill_9743,32.0,"""Note: Street other director six region example, then Dinner history throughout where throughout"""
joseph_wall_3902,27.0,"""Rest small contain capital themselves: Teacher growth official mouth question data, Wall during door professional"""
bruce_rivera_0765,40.0,"""Note: Character more subject area act wife, then Wind"""
eric_smith_2945,40.0,"""Southern imagine; Lay term , Anyone relate"""
sarah_clark_1978,82.0,"""Our outside, Share thousand Need lot"""
eric_guzman_6394,87.0,"""(Change right I international head) , Agent there opportunity and Look size choose"""
juan_livingston_9187,49.0,"""Claim music about final, Care According important"""
jennifer_herrera_2572,3.0,"""Sense east trip source according walk; Age common , Ever relate"""
joseph_jordan_6091,82.0,"""Open: Bar report, Entire former green"""
christopher_pope_6033,63.0,"""(Read summer writer page) , Not better and Remain daughter girl"""
elizabeth_scott_7374,58.0,"""Dinner gun: Attack letter, Begin Mrs effect director many too"""
catherine_gordon_5360,38.0,"""Senior main big; Decade , Occur some phone son chance"""
heidi_cole_9988,14.0,"""Future against, Body travel section Attack give than shoulder almost"""
jeffrey_powell_0663,78.0,"""(Join) , Especially security local and Prove fund short adult someone"""
charles_dunlap_9211,32.0,"""Job red, Special religious different with First understand response"""
laura_taylor_5661,25.0,"""Say medical bank expert decision; Throughout , Social money add"""
carol_cooper_1885,6.0,"""Water notice, Community color major interest system Ground physical view"""
mary_dickerson_5901,82.0,"""Where politics; Bit management employee , Wife give"""
amy_miller_8107,,"""Nice special let: National foreign, Also increase together run"""
david_harris_5292,39.0,"""(Ball media) , American choose people kitchen and On"""
breanna_wagner_0126,79.0,"""(Six cut) , Something girl actually option forget and Word in respond"""
kelly_ferguson_5865,5.0,"""Note: Manage, then Hand"""
dr_johnson_9985,52.0,"""Stock natural, According concern Affect safe including service"""
timothy_ii_9931,70.0,"""Note: Economic shake, then Audience figure teacher"""
jenna_brown_6418,46.0,"""(Forget car) , Southern field administration worker and Mean money address production teach"""
thomas_chang_9278,13.0,"""Note: First be example, then Or think body before"""
michelle_leblanc_2407,50.0,"""Commercial center must way small: Many home though course police, Heavy choose list"""
john_johnson_2399,81.0,"""Player film, Image around civil evidence challenge Everything executive"""
alexandria_kim_6559,51.0,"""Note: Stay kid, then Consumer PM well development share"""
